交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20101027,IF1011                        ,期货公司,600482,133729,29894,1113,30181,1111
20101027,IF1011                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20101027,IF1011                        ,1,国泰君安    ,60571,11368,国泰君安    ,2138,-125,中信期货    ,5637,-6
20101027,IF1011                        ,2,海通期货    ,57796,14695,华泰长城    ,1955,125,国泰君安    ,5334,102
20101027,IF1011                        ,3,广发期货    ,43163,14589,永安期货    ,1895,60,华泰长城    ,2879,96
20101027,IF1011                        ,4,华泰长城    ,35099,9049,中信期货    ,1881,38,广发期货    ,2250,250
20101027,IF1011                        ,5,鲁证期货    ,26599,4526,广发期货    ,1827,-25,海通期货    ,1244,453
20101027,IF1011                        ,6,银河期货    ,25083,4007,光大期货    ,1374,202,中粮期货    ,819,-27
20101027,IF1011                        ,7,上海东证    ,21570,7751,弘业期货    ,1301,54,永安期货    ,758,78
20101027,IF1011                        ,8,光大期货    ,17080,1419,南华期货    ,1270,178,东海期货    ,686,34
20101027,IF1011                        ,9,南华期货    ,16803,1315,海通期货    ,1224,17,中投天琪    ,650,224
20101027,IF1011                        ,10,东吴期货    ,16053,4102,鲁证期货    ,1147,172,申银万国    ,608,-61
20101027,IF1011                        ,11,中投天琪    ,13703,2077,银河期货    ,977,118,南华期货    ,557,131
20101027,IF1011                        ,12,中信期货    ,13292,3541,大华期货    ,853,711,银河期货    ,545,257
20101027,IF1011                        ,13,永安期货    ,12734,1743,中信建投    ,847,-26,中信建投    ,538,77
20101027,IF1011                        ,14,中国国际    ,12356,1874,上海东证    ,751,-109,鲁证期货    ,523,-119
20101027,IF1011                        ,15,申银万国    ,12000,2235,申银万国    ,744,-33,招商期货    ,481,69
20101027,IF1011                        ,16,浙商期货    ,11865,1693,东海期货    ,639,9,光大期货    ,457,-172
20101027,IF1011                        ,17,安信期货    ,10428,2116,国联期货    ,466,191,中钢期货    ,446,-4
20101027,IF1011                        ,18,招商期货    ,9921,949,招商期货    ,461,-50,信达期货    ,409,15
20101027,IF1011                        ,19,弘业期货    ,9240,3341,中粮期货    ,413,41,上海东证    ,377,-251
20101027,IF1011                        ,20,兴证期货    ,9205,2708,浙商期货    ,391,61,兴证期货    ,367,-31
