交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20110629,IF1107                        ,期货公司,359009,12038,28584,-57,28770,92
20110629,IF1107                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20110629,IF1107                        ,1,海通期货    ,32894,3026,华泰长城    ,3492,456,国泰君安    ,5860,428
20110629,IF1107                        ,2,国泰君安    ,29701,1379,国泰君安    ,2356,239,海通期货    ,3962,-79
20110629,IF1107                        ,3,广发期货    ,22238,2147,永安期货    ,1603,-163,中信期货    ,2629,532
20110629,IF1107                        ,4,华泰长城    ,20088,-591,广发期货    ,1422,-32,华泰长城    ,2513,96
20110629,IF1107                        ,5,银河期货    ,16138,-1432,中信期货    ,1108,206,鲁证期货    ,1004,340
20110629,IF1107                        ,6,鲁证期货    ,13254,1047,鲁证期货    ,1067,-254,招商期货    ,892,-67
20110629,IF1107                        ,7,兴证期货    ,12380,76,南华期货    ,1033,-439,兴证期货    ,828,170
20110629,IF1107                        ,8,南华期货    ,12027,1270,光大期货    ,864,-117,广发期货    ,814,84
20110629,IF1107                        ,9,上海东证    ,11608,389,银河期货    ,856,252,安信期货    ,663,-109
20110629,IF1107                        ,10,申银万国    ,10794,752,招商期货    ,772,-26,中信建投    ,614,-19
20110629,IF1107                        ,11,中信期货    ,9902,1698,申银万国    ,729,50,银河期货    ,611,-136
20110629,IF1107                        ,12,中投天琪    ,9544,-1825,安信期货    ,670,32,申银万国    ,605,-66
20110629,IF1107                        ,13,永安期货    ,8496,-755,弘业期货    ,632,32,南华期货    ,548,94
20110629,IF1107                        ,14,中国国际    ,8322,685,信达期货    ,599,-78,中投天琪    ,538,-24
20110629,IF1107                        ,15,东吴期货    ,8035,1557,上海东证    ,586,29,中粮期货    ,468,155
20110629,IF1107                        ,16,光大期货    ,7963,771,海通期货    ,556,-619,国信期货    ,439,-95
20110629,IF1107                        ,17,招商期货    ,7607,261,中信建投    ,523,-249,光大期货    ,421,-214
20110629,IF1107                        ,18,浙商期货    ,7579,-493,浙商期货    ,491,32,永安期货    ,415,55
20110629,IF1107                        ,19,中信建投    ,6636,844,浙江中大    ,442,125,东海期货    ,349,43
20110629,IF1107                        ,20,信达期货    ,5863,192,新世纪     ,435,-221,浙商期货    ,322,55
