交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20110809,IF1108                        ,期货公司,503806,59648,20622,-4118,20634,-4194
20110809,IF1108                        ,非期货公司,0,0,0,0,0,0
20110809,IF1109                        ,期货公司,46593,10855,9982,-275,10101,-286
20110809,IF1109                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20110809,IF1108                        ,1,海通期货    ,43125,2080,国泰君安    ,1508,-252,海通期货    ,3680,-333
20110809,IF1108                        ,2,广发期货    ,41306,1347,广发期货    ,1290,-64,国泰君安    ,2302,-1267
20110809,IF1108                        ,3,国泰君安    ,36269,5658,中信期货    ,1274,-46,华泰长城    ,2049,-247
20110809,IF1108                        ,4,华泰长城    ,27482,2284,华泰长城    ,1259,-227,中信期货    ,1195,-208
20110809,IF1108                        ,5,银河期货    ,20277,2962,光大期货    ,1202,317,广发期货    ,742,-84
20110809,IF1108                        ,6,兴证期货    ,17411,-86,鲁证期货    ,863,-245,中粮期货    ,656,-868
20110809,IF1108                        ,7,鲁证期货    ,16143,2218,海通期货    ,785,-208,银河期货    ,641,90
20110809,IF1108                        ,8,光大期货    ,15838,2808,永安期货    ,736,-260,申银万国    ,525,120
20110809,IF1108                        ,9,上海东证    ,15456,2320,南华期货    ,696,-253,光大期货    ,497,-373
20110809,IF1108                        ,10,东吴期货    ,14599,1211,安信期货    ,657,-95,兴证期货    ,481,32
20110809,IF1108                        ,11,申银万国    ,14126,3340,上海东证    ,622,-469,南华期货    ,474,-79
20110809,IF1108                        ,12,南华期货    ,13474,758,中投天琪    ,568,217,上海东证    ,428,19
20110809,IF1108                        ,13,中投天琪    ,13417,1237,招商期货    ,562,63,鲁证期货    ,407,-76
20110809,IF1108                        ,14,中信期货    ,13410,984,银河期货    ,556,-105,国信期货    ,380,71
20110809,IF1108                        ,15,永安期货    ,12576,1722,申银万国    ,556,-50,大华期货    ,355,-309
20110809,IF1108                        ,16,大华期货    ,12305,5364,中国国际    ,539,84,永安期货    ,330,-44
20110809,IF1108                        ,17,中国国际    ,11839,383,中信建投    ,436,82,中信建投    ,327,-329
20110809,IF1108                        ,18,中信建投    ,10163,974,浙商期货    ,433,-34,招商期货    ,323,-74
20110809,IF1108                        ,19,浙商期货    ,9816,2366,弘业期货    ,355,-110,长江期货    ,286,13
20110809,IF1108                        ,20,招商期货    ,7933,1228,东海期货    ,343,-46,中投天琪    ,271,-88
20110809,IF1109                        ,1,海通期货    ,5008,2642,永安期货    ,940,60,招商期货    ,3174,76
20110809,IF1109                        ,2,华泰长城    ,4093,770,华泰长城    ,886,235,广发期货    ,1141,75
20110809,IF1109                        ,3,国泰君安    ,3718,1090,国泰君安    ,697,103,华泰长城    ,870,-6
20110809,IF1109                        ,4,广发期货    ,2546,218,广发期货    ,565,-113,南华期货    ,704,26
20110809,IF1109                        ,5,中信期货    ,2141,224,南华期货    ,397,-93,中信期货    ,497,-739
20110809,IF1109                        ,6,银河期货    ,2124,747,银河期货    ,392,-37,国泰君安    ,379,-65
20110809,IF1109                        ,7,宏源期货    ,1992,191,中国国际    ,320,-5,海通期货    ,378,86
20110809,IF1109                        ,8,申银万国    ,1726,46,光大期货    ,299,20,中粮期货    ,364,-10
20110809,IF1109                        ,9,光大期货    ,1389,16,鲁证期货    ,278,-78,光大期货    ,289,-155
20110809,IF1109                        ,10,鲁证期货    ,1238,200,申银万国    ,265,-28,银河期货    ,152,37
20110809,IF1109                        ,11,上海东证    ,1138,442,东海期货    ,226,21,中信建投    ,139,36
20110809,IF1109                        ,12,西部期货    ,1078,890,弘业期货    ,225,-45,国信期货    ,112,17
20110809,IF1109                        ,13,中国国际    ,896,75,上海东证    ,199,-40,国都期货    ,107,2
20110809,IF1109                        ,14,浙商期货    ,894,184,瑞达期货    ,191,-32,国元期货    ,101,2
20110809,IF1109                        ,15,永安期货    ,785,-116,中粮期货    ,178,7,平安期货    ,94,-8
20110809,IF1109                        ,16,弘业期货    ,777,501,国信期货    ,177,-22,兴证期货    ,87,-47
20110809,IF1109                        ,17,招商期货    ,770,104,海航东银    ,172,-18,英大期货    ,72,64
20110809,IF1109                        ,18,五矿期货    ,721,150,大华期货    ,167,-15,金瑞期货    ,70,24
20110809,IF1109                        ,19,经易期货    ,719,164,浙江中大    ,163,15,方正中期    ,68,50
20110809,IF1109                        ,20,南华期货    ,673,27,中信期货    ,155,-118,永安期货    ,66,17
