交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20111107,IF1111                        ,期货公司,382419,-136670,34201,32,34455,-13
20111107,IF1111                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20111107,IF1111                        ,1,海通期货    ,29974,-12882,国泰君安    ,2283,-43,国泰君安    ,4219,109
20111107,IF1111                        ,2,国泰君安    ,26534,-8053,华泰长城    ,2099,31,中信期货    ,4056,85
20111107,IF1111                        ,3,广发期货    ,24876,-10276,永安期货    ,2029,-30,海通期货    ,3093,7
20111107,IF1111                        ,4,华泰长城    ,24371,-7560,海通期货    ,1915,-353,华泰长城    ,3020,-108
20111107,IF1111                        ,5,兴证期货    ,19964,-15047,南华期货    ,1422,339,光大期货    ,1809,72
20111107,IF1111                        ,6,申银万国    ,15167,-1877,广发期货    ,1282,-47,中粮期货    ,1661,-232
20111107,IF1111                        ,7,银河期货    ,13700,-2608,光大期货    ,1278,72,安信期货    ,1170,-10
20111107,IF1111                        ,8,鲁证期货    ,12064,-3510,中信期货    ,1210,-47,广发期货    ,1089,177
20111107,IF1111                        ,9,南华期货    ,11888,-3239,申银万国    ,1183,-225,中信建投    ,1015,61
20111107,IF1111                        ,10,中信期货    ,11628,-1471,银河期货    ,1140,-63,银河期货    ,914,35
20111107,IF1111                        ,11,浙商期货    ,10680,-3115,鲁证期货    ,1062,73,南华期货    ,877,3
20111107,IF1111                        ,12,中投天琪    ,10680,-2105,兴证期货    ,821,96,申银万国    ,796,142
20111107,IF1111                        ,13,上海东证    ,10417,-6392,招商期货    ,771,-27,兴证期货    ,694,-66
20111107,IF1111                        ,14,光大期货    ,9430,-5297,国联期货    ,723,-20,国信期货    ,644,52
20111107,IF1111                        ,15,招商期货    ,8588,-1082,浙商期货    ,708,17,招商期货    ,640,-9
20111107,IF1111                        ,16,东吴期货    ,7758,-484,弘业期货    ,700,-3,鲁证期货    ,626,-87
20111107,IF1111                        ,17,中国国际    ,7344,-3243,格林大华    ,692,444,上海东证    ,580,68
20111107,IF1111                        ,18,安信期货    ,6920,-6447,上海东证    ,680,-241,永安期货    ,430,-56
20111107,IF1111                        ,19,大华期货    ,6732,-4077,中投天琪    ,677,-83,信达期货    ,406,16
20111107,IF1111                        ,20,信达期货    ,6352,-1636,安信期货    ,652,66,中投天琪    ,394,-33
