交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20120313,IF1203                        ,期货公司,551628,32648,28425,-7975,28435,-7971
20120313,IF1203                        ,非期货公司,0,0,0,0,0,0
20120313,IF1204                        ,期货公司,100022,59668,21323,8417,21343,8401
20120313,IF1204                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20120313,IF1203                        ,1,国泰君安    ,47093,8883,国泰君安    ,1878,-112,国泰君安    ,4424,-1635
20120313,IF1203                        ,2,华泰长城    ,42475,4674,华泰长城    ,1846,-518,中信期货    ,4285,-542
20120313,IF1203                        ,3,海通期货    ,35960,-1744,光大期货    ,1523,-421,华泰长城    ,1683,-791
20120313,IF1203                        ,4,兴证期货    ,32487,1506,海通期货    ,1469,-44,上海东证    ,1556,-287
20120313,IF1203                        ,5,广发期货    ,29000,-1495,广发期货    ,1292,-267,银河期货    ,1164,-220
20120313,IF1203                        ,6,南华期货    ,19576,579,永安期货    ,1082,-355,南华期货    ,1108,-73
20120313,IF1203                        ,7,银河期货    ,19143,1310,南华期货    ,1041,-525,申银万国    ,969,-131
20120313,IF1203                        ,8,光大期货    ,17838,-1141,银河期货    ,1023,-333,光大期货    ,957,-147
20120313,IF1203                        ,9,上海东证    ,17452,3218,中信期货    ,1017,-510,海通期货    ,811,-914
20120313,IF1203                        ,10,申银万国    ,17026,468,鲁证期货    ,1008,-16,广发期货    ,734,-251
20120313,IF1203                        ,11,鲁证期货    ,16953,-341,申银万国    ,807,-111,鲁证期货    ,639,-141
20120313,IF1203                        ,12,中信期货    ,16946,450,中粮期货    ,781,-85,国信期货    ,599,-124
20120313,IF1203                        ,13,浙商期货    ,15457,-501,金瑞期货    ,746,-225,招商期货    ,486,-263
20120313,IF1203                        ,14,中投天琪    ,14901,469,招商期货    ,736,-55,浙商期货    ,472,-33
20120313,IF1203                        ,15,渤海期货    ,13032,1053,上海东证    ,611,-159,东海期货    ,462,-77
20120313,IF1203                        ,16,永安期货    ,10352,1062,兴证期货    ,604,-285,国都期货    ,448,0
20120313,IF1203                        ,17,招商期货    ,10346,1327,信达期货    ,594,-544,大华期货    ,443,-374
20120313,IF1203                        ,18,中信建投    ,9574,508,浙商期货    ,592,-324,信达期货    ,416,-132
20120313,IF1203                        ,19,瑞达期货    ,8769,-139,长江期货    ,589,-27,永安期货    ,413,-107
20120313,IF1203                        ,20,信达期货    ,8704,-262,中国国际    ,531,-46,国贸期货    ,343,170
20120313,IF1204                        ,1,华泰长城    ,12968,6384,国泰君安    ,1506,645,海通期货    ,3953,890
20120313,IF1204                        ,2,海通期货    ,6335,3242,光大期货    ,1360,764,中信期货    ,3114,464
20120313,IF1204                        ,3,国泰君安    ,5377,3596,南华期货    ,1173,437,国泰君安    ,2054,1488
20120313,IF1204                        ,4,广发期货    ,5225,3505,海通期货    ,1015,381,光大期货    ,1203,646
20120313,IF1204                        ,5,申银万国    ,4303,2544,华泰长城    ,971,190,华泰长城    ,1181,710
20120313,IF1204                        ,6,银河期货    ,3792,2289,浙商期货    ,930,577,中粮期货    ,862,211
20120313,IF1204                        ,7,光大期货    ,3636,1840,永安期货    ,915,378,兴证期货    ,696,371
20120313,IF1204                        ,8,中国国际    ,3497,2124,中信期货    ,737,281,南华期货    ,656,161
20120313,IF1204                        ,9,中信期货    ,3413,2135,银河期货    ,725,319,中信建投    ,628,467
20120313,IF1204                        ,10,浙商期货    ,3329,2572,金瑞期货    ,706,474,广发期货    ,505,45
20120313,IF1204                        ,11,南华期货    ,3264,2520,安信期货    ,641,286,国信期货    ,387,165
20120313,IF1204                        ,12,永安期货    ,3161,1786,鲁证期货    ,593,217,银河期货    ,367,157
20120313,IF1204                        ,13,宏源期货    ,2676,1246,广发期货    ,564,178,永安期货    ,366,89
20120313,IF1204                        ,14,鲁证期货    ,2386,1335,上海东证    ,512,260,鲁证期货    ,305,181
20120313,IF1204                        ,15,兴证期货    ,1990,1320,申银万国    ,503,100,信达期货    ,280,138
20120313,IF1204                        ,16,金瑞期货    ,1788,1404,兴证期货    ,492,267,申银万国    ,274,133
20120313,IF1204                        ,17,信达期货    ,1664,1053,信达期货    ,464,58,招商期货    ,267,101
20120313,IF1204                        ,18,中信建投    ,1628,1226,东海期货    ,456,88,国金期货    ,265,221
20120313,IF1204                        ,19,国信期货    ,1598,295,格林大华    ,445,83,上海东证    ,249,159
20120313,IF1204                        ,20,招商期货    ,1508,1030,东吴期货    ,372,-15,新湖期货    ,248,91
