交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20120910,IF1209                        ,期货公司,810340,-636031,67931,-3398,67976,-3388
20120910,IF1209                        ,非期货公司,0,0,0,0,0,0
20120910,IF1210                        ,期货公司,52954,-4965,13816,4596,13913,4588
20120910,IF1210                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20120910,IF1209                        ,1,海通期货    ,68031,-48419,国泰君安    ,5486,-395,中信期货    ,9619,-2033
20120910,IF1209                        ,2,华泰长城    ,64441,-55098,华泰长城    ,4485,-49,国泰君安    ,8819,-248
20120910,IF1209                        ,3,兴证期货    ,63678,-48176,广发期货    ,4229,233,海通期货    ,5756,-698
20120910,IF1209                        ,4,广发期货    ,58070,-71722,海通期货    ,3359,285,光大期货    ,4791,338
20120910,IF1209                        ,5,国泰君安    ,55205,-40116,南华期货    ,2677,451,华泰长城    ,4551,-22
20120910,IF1209                        ,6,光大期货    ,33460,-21081,光大期货    ,2495,-1464,中粮期货    ,3203,386
20120910,IF1209                        ,7,申银万国    ,29301,-28195,东海期货    ,2421,316,申银万国    ,2591,-133
20120910,IF1209                        ,8,中信期货    ,26938,-17339,银河期货    ,2410,-90,广发期货    ,2144,-11
20120910,IF1209                        ,9,中投天琪    ,26072,-6855,中信期货    ,2208,-1259,南华期货    ,1922,-67
20120910,IF1209                        ,10,南华期货    ,25466,-24543,申银万国    ,2032,-370,鲁证期货    ,1846,-58
20120910,IF1209                        ,11,鲁证期货    ,24432,-21459,永安期货    ,1997,-62,中信建投    ,1535,-89
20120910,IF1209                        ,12,上海东证    ,22682,-8701,浙商期货    ,1951,400,兴证期货    ,1508,-156
20120910,IF1209                        ,13,银河期货    ,21845,-16648,上海东证    ,1834,-405,银河期货    ,1464,65
20120910,IF1209                        ,14,渤海期货    ,18876,-10089,国联期货    ,1675,-49,上海东证    ,1238,137
20120910,IF1209                        ,15,浙商期货    ,15584,-15951,鲁证期货    ,1478,-396,国信期货    ,1152,-119
20120910,IF1209                        ,16,国信期货    ,14689,-8053,中投天琪    ,1305,148,招商期货    ,1089,200
20120910,IF1209                        ,17,瑞达期货    ,13022,-12498,金瑞期货    ,1265,-24,中投天琪    ,1030,-280
20120910,IF1209                        ,18,招商期货    ,12604,-11597,国信期货    ,1210,-442,东海期货    ,953,-45
20120910,IF1209                        ,19,永安期货    ,12371,-11389,新湖期货    ,1207,-21,安信期货    ,763,-103
20120910,IF1209                        ,20,信达期货    ,10806,-8609,信达期货    ,1204,16,长江期货    ,694,95
20120910,IF1210                        ,1,华泰长城    ,14380,-229,国泰君安    ,2011,760,中信期货    ,3979,1716
20120910,IF1210                        ,2,海通期货    ,3904,413,华泰长城    ,695,183,海通期货    ,2381,982
20120910,IF1210                        ,3,申银万国    ,2614,-1116,银河期货    ,643,46,招商期货    ,1278,-44
20120910,IF1210                        ,4,中信期货    ,2571,540,宝城期货    ,561,512,华泰长城    ,931,449
20120910,IF1210                        ,5,光大期货    ,2130,623,光大期货    ,539,157,国泰君安    ,560,187
20120910,IF1210                        ,6,国泰君安    ,2085,203,海通期货    ,532,98,兴证期货    ,539,224
20120910,IF1210                        ,7,广发期货    ,2027,-1476,鲁证期货    ,529,398,中粮期货    ,512,501
20120910,IF1210                        ,8,银河期货    ,1616,-1905,永安期货    ,480,4,广发期货    ,396,75
20120910,IF1210                        ,9,鲁证期货    ,1205,165,招商期货    ,468,217,申银万国    ,352,-69
20120910,IF1210                        ,10,兴证期货    ,1171,-253,申银万国    ,442,73,光大期货    ,282,107
20120910,IF1210                        ,11,宏源期货    ,1146,-576,信达期货    ,391,43,鲁证期货    ,219,65
20120910,IF1210                        ,12,中粮期货    ,1124,297,广发期货    ,377,86,上海东证    ,185,43
20120910,IF1210                        ,13,万达期货    ,1061,428,中信期货    ,365,127,国元期货    ,150,-11
20120910,IF1210                        ,14,新湖期货    ,967,228,上海东证    ,356,313,宝城期货    ,143,82
20120910,IF1210                        ,15,经易期货    ,904,-211,南华期货    ,340,111,平安期货    ,141,41
20120910,IF1210                        ,16,国信期货    ,848,-1163,国都期货    ,339,320,民生期货    ,136,136
20120910,IF1210                        ,17,招商期货    ,789,195,金瑞期货    ,288,222,南华期货    ,135,-31
20120910,IF1210                        ,18,永安期货    ,757,-227,浙商期货    ,280,-60,银河期货    ,125,-4
20120910,IF1210                        ,19,南华期货    ,746,-596,大华期货    ,243,209,中信建投    ,125,2
20120910,IF1210                        ,20,中信建投    ,742,377,兴证期货    ,227,151,中银国际    ,124,-2
