交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20121212,IF1212                        ,期货公司,1182618,191045,58651,-12,59001,8
20121212,IF1212                        ,非期货公司,0,0,0,0,0,0
20121212,IF1301                        ,期货公司,107319,32892,21829,2562,21789,2551
20121212,IF1301                        ,非期货公司,0,0,0,0,0,0
20121212,IF1303                        ,期货公司,9170,1681,10096,549,10123,549
20121212,IF1303                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20121212,IF1212                        ,1,兴证期货    ,104412,24743,国泰君安    ,5261,153,国泰君安    ,6277,-113
20121212,IF1212                        ,2,国泰君安    ,95044,19528,海通期货    ,4157,776,中信期货    ,5074,-491
20121212,IF1212                        ,3,海通期货    ,88033,16697,永安期货    ,3099,577,海通期货    ,4500,-411
20121212,IF1212                        ,4,广发期货    ,86001,13807,华泰长城    ,3009,95,华泰长城    ,3098,44
20121212,IF1212                        ,5,华泰长城    ,76969,5392,光大期货    ,2695,-898,光大期货    ,2813,-194
20121212,IF1212                        ,6,光大期货    ,57888,7771,广发期货    ,2649,-83,申银万国    ,2581,707
20121212,IF1212                        ,7,申银万国    ,43955,5256,中信期货    ,2136,-9,银河期货    ,2446,-130
20121212,IF1212                        ,8,南华期货    ,38842,4247,银河期货    ,1981,-25,南华期货    ,2393,67
20121212,IF1212                        ,9,银河期货    ,36119,7229,申银万国    ,1797,-294,鲁证期货    ,2154,-131
20121212,IF1212                        ,10,鲁证期货    ,35268,7178,鲁证期货    ,1698,193,广发期货    ,1742,-106
20121212,IF1212                        ,11,中信期货    ,31954,1778,浙商期货    ,1686,410,金瑞期货    ,1672,29
20121212,IF1212                        ,12,浙商期货    ,28840,4339,信达期货    ,1629,-68,中信建投    ,1465,43
20121212,IF1212                        ,13,上海东证    ,25207,8176,南华期货    ,1494,-205,招商期货    ,1432,183
20121212,IF1212                        ,14,渤海期货    ,23682,5861,上海东证    ,1391,-267,国信期货    ,1345,191
