交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20121221,IF1212                        ,期货公司,67845,-66307,0,-6275,0,-6296
20121221,IF1212                        ,非期货公司,0,0,0,0,0,0
20121221,IF1301                        ,期货公司,1662682,260207,76213,-4110,76233,-4211
20121221,IF1301                        ,非期货公司,0,0,0,0,0,0
20121221,IF1303                        ,期货公司,35790,11969,16460,310,16438,111
20121221,IF1303                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20121221,IF1212                        ,1,华泰长城    ,22313,-13788,国泰君安    ,0,-961,国泰君安    ,0,-359
20121221,IF1212                        ,2,国泰君安    ,3105,-3501,南华期货    ,0,-158,南华期货    ,0,-390
20121221,IF1212                        ,3,广发期货    ,2930,-2102,永安期货    ,0,-357,永安期货    ,0,-44
20121221,IF1212                        ,4,经易期货    ,2846,-3055,一德期货    ,0,0,一德期货    ,0,-1
20121221,IF1212                        ,5,南华期货    ,2511,-2776,鲁证期货    ,0,-79,鲁证期货    ,0,-150
20121221,IF1212                        ,6,申银万国    ,2424,-2634,光大期货    ,0,-145,光大期货    ,0,-287
20121221,IF1212                        ,7,鲁证期货    ,2282,-1783,东海期货    ,0,-133,东海期货    ,0,-37
20121221,IF1212                        ,8,海通期货    ,1758,-1466,浙商期货    ,0,-75,浙商期货    ,0,-132
20121221,IF1212                        ,9,上海东证    ,1744,220,中粮期货    ,0,-56,中粮期货    ,0,-122
20121221,IF1212                        ,10,光大期货    ,1632,-3104,华泰长城    ,0,-502,华泰长城    ,0,-259
20121221,IF1212                        ,11,东海期货    ,1631,229,五矿期货    ,0,-21,五矿期货    ,0,-102
20121221,IF1212                        ,12,国信期货    ,1594,-1022,广发期货    ,0,-209,广发期货    ,0,-434
20121221,IF1212                        ,13,银河期货    ,1520,-1707,信达期货    ,0,-59,信达期货    ,0,-43
20121221,IF1212                        ,14,中信期货    ,1347,-2429,中信期货    ,0,-174,中信期货    ,0,-527
20121221,IF1212                        ,15,宏源期货    ,1261,-4092,金瑞期货    ,0,-357,金瑞期货    ,0,-88
