交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20130305,IF1303                        ,期货公司,1819568,113241,70888,-6011,71012,-6093
20130305,IF1303                        ,非期货公司,0,0,0,0,0,0
20130305,IF1304                        ,期货公司,60275,5641,12452,1216,12460,1221
20130305,IF1304                        ,非期货公司,0,0,0,0,0,0
20130305,IF1306                        ,期货公司,39430,-7184,18397,-868,18396,-870
20130305,IF1306                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20130305,IF1303                        ,1,兴证期货    ,155594,18910,国泰君安    ,6244,-724,海通期货    ,11319,-1102
20130305,IF1303                        ,2,海通期货    ,141440,-5486,华泰长城    ,3971,-694,国泰君安    ,7930,-582
20130305,IF1303                        ,3,华泰长城    ,140662,8851,永安期货    ,3878,160,中信期货    ,7457,-2062
20130305,IF1303                        ,4,国泰君安    ,135854,-2536,海通期货    ,3623,444,光大期货    ,4995,-836
20130305,IF1303                        ,5,广发期货    ,127773,-7069,光大期货    ,3528,227,华泰长城    ,3176,150
20130305,IF1303                        ,6,光大期货    ,106093,12409,广发期货    ,3252,-814,广发期货    ,2469,189
20130305,IF1303                        ,7,申银万国    ,58383,2476,南华期货    ,2470,-287,申银万国    ,2454,-202
20130305,IF1303                        ,8,中信期货    ,58265,7403,浙商期货    ,2263,95,南华期货    ,2380,-166
20130305,IF1303                        ,9,南华期货    ,57455,1562,银河期货    ,2203,-1036,银河期货    ,2087,131
20130305,IF1303                        ,10,鲁证期货    ,53535,5769,中信期货    ,2039,-437,鲁证期货    ,1905,291
20130305,IF1303                        ,11,浙商期货    ,51174,7882,鲁证期货    ,2036,-222,中信建投    ,1562,-228
20130305,IF1303                        ,12,银河期货    ,47869,4226,上海东证    ,1830,522,中粮期货    ,1347,-958
20130305,IF1303                        ,13,永安期货    ,46338,13983,中国国际    ,1830,247,金瑞期货    ,1319,122
20130305,IF1303                        ,14,上海东证    ,42561,-2046,金瑞期货    ,1773,-82,国信期货    ,1264,159
20130305,IF1303                        ,15,中投天琪    ,31781,3128,安信期货    ,1688,-399,国都期货    ,1114,87
20130305,IF1303                        ,16,金瑞期货    ,27096,5870,申银万国    ,1646,-653,浙商期货    ,1100,267
20130305,IF1303                        ,17,渤海期货    ,26547,5022,招商期货    ,1557,-493,宝城期货    ,1002,94
20130305,IF1303                        ,18,招商期货    ,24243,2122,东海期货    ,1488,-40,上海东证    ,993,-485
20130305,IF1303                        ,19,信达期货    ,22576,3035,国信期货    ,1196,86,长江期货    ,929,-303
20130305,IF1303                        ,20,国信期货    ,20579,2537,兴证期货    ,982,-233,永安期货    ,909,166
20130305,IF1304                        ,1,华泰长城    ,13794,1103,国泰君安    ,2019,-108,中粮期货    ,2436,-101
20130305,IF1304                        ,2,经易期货    ,6347,1418,光大期货    ,1045,-120,中信期货    ,1813,239
20130305,IF1304                        ,3,广发期货    ,3746,516,永安期货    ,1017,538,广发期货    ,1749,-228
20130305,IF1304                        ,4,海通期货    ,2666,-235,信达期货    ,920,34,海通期货    ,1158,333
20130305,IF1304                        ,5,银河期货    ,2381,1278,新湖期货    ,644,9,华泰长城    ,809,63
20130305,IF1304                        ,6,光大期货    ,1963,-265,国信期货    ,430,39,国泰君安    ,694,163
20130305,IF1304                        ,7,招商期货    ,1925,940,金瑞期货    ,386,-7,兴证期货    ,335,52
20130305,IF1304                        ,8,浙商期货    ,1792,227,招商期货    ,376,-12,南华期货    ,248,147
20130305,IF1304                        ,9,南华期货    ,1786,419,华泰长城    ,340,159,招商期货    ,248,153
20130305,IF1304                        ,10,国泰君安    ,1547,132,国投中谷    ,336,36,中信建投    ,220,51
20130305,IF1304                        ,11,宏源期货    ,1525,-443,南华期货    ,329,7,金瑞期货    ,217,-28
