交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20130312,IF1303                        ,期货公司,1709458,270792,46509,-10917,46602,-10993
20130312,IF1303                        ,非期货公司,0,0,0,0,0,0
20130312,IF1304                        ,期货公司,283201,145100,28481,8432,28458,8405
20130312,IF1304                        ,非期货公司,0,0,0,0,0,0
20130312,IF1306                        ,期货公司,51503,11107,21571,146,21569,145
20130312,IF1306                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20130312,IF1303                        ,1,海通期货    ,143639,35661,国泰君安    ,4431,-1132,国泰君安    ,5785,-1750
20130312,IF1303                        ,2,兴证期货    ,140571,26708,华泰长城    ,2447,-190,海通期货    ,4753,-1383
20130312,IF1303                        ,3,华泰长城    ,130530,10651,南华期货    ,2422,-63,中信期货    ,4618,-649
20130312,IF1303                        ,4,国泰君安    ,126630,14276,永安期货    ,2285,-1358,光大期货    ,2819,-773
20130312,IF1303                        ,5,广发期货    ,120224,20461,广发期货    ,2146,-243,华泰长城    ,2347,-544
20130312,IF1303                        ,6,光大期货    ,98253,9716,招商期货    ,2059,475,南华期货    ,2038,-442
20130312,IF1303                        ,7,申银万国    ,61155,12514,鲁证期货    ,1831,310,广发期货    ,1488,-487
20130312,IF1303                        ,8,南华期货    ,60991,11310,海通期货    ,1788,-380,鲁证期货    ,1422,-294
20130312,IF1303                        ,9,浙商期货    ,51215,8166,银河期货    ,1766,-1400,银河期货    ,1377,-232
20130312,IF1303                        ,10,中信期货    ,45086,-2982,光大期货    ,1720,-362,申银万国    ,1246,174
20130312,IF1303                        ,11,银河期货    ,44522,6832,浙商期货    ,1438,-160,中信建投    ,1199,-35
20130312,IF1303                        ,12,鲁证期货    ,41756,3054,中信期货    ,1358,-1029,国都期货    ,1018,-246
20130312,IF1303                        ,13,上海东证    ,34317,981,申银万国    ,1334,-229,永安期货    ,997,-315
20130312,IF1303                        ,14,永安期货    ,34169,5547,金瑞期货    ,1161,-99,国信期货    ,980,-205
20130312,IF1303                        ,15,渤海期货    ,31404,8118,新湖期货    ,851,520,中粮期货    ,963,-204
20130312,IF1303                        ,16,招商期货    ,28144,8116,信达期货    ,830,52,金瑞期货    ,853,-504
20130312,IF1303                        ,17,中投天琪    ,27955,1150,格林大华    ,827,-79,大华期货    ,807,-4
20130312,IF1303                        ,18,国信期货    ,22971,5912,安信期货    ,827,-48,国元期货    ,806,-176
20130312,IF1303                        ,19,金瑞期货    ,22331,1490,中国国际    ,799,-265,招商期货    ,790,277
20130312,IF1303                        ,20,信达期货    ,21184,3674,东海期货    ,785,-989,长江期货    ,775,35
