交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20130514,IF1305                        ,期货公司,1063216,-126297,35853,-7906,35854,-7906
20130514,IF1305                        ,非期货公司,0,0,0,0,0,0
20130514,IF1306                        ,期货公司,628535,250548,73566,4978,73572,4987
20130514,IF1306                        ,非期货公司,0,0,0,0,0,0
20130514,IF1309                        ,期货公司,20978,1622,14365,-10,14365,-10
20130514,IF1309                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20130514,IF1305                        ,1,华泰长城    ,86964,-10496,国泰君安    ,7132,909,中信期货    ,4836,-842
20130514,IF1305                        ,2,兴证期货    ,78382,-22534,银河期货    ,2871,1025,华泰长城    ,2437,-1124
20130514,IF1305                        ,3,国泰君安    ,74825,-4455,光大期货    ,1904,-1257,国泰君安    ,2400,-2282
20130514,IF1305                        ,4,海通期货    ,71182,-8449,中粮期货    ,1699,-30,光大期货    ,2285,-125
20130514,IF1305                        ,5,光大期货    ,62460,-10535,广发期货    ,1385,-562,广发期货    ,1677,-57
20130514,IF1305                        ,6,广发期货    ,61905,4109,华泰长城    ,1311,-900,金瑞期货    ,1576,-184
20130514,IF1305                        ,7,申银万国    ,45484,-2754,南华期货    ,1140,-244,国信期货    ,1529,108
20130514,IF1305                        ,8,南华期货    ,40983,-6836,申银万国    ,1120,-236,南华期货    ,1437,-627
20130514,IF1305                        ,9,中信期货    ,32592,-5217,中信期货    ,892,-530,国元期货    ,1218,-191
20130514,IF1305                        ,10,鲁证期货    ,30585,-12649,海通期货    ,891,-597,中粮期货    ,997,-105
20130514,IF1305                        ,11,银河期货    ,29730,-4851,鲁证期货    ,847,-151,海通期货    ,992,-449
20130514,IF1305                        ,12,浙商期货    ,26066,-2209,永安期货    ,734,-358,中信建投    ,978,228
20130514,IF1305                        ,13,招商期货    ,24665,-5121,金瑞期货    ,733,29,申银万国    ,933,56
20130514,IF1305                        ,14,中投天琪    ,23107,-2706,兴证期货    ,694,85,银河期货    ,886,141
20130514,IF1305                        ,15,上海东证    ,20402,-3097,招商期货    ,688,74,新湖期货    ,855,0
20130514,IF1305                        ,16,永安期货    ,20143,248,浙商期货    ,675,-549,鲁证期货    ,662,-1046
20130514,IF1305                        ,17,渤海期货    ,19202,-2899,宝城期货    ,658,339,中投天琪    ,642,-112
20130514,IF1305                        ,18,宏源期货    ,18832,4811,中投天琪    ,558,-153,信达期货    ,630,40
20130514,IF1305                        ,19,国信期货    ,14964,-1607,国信期货    ,546,-126,国金期货    ,590,17
20130514,IF1305                        ,20,同信久恒    ,13683,277,中信建投    ,541,-29,兴证期货    ,573,137
20130514,IF1306                        ,1,华泰长城    ,107139,43187,国泰君安    ,8728,902,海通期货    ,11110,-166
20130514,IF1306                        ,2,海通期货    ,50211,16592,中信期货    ,4018,365,国泰君安    ,10554,-31
20130514,IF1306                        ,3,国泰君安    ,36285,16779,华泰长城    ,3477,-234,广发期货    ,4887,383
20130514,IF1306                        ,4,光大期货    ,29628,14324,南华期货    ,3153,236,华泰长城    ,4488,447
20130514,IF1306                        ,5,申银万国    ,28409,6432,银河期货    ,3120,-392,中信期货    ,4235,-455
20130514,IF1306                        ,6,广发期货    ,24071,8440,永安期货    ,3101,-13,光大期货    ,3635,-784
20130514,IF1306                        ,7,经易期货    ,23217,9282,海通期货    ,3055,333,银河期货    ,3174,180
20130514,IF1306                        ,8,兴证期货    ,22812,17309,光大期货    ,2542,352,中粮期货    ,2987,150
20130514,IF1306                        ,9,银河期货    ,22166,7946,中国国际    ,2453,168,招商期货    ,2660,-141
20130514,IF1306                        ,10,南华期货    ,19728,6674,广发期货    ,2394,28,中银国际    ,1987,35
20130514,IF1306                        ,11,中信期货    ,17718,8718,鲁证期货    ,1987,260,南华期货    ,1802,470
20130514,IF1306                        ,12,宏源期货    ,15975,6324,申银万国    ,1957,559,鲁证期货    ,1681,624
20130514,IF1306                        ,13,上海东证    ,15624,5814,浙商期货    ,1947,-272,申银万国    ,1621,-20
20130514,IF1306                        ,14,鲁证期货    ,14910,8104,上海东证    ,1764,714,新湖期货    ,1395,1045
20130514,IF1306                        ,15,浙商期货    ,13120,4036,中粮期货    ,1443,-112,国金期货    ,1377,2
20130514,IF1306                        ,16,新湖期货    ,10935,5007,信达期货    ,1431,68,兴证期货    ,1201,37
20130514,IF1306                        ,17,永安期货    ,10548,2905,金瑞期货    ,1405,255,金瑞期货    ,1148,30
20130514,IF1306                        ,18,信达期货    ,10472,3373,国投中谷    ,1278,-48,中信建投    ,1110,-162
20130514,IF1306                        ,19,招商期货    ,8854,3801,招商期货    ,1274,79,永安期货    ,1048,677
20130514,IF1306                        ,20,中信建投    ,8187,3907,东吴期货    ,1212,34,宝城期货    ,1021,-3
20130514,IF1309                        ,1,华泰长城    ,5133,751,国泰君安    ,2683,356,海通期货    ,4033,23
20130514,IF1309                        ,2,海通期货    ,1826,-322,银河期货    ,881,34,中信期货    ,3412,-126
20130514,IF1309                        ,3,经易期货    ,1225,32,中国国际    ,818,-1,招商期货    ,2036,9
20130514,IF1309                        ,4,南华期货    ,1143,570,方正中期    ,758,-2,国泰君安    ,1153,-90
20130514,IF1309                        ,5,招商期货    ,1129,-446,永安期货    ,708,-36,华泰长城    ,626,171
