交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20130517,IF1305                        ,期货公司,89828,-147726,0,-11865,0,-11865
20130517,IF1305                        ,非期货公司,0,0,0,0,0,0
20130517,IF1306                        ,期货公司,1513655,-212991,101324,16439,101324,16438
20130517,IF1306                        ,非期货公司,0,0,0,0,0,0
20130517,IF1309                        ,期货公司,31030,4490,16927,1596,16927,1596
20130517,IF1309                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20130517,IF1305                        ,1,华泰长城    ,17581,-33961,国泰君安    ,0,-4663,国泰君安    ,0,-1732
20130517,IF1305                        ,2,国泰君安    ,7637,-4362,南华期货    ,0,-235,南华期货    ,0,-155
20130517,IF1305                        ,3,海通期货    ,7079,-6700,永安期货    ,0,-172,永安期货    ,0,-216
20130517,IF1305                        ,4,经易期货    ,4425,-9278,一德期货    ,0,-2,一德期货    ,0,-3
20130517,IF1305                        ,5,新湖期货    ,3414,-5193,鲁证期货    ,0,-145,鲁证期货    ,0,-418
20130517,IF1305                        ,6,鲁证期货    ,3077,-2057,光大期货    ,0,-201,光大期货    ,0,-1038
20130517,IF1305                        ,7,光大期货    ,3077,-6985,东海期货    ,0,-7,东海期货    ,0,-123
20130517,IF1305                        ,8,申银万国    ,2927,-7898,浙商期货    ,0,-104,浙商期货    ,0,-125
20130517,IF1305                        ,9,银河期货    ,2654,-2992,中粮期货    ,0,-139,中粮期货    ,0,-468
20130517,IF1305                        ,10,中信期货    ,2079,-3325,华泰长城    ,0,-141,华泰长城    ,0,-687
20130517,IF1305                        ,11,广发期货    ,1993,-5056,五矿期货    ,0,-603,五矿期货    ,0,-78
20130517,IF1305                        ,12,宏源期货    ,1970,-1103,广发期货    ,0,-103,广发期货    ,0,-415
20130517,IF1305                        ,13,南华期货    ,1927,-3884,信达期货    ,0,-103,信达期货    ,0,-334
20130517,IF1305                        ,14,永安期货    ,1917,-5007,中信期货    ,0,-211,中信期货    ,0,-1221
20130517,IF1305                        ,15,中银国际    ,1814,-8,金瑞期货    ,0,-98,金瑞期货    ,0,-150
20130517,IF1305                        ,16,五矿期货    ,1671,140,新世纪     ,0,-222,新世纪     ,0,-22
20130517,IF1305                        ,17,信达期货    ,1671,-2504,经易期货    ,0,-7,经易期货    ,0,-15
20130517,IF1305                        ,18,浙商期货    ,1644,-2670,兴证期货    ,0,-115,兴证期货    ,0,-130
20130517,IF1305                        ,19,国信期货    ,1333,-4906,建信期货    ,0,-5,建信期货    ,0,-13
20130517,IF1305                        ,20,渤海期货    ,1303,372,平安期货    ,0,-12,平安期货    ,0,-6
20130517,IF1306                        ,1,华泰长城    ,131189,-4857,国泰君安    ,8883,89,海通期货    ,12428,1516
20130517,IF1306                        ,2,国泰君安    ,112354,-24628,永安期货    ,6403,3161,国泰君安    ,11751,1555
20130517,IF1306                        ,3,兴证期货    ,111125,-17483,华泰长城    ,5370,848,中信期货    ,9531,2847
20130517,IF1306                        ,4,海通期货    ,106921,-20782,海通期货    ,5061,965,广发期货    ,6075,767
20130517,IF1306                        ,5,广发期货    ,86668,-23470,中信期货    ,4893,856,华泰长城    ,6014,-977
20130517,IF1306                        ,6,光大期货    ,84607,-9918,广发期货    ,3876,161,光大期货    ,5576,1758
20130517,IF1306                        ,7,南华期货    ,55187,-13156,银河期货    ,3748,1153,银河期货    ,3860,1069
20130517,IF1306                        ,8,中信期货    ,49881,-6108,南华期货    ,3383,132,南华期货    ,3330,43
20130517,IF1306                        ,9,申银万国    ,49853,-13817,光大期货    ,3359,145,招商期货    ,3259,310
20130517,IF1306                        ,10,鲁证期货    ,47147,-2369,金瑞期货    ,3044,1291,申银万国    ,3060,964
20130517,IF1306                        ,11,银河期货    ,44864,-3485,浙商期货    ,2960,863,鲁证期货    ,2816,229
20130517,IF1306                        ,12,浙商期货    ,37032,-6462,中国国际    ,2949,293,中信建投    ,2699,524
20130517,IF1306                        ,13,永安期货    ,33609,2277,信达期货    ,2474,920,中粮期货    ,2586,649
20130517,IF1306                        ,14,上海东证    ,32962,-6622,申银万国    ,2422,-3,中银国际    ,2079,63
20130517,IF1306                        ,15,招商期货    ,29728,-6957,上海东证    ,2078,-7,上海东证    ,2012,1007
20130517,IF1306                        ,16,中投天琪    ,27385,-1168,中粮期货    ,2001,297,国金期货    ,1793,263
20130517,IF1306                        ,17,中信建投    ,24458,-321,鲁证期货    ,1942,18,金瑞期货    ,1764,38
20130517,IF1306                        ,18,信达期货    ,23613,447,国投中谷    ,1531,190,国信期货    ,1700,608
20130517,IF1306                        ,19,国信期货    ,22294,-32,中投天琪    ,1488,-73,兴证期货    ,1277,224
20130517,IF1306                        ,20,渤海期货    ,21401,-2460,国信期货    ,1483,228,信达期货    ,1195,499
20130517,IF1309                        ,1,华泰长城    ,6395,560,国泰君安    ,3075,-22,海通期货    ,4391,386
20130517,IF1309                        ,2,海通期货    ,4418,1366,广发期货    ,1103,564,中信期货    ,3490,-27
20130517,IF1309                        ,3,申银万国    ,2436,1755,永安期货    ,962,214,招商期货    ,2132,44
20130517,IF1309                        ,4,经易期货    ,2158,136,银河期货    ,916,23,国泰君安    ,1993,753
20130517,IF1309                        ,5,国泰君安    ,1499,400,中国国际    ,777,-21,华泰长城    ,739,-69
20130517,IF1309                        ,6,浙江中大    ,1398,364,海通期货    ,773,94,平安期货    ,574,3
