交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20130925,IF1310                        ,期货公司,1376068,-166998,75385,729,75385,729
20130925,IF1310                        ,非期货公司,0,0,0,0,0,0
20130925,IF1312                        ,期货公司,35804,-10104,15881,138,15881,138
20130925,IF1312                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20130925,IF1310                        ,1,华泰长城    ,121068,-697,国泰君安    ,6782,-909,中信期货    ,9021,-970
20130925,IF1310                        ,2,国泰君安    ,109936,-9534,华泰长城    ,4452,129,海通期货    ,7683,-160
20130925,IF1310                        ,3,海通期货    ,100013,-19443,广发期货    ,4075,130,国泰君安    ,6708,-1507
20130925,IF1310                        ,4,兴证期货    ,83850,-18505,光大期货    ,3425,-140,华泰长城    ,6158,1105
20130925,IF1310                        ,5,光大期货    ,74416,-10678,银河期货    ,3113,243,广发期货    ,3487,186
20130925,IF1310                        ,6,广发期货    ,58610,-10658,中信期货    ,3100,122,南华期货    ,3214,-99
20130925,IF1310                        ,7,南华期货    ,58081,-10048,海通期货    ,2933,-59,银河期货    ,3124,-10
20130925,IF1310                        ,8,申银万国    ,57522,-6494,南华期货    ,2838,154,中粮期货    ,2743,-124
20130925,IF1310                        ,9,中信期货    ,56682,4086,申银万国    ,2669,185,鲁证期货    ,2369,493
20130925,IF1310                        ,10,鲁证期货    ,50999,-4757,鲁证期货    ,2608,110,申银万国    ,2014,-31
20130925,IF1310                        ,11,永安期货    ,36284,-867,永安期货    ,2338,-157,招商期货    ,1792,38
20130925,IF1310                        ,12,银河期货    ,32111,-8279,信达期货    ,2099,-24,中信建投    ,1704,170
20130925,IF1310                        ,13,浙商期货    ,31999,-4149,招商期货    ,1730,189,永安期货    ,1702,67
20130925,IF1310                        ,14,上海东证    ,30654,-4304,浙商期货    ,1725,840,国金期货    ,1598,291
20130925,IF1310                        ,15,中投天琪    ,24602,1425,金瑞期货    ,1482,-182,国信期货    ,1335,-51
20130925,IF1310                        ,16,招商期货    ,24243,-3889,中粮期货    ,1440,-74,光大期货    ,1305,92
20130925,IF1310                        ,17,经易期货    ,23457,-2255,宏源期货    ,1421,-8,兴证期货    ,1088,207
20130925,IF1310                        ,18,金瑞期货    ,22479,-3136,中信建投    ,1396,10,锦泰期货    ,1037,261
20130925,IF1310                        ,19,国信期货    ,21492,-1574,方正中期    ,1338,-7,平安期货    ,995,-25
20130925,IF1310                        ,20,渤海期货    ,19650,-1342,中投天琪    ,1273,-12,新湖期货    ,962,97
20130925,IF1312                        ,1,华泰长城    ,6607,-2346,国泰君安    ,2685,7,中信期货    ,2620,6
20130925,IF1312                        ,2,海通期货    ,5017,-390,海通期货    ,1212,63,国泰君安    ,2552,0
20130925,IF1312                        ,3,南华期货    ,2748,-198,广发期货    ,1132,5,招商期货    ,1525,72
20130925,IF1312                        ,4,中信期货    ,1742,-645,光大期货    ,962,64,海通期货    ,1305,16
20130925,IF1312                        ,5,光大期货    ,1460,-11,华泰长城    ,725,-55,广发期货    ,1212,2
20130925,IF1312                        ,6,经易期货    ,1459,221,方正中期    ,683,2,申银万国    ,685,-17
20130925,IF1312                        ,7,申银万国    ,1147,-456,南华期货    ,606,48,华泰长城    ,614,-8
20130925,IF1312                        ,8,国泰君安    ,1033,-561,招商期货    ,531,-2,银河期货    ,592,73
20130925,IF1312                        ,9,宏源期货    ,877,-186,信达期货    ,478,8,南华期货    ,500,-26
20130925,IF1312                        ,10,广发期货    ,825,-977,中信期货    ,449,34,安信期货    ,349,21
20130925,IF1312                        ,11,招商期货    ,782,-181,永安期货    ,424,9,和融期货    ,316,8
20130925,IF1312                        ,12,中银国际    ,782,-45,银河期货    ,344,18,长江期货    ,306,-7
20130925,IF1312                        ,13,银河期货    ,763,-267,申银万国    ,305,10,国信期货    ,276,-3
20130925,IF1312                        ,14,西部期货    ,694,-5,浙商期货    ,285,-32,金瑞期货    ,246,20
20130925,IF1312                        ,15,浙江中大    ,655,-260,金瑞期货    ,282,9,中粮期货    ,212,0
20130925,IF1312                        ,16,国信期货    ,605,-157,中银国际    ,266,-1,西部期货    ,201,-45
20130925,IF1312                        ,17,方正中期    ,478,37,格林大华    ,248,-4,鲁证期货    ,198,20
20130925,IF1312                        ,18,上海东证    ,475,-724,鲁证期货    ,246,-3,宝城期货    ,192,-6
20130925,IF1312                        ,19,新湖期货    ,473,-19,万达期货    ,233,-21,中信建投    ,167,-2
20130925,IF1312                        ,20,浙商期货    ,462,-199,中国国际    ,233,3,国都期货    ,127,0
