交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140108,IF1401                        ,期货公司,1448618,196582,85765,145,85765,145
20140108,IF1401                        ,非期货公司,0,0,0,0,0,0
20140108,IF1403                        ,期货公司,46490,5068,20755,-38,20755,-38
20140108,IF1403                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140108,IF1401                        ,1,海通期货    ,126262,19947,国泰君安    ,11700,-116,海通期货    ,11525,173
20140108,IF1401                        ,2,国泰君安    ,125454,13907,广发期货    ,4971,216,中信期货    ,10371,-302
20140108,IF1401                        ,3,华泰长城    ,110366,21461,中信期货    ,3894,-344,国泰君安    ,6812,-104
20140108,IF1401                        ,4,广发期货    ,69941,12120,鲁证期货    ,3552,116,华泰长城    ,6304,497
20140108,IF1401                        ,5,兴证期货    ,67291,11990,华泰长城    ,3547,-159,广发期货    ,5796,237
20140108,IF1401                        ,6,光大期货    ,58280,5995,海通期货    ,3094,135,银河期货    ,4420,380
20140108,IF1401                        ,7,南华期货    ,57806,5917,南华期货    ,3027,-12,中粮期货    ,4086,310
20140108,IF1401                        ,8,申银万国    ,54859,8445,光大期货    ,2918,112,南华期货    ,3335,-334
20140108,IF1401                        ,9,中信期货    ,46576,7970,上海东证    ,2398,865,光大期货    ,2633,46
20140108,IF1401                        ,10,浙商期货    ,41727,4632,安信期货    ,2303,-246,永安期货    ,2380,-142
20140108,IF1401                        ,11,永安期货    ,39959,5512,浙商期货    ,2294,663,申银万国    ,2348,-282
20140108,IF1401                        ,12,银河期货    ,34600,1589,永安期货    ,2227,29,上海东证    ,1700,-41
20140108,IF1401                        ,13,方正中期    ,30425,7098,银河期货    ,2131,8,中信建投    ,1676,-74
20140108,IF1401                        ,14,上海东证    ,30020,2234,瑞达期货    ,2020,-82,国信期货    ,1440,21
20140108,IF1401                        ,15,经易期货    ,29595,2310,申银万国    ,2013,-353,鲁证期货    ,1433,-198
20140108,IF1401                        ,16,鲁证期货    ,29300,3919,中投天琪    ,2013,-112,兴证期货    ,1171,9
20140108,IF1401                        ,17,宏源期货    ,24622,3583,信达期货    ,1895,109,格林大华    ,888,16
20140108,IF1401                        ,18,中信建投    ,23179,5723,中粮期货    ,1674,-5,平安期货    ,866,60
20140108,IF1401                        ,19,上海中期    ,22846,2659,兴证期货    ,1616,120,瑞达期货    ,862,492
20140108,IF1401                        ,20,信达期货    ,21924,3696,招商期货    ,1599,27,国金期货    ,856,-153
20140108,IF1403                        ,1,华泰长城    ,7123,1189,国泰君安    ,3335,-146,中信期货    ,6016,607
20140108,IF1403                        ,2,海通期货    ,6195,847,海通期货    ,1336,-319,广发期货    ,2426,-675
20140108,IF1403                        ,3,中信期货    ,4927,224,银河期货    ,1002,33,海通期货    ,1822,210
20140108,IF1403                        ,4,国泰君安    ,2356,340,广发期货    ,873,2,华泰长城    ,1618,-8
20140108,IF1403                        ,5,南华期货    ,2302,-185,永安期货    ,827,33,南华期货    ,1548,-18
20140108,IF1403                        ,6,广发期货    ,1815,-135,华泰长城    ,816,95,国泰君安    ,1053,-12
20140108,IF1403                        ,7,申银万国    ,1467,202,北京首创    ,813,61,永安期货    ,494,15
20140108,IF1403                        ,8,光大期货    ,1303,-162,南华期货    ,801,76,新湖期货    ,465,80
20140108,IF1403                        ,9,新湖期货    ,1302,184,申银万国    ,686,6,国都期货    ,456,-2
20140108,IF1403                        ,10,经易期货    ,1255,128,中粮期货    ,590,24,方正中期    ,435,20
20140108,IF1403                        ,11,宏源期货    ,1226,128,光大期货    ,561,11,安信期货    ,333,6
20140108,IF1403                        ,12,浙江中大    ,1210,-70,方正中期    ,551,10,国金期货    ,312,14
20140108,IF1403                        ,13,中国国际    ,908,542,中国国际    ,510,-57,申银万国    ,260,-63
20140108,IF1403                        ,14,中银国际    ,882,512,弘业期货    ,491,1,光大期货    ,222,4
20140108,IF1403                        ,15,银河期货    ,802,200,中信期货    ,474,-18,和融期货    ,203,42
20140108,IF1403                        ,16,浙商期货    ,746,78,鲁证期货    ,469,-7,招商期货    ,202,-64
20140108,IF1403                        ,17,兴证期货    ,578,-396,招商期货    ,421,15,中国国际    ,196,19
20140108,IF1403                        ,18,鲁证期货    ,529,4,中信建投    ,419,9,长江期货    ,181,-1
20140108,IF1403                        ,19,永安期货    ,510,231,浙商期货    ,332,1,中信建投    ,155,-2
20140108,IF1403                        ,20,招商期货    ,503,-226,东海期货    ,262,0,兴证期货    ,136,28
