交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140120,IF1402                        ,期货公司,1140710,-126410,73155,4952,73155,4952
20140120,IF1402                        ,非期货公司,0,0,0,0,0,0
20140120,IF1403                        ,期货公司,63478,-18990,34223,1078,34223,1078
20140120,IF1403                        ,非期货公司,0,0,0,0,0,0
20140120,IF1406                        ,期货公司,8406,200,11195,231,11195,231
20140120,IF1406                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140120,IF1402                        ,1,国泰君安    ,99201,1039,国泰君安    ,7927,57,中信期货    ,8503,321
20140120,IF1402                        ,2,海通期货    ,97665,-12036,广发期货    ,4016,442,海通期货    ,8116,-229
20140120,IF1402                        ,3,华泰长城    ,65587,-9885,中信期货    ,3602,131,国泰君安    ,6248,372
20140120,IF1402                        ,4,广发期货    ,50586,-5221,海通期货    ,3039,332,华泰长城    ,5394,345
20140120,IF1402                        ,5,光大期货    ,49091,-1163,银河期货    ,3010,677,财富期货    ,4939,561
20140120,IF1402                        ,6,南华期货    ,46646,-2822,华泰长城    ,2825,-238,广发期货    ,3713,-206
20140120,IF1402                        ,7,兴证期货    ,45085,-22093,光大期货    ,2525,-481,银河期货    ,3390,-185
20140120,IF1402                        ,8,申银万国    ,40028,-10853,南华期货    ,2384,259,安信期货    ,2351,1087
20140120,IF1402                        ,9,中信期货    ,37056,-3893,申银万国    ,2315,327,申银万国    ,2167,-119
20140120,IF1402                        ,10,浙商期货    ,34461,-452,永安期货    ,2128,-56,光大期货    ,1727,-668
20140120,IF1402                        ,11,银河期货    ,30294,-3409,鲁证期货    ,2128,286,上海东证    ,1683,868
20140120,IF1402                        ,12,永安期货    ,26813,-4603,瑞达期货    ,2015,154,中信建投    ,1652,-7
20140120,IF1402                        ,13,经易期货    ,26508,2292,招商期货    ,1895,269,鲁证期货    ,1454,-51
20140120,IF1402                        ,14,上海东证    ,25092,-6380,中投天琪    ,1790,111,国信期货    ,1316,-59
20140120,IF1402                        ,15,鲁证期货    ,23277,-747,方正中期    ,1577,-3,南华期货    ,1255,265
20140120,IF1402                        ,16,上海中期    ,21106,306,安信期货    ,1526,40,永安期货    ,1113,383
20140120,IF1402                        ,17,宏源期货    ,20580,-3848,浙商期货    ,1513,244,中钢期货    ,918,37
20140120,IF1402                        ,18,瑞达期货    ,20471,2317,新湖期货    ,1477,103,兴证期货    ,894,54
20140120,IF1402                        ,19,方正中期    ,20263,-5408,兴证期货    ,1451,-97,华西期货    ,839,-70
20140120,IF1402                        ,20,招商期货    ,19141,-2609,宏源期货    ,1332,150,宏源期货    ,807,190
20140120,IF1403                        ,1,华西期货    ,7787,-2084,国泰君安    ,4983,39,中信期货    ,9050,536
20140120,IF1403                        ,2,海通期货    ,7492,-247,鲁证期货    ,2009,-10,广发期货    ,5286,477
20140120,IF1403                        ,3,中信期货    ,4900,-546,海通期货    ,1726,49,海通期货    ,3207,231
20140120,IF1403                        ,4,南华期货    ,4364,-1433,银河期货    ,1438,-192,华泰长城    ,2665,33
20140120,IF1403                        ,5,国泰君安    ,3748,-1613,南华期货    ,1314,-34,南华期货    ,2635,-36
20140120,IF1403                        ,6,招商期货    ,2464,436,信达期货    ,1288,22,国泰君安    ,1652,35
20140120,IF1403                        ,7,申银万国    ,2380,-707,申银万国    ,1246,47,银河期货    ,795,138
20140120,IF1403                        ,8,经易期货    ,2207,972,广发期货    ,1218,44,永安期货    ,742,-7
20140120,IF1403                        ,9,广发期货    ,2111,-1489,永安期货    ,1110,12,新湖期货    ,684,-1
20140120,IF1403                        ,10,华泰长城    ,2042,-2327,光大期货    ,1110,111,平安期货    ,524,72
20140120,IF1403                        ,11,浙江中大    ,1983,-171,华泰长城    ,1069,105,光大期货    ,468,17
20140120,IF1403                        ,12,银河期货    ,1570,-2,中粮期货    ,957,27,申银万国    ,467,-231
20140120,IF1403                        ,13,浙商期货    ,1510,-62,北京首创    ,831,8,上海东证    ,447,-11
20140120,IF1403                        ,14,光大期货    ,1438,-130,中国国际    ,806,18,国都期货    ,433,-27
20140120,IF1403                        ,15,宏源期货    ,1049,-670,浙商期货    ,793,-5,方正中期    ,351,-63
20140120,IF1403                        ,16,新湖期货    ,936,-729,中信期货    ,792,-50,长江期货    ,345,12
20140120,IF1403                        ,17,兴证期货    ,866,-1258,方正中期    ,784,67,招商期货    ,310,-1
20140120,IF1403                        ,18,国信期货    ,814,-350,国信期货    ,665,172,安信期货    ,302,1
20140120,IF1403                        ,19,长江期货    ,723,-492,招商期货    ,620,11,中信建投    ,290,93
20140120,IF1403                        ,20,中银国际    ,673,47,上海东证    ,545,72,中银国际    ,276,63
20140120,IF1406                        ,1,海通期货    ,1431,414,海通期货    ,889,181,国泰君安    ,3319,105
20140120,IF1406                        ,2,中信期货    ,836,326,永安期货    ,865,-4,招商期货    ,2314,17
20140120,IF1406                        ,3,华西期货    ,794,628,国泰君安    ,796,76,中信期货    ,1009,-32
20140120,IF1406                        ,4,南华期货    ,734,496,光大期货    ,605,-46,申银万国    ,815,9
20140120,IF1406                        ,5,国泰君安    ,431,-29,方正中期    ,524,-4,银河期货    ,486,2
20140120,IF1406                        ,6,兴证期货    ,387,-314,中信期货    ,484,0,海通期货    ,413,12
20140120,IF1406                        ,7,招商期货    ,369,89,华泰长城    ,478,-2,永安期货    ,312,-63
