交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140122,IF1402                        ,期货公司,1468410,170762,75374,3546,75374,3546
20140122,IF1402                        ,非期货公司,0,0,0,0,0,0
20140122,IF1403                        ,期货公司,91900,25094,32723,-677,32723,-677
20140122,IF1403                        ,非期货公司,0,0,0,0,0,0
20140122,IF1406                        ,期货公司,12658,4076,11106,-135,11106,-135
20140122,IF1406                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140122,IF1402                        ,1,国泰君安    ,124665,17309,国泰君安    ,6813,-1318,中信期货    ,8677,-319
20140122,IF1402                        ,2,海通期货    ,110045,4797,广发期货    ,4119,-252,海通期货    ,7639,-164
20140122,IF1402                        ,3,华泰长城    ,90293,8374,光大期货    ,3688,1234,国泰君安    ,6587,655
20140122,IF1402                        ,4,广发期货    ,78517,16061,海通期货    ,3515,203,财富期货    ,5206,286
20140122,IF1402                        ,5,兴证期货    ,65873,8056,中信期货    ,3455,-37,华泰长城    ,4698,-673
20140122,IF1402                        ,6,光大期货    ,61429,8571,华泰长城    ,3081,344,广发期货    ,4683,887
20140122,IF1402                        ,7,南华期货    ,56356,4303,银河期货    ,2889,100,银河期货    ,4304,647
20140122,IF1402                        ,8,申银万国    ,56018,5012,申银万国    ,2723,866,申银万国    ,2309,392
20140122,IF1402                        ,9,中信期货    ,49228,9689,安信期货    ,2325,888,中信建投    ,1967,262
20140122,IF1402                        ,10,浙商期货    ,47285,7423,南华期货    ,2323,-119,鲁证期货    ,1961,337
20140122,IF1402                        ,11,银河期货    ,39669,6371,永安期货    ,2085,-88,上海东证    ,1893,629
20140122,IF1402                        ,12,永安期货    ,36144,2235,瑞达期货    ,1966,110,兴证期货    ,1417,601
20140122,IF1402                        ,13,方正中期    ,30695,2667,鲁证期货    ,1961,-157,光大期货    ,1273,-467
20140122,IF1402                        ,14,上海东证    ,30597,-1230,中投天琪    ,1811,283,南华期货    ,1265,481
20140122,IF1402                        ,15,经易期货    ,30405,4934,兴证期货    ,1706,274,浙商期货    ,1205,407
20140122,IF1402                        ,16,鲁证期货    ,30034,1586,方正中期    ,1498,-95,国信期货    ,1197,-220
20140122,IF1402                        ,17,招商期货    ,26203,2302,上海东证    ,1485,232,永安期货    ,1145,352
20140122,IF1402                        ,18,上海中期    ,23383,551,新湖期货    ,1470,-83,中钢期货    ,817,34
20140122,IF1402                        ,19,宏源期货    ,22405,-219,浙商期货    ,1442,-124,浙江中大    ,778,107
20140122,IF1402                        ,20,中信建投    ,22194,5122,宏源期货    ,1406,-28,华西期货    ,760,-126
20140122,IF1403                        ,1,海通期货    ,11053,4335,国泰君安    ,3698,-1144,中信期货    ,8578,-326
20140122,IF1403                        ,2,华西期货    ,8485,1034,海通期货    ,1804,75,广发期货    ,4142,-505
20140122,IF1403                        ,3,中信期货    ,7391,1909,鲁证期货    ,1754,-196,海通期货    ,3084,-60
20140122,IF1403                        ,4,南华期货    ,6088,1635,广发期货    ,1543,293,华泰长城    ,2854,72
20140122,IF1403                        ,5,国泰君安    ,5417,2489,银河期货    ,1405,-138,南华期货    ,2645,-1
20140122,IF1403                        ,6,华泰长城    ,3396,691,申银万国    ,1307,193,国泰君安    ,1580,1
20140122,IF1403                        ,7,经易期货    ,2808,554,信达期货    ,1297,10,永安期货    ,791,54
20140122,IF1403                        ,8,招商期货    ,2709,-72,南华期货    ,1221,-53,银河期货    ,699,-65
20140122,IF1403                        ,9,浙江中大    ,2371,830,中信期货    ,1085,257,新湖期货    ,663,-9
20140122,IF1403                        ,10,广发期货    ,2338,41,永安期货    ,1025,-80,平安期货    ,537,2
20140122,IF1403                        ,11,申银万国    ,2102,203,华泰长城    ,975,-70,上海东证    ,477,9
20140122,IF1403                        ,12,光大期货    ,2047,524,光大期货    ,891,-176,国都期货    ,435,3
20140122,IF1403                        ,13,新湖期货    ,2040,754,北京首创    ,868,7,光大期货    ,423,29
20140122,IF1403                        ,14,兴证期货    ,2027,308,中国国际    ,842,21,申银万国    ,393,-71
20140122,IF1403                        ,15,浙商期货    ,1702,241,浙商期货    ,828,18,长江期货    ,351,13
20140122,IF1403                        ,16,中国国际    ,1656,1267,方正中期    ,770,22,安信期货    ,337,16
20140122,IF1403                        ,17,银河期货    ,1593,411,兴证期货    ,760,519,方正中期    ,318,-26
20140122,IF1403                        ,18,方正中期    ,1530,1019,中粮期货    ,753,-155,招商期货    ,279,-23
20140122,IF1403                        ,19,上海东证    ,1473,418,上海东证    ,647,224,中银国际    ,279,1
20140122,IF1403                        ,20,宏源期货    ,1434,187,招商期货    ,579,-64,兴证期货    ,276,2
20140122,IF1406                        ,1,海通期货    ,1847,872,国泰君安    ,732,6,国泰君安    ,3286,-16
20140122,IF1406                        ,2,华西期货    ,1313,377,永安期货    ,723,-140,招商期货    ,2304,3
20140122,IF1406                        ,3,中信期货    ,1261,407,浙商期货    ,707,204,中信期货    ,1047,6
20140122,IF1406                        ,4,南华期货    ,1160,453,光大期货    ,591,1,申银万国    ,761,-58
20140122,IF1406                        ,5,华泰长城    ,582,351,海通期货    ,563,-187,银河期货    ,487,1
20140122,IF1406                        ,6,光大期货    ,533,382,华泰长城    ,511,24,海通期货    ,367,-34
20140122,IF1406                        ,7,新湖期货    ,487,138,方正中期    ,501,-23,永安期货    ,312,27
20140122,IF1406                        ,8,永安期货    ,461,252,国投中谷    ,448,0,华泰长城    ,261,8
20140122,IF1406                        ,9,兴证期货    ,433,-115,广发期货    ,430,-101,和融期货    ,242,0
20140122,IF1406                        ,10,招商期货    ,396,104,中信期货    ,421,-39,瑞达期货    ,171,-1
20140122,IF1406                        ,11,浙商期货    ,377,-105,银河期货    ,367,5,国都期货    ,167,5
20140122,IF1406                        ,12,国泰君安    ,352,41,北京首创    ,326,4,中银国际    ,158,3
20140122,IF1406                        ,13,经易期货    ,336,49,国联期货    ,287,26,北京首创    ,156,-5
20140122,IF1406                        ,14,广发期货    ,288,36,南华期货    ,230,12,东吴期货    ,115,1
20140122,IF1406                        ,15,申银万国    ,217,47,申银万国    ,224,15,格林大华    ,101,-1
20140122,IF1406                        ,16,浙江中大    ,184,111,安信期货    ,202,3,上海东证    ,89,-6
20140122,IF1406                        ,17,方正中期    ,179,87,鲁证期货    ,201,-2,新湖期货    ,81,42
20140122,IF1406                        ,18,中粮期货    ,131,124,中信建投    ,182,3,兴证期货    ,72,-68
20140122,IF1406                        ,19,国信期货    ,127,35,宝城期货    ,165,-2,平安期货    ,69,-4
20140122,IF1406                        ,20,安信期货    ,125,-76,兴证期货    ,162,31,南华期货    ,67,-16
