交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140124,IF1402                        ,期货公司,1414526,374230,71019,-1521,71019,-1521
20140124,IF1402                        ,非期货公司,0,0,0,0,0,0
20140124,IF1403                        ,期货公司,80854,23114,31452,-988,31452,-988
20140124,IF1403                        ,非期货公司,0,0,0,0,0,0
20140124,IF1406                        ,期货公司,10734,4016,11238,-22,11238,-22
20140124,IF1406                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140124,IF1402                        ,1,国泰君安    ,121166,29384,国泰君安    ,5953,-806,中信期货    ,8006,-337
20140124,IF1402                        ,2,海通期货    ,115055,30582,广发期货    ,3717,-61,海通期货    ,7464,-151
20140124,IF1402                        ,3,华泰长城    ,81984,18596,中信期货    ,3584,139,国泰君安    ,7162,441
20140124,IF1402                        ,4,广发期货    ,67060,25591,光大期货    ,3116,225,财富期货    ,5650,110
20140124,IF1402                        ,5,兴证期货    ,63801,21139,银河期货    ,3080,-44,广发期货    ,5490,1111
20140124,IF1402                        ,6,申银万国    ,58577,15088,海通期货    ,3026,-14,银河期货    ,4074,-213
20140124,IF1402                        ,7,光大期货    ,57394,12438,华泰长城    ,2756,-397,华泰长城    ,3869,-1365
20140124,IF1402                        ,8,南华期货    ,57262,13216,申银万国    ,2492,356,永安期货    ,2178,581
20140124,IF1402                        ,9,中信期货    ,45078,9170,永安期货    ,2117,138,中信建投    ,1776,-75
20140124,IF1402                        ,10,浙商期货    ,43290,16785,鲁证期货    ,2117,-26,鲁证期货    ,1563,-207
20140124,IF1402                        ,11,银河期货    ,39549,10909,瑞达期货    ,1882,-75,申银万国    ,1490,-87
20140124,IF1402                        ,12,永安期货    ,37807,12055,南华期货    ,1826,-620,光大期货    ,1489,469
20140124,IF1402                        ,13,方正中期    ,34837,12860,中投天琪    ,1770,-21,浙商期货    ,1300,-53
20140124,IF1402                        ,14,上海东证    ,33551,10786,上海东证    ,1677,-32,上海东证    ,1241,183
20140124,IF1402                        ,15,鲁证期货    ,28857,5816,兴证期货    ,1651,159,国信期货    ,1129,232
20140124,IF1402                        ,16,经易期货    ,26966,3808,宏源期货    ,1627,204,兴证期货    ,865,-16
20140124,IF1402                        ,17,招商期货    ,26938,7427,新湖期货    ,1524,-75,南华期货    ,828,-36
20140124,IF1402                        ,18,上海中期    ,23050,5310,安信期货    ,1480,-53,中银国际    ,811,160
20140124,IF1402                        ,19,中投天琪    ,21693,4294,浙商期货    ,1442,47,安信期货    ,754,94
20140124,IF1402                        ,20,宏源期货    ,21340,6282,招商期货    ,1344,101,中钢期货    ,742,-187
20140124,IF1403                        ,1,海通期货    ,8385,1133,国泰君安    ,3493,-346,中信期货    ,8447,-130
20140124,IF1403                        ,2,华西期货    ,7107,2661,鲁证期货    ,1798,87,广发期货    ,3152,-845
20140124,IF1403                        ,3,中信期货    ,6484,1849,海通期货    ,1768,21,海通期货    ,3149,98
20140124,IF1403                        ,4,南华期货    ,4909,1983,银河期货    ,1611,130,南华期货    ,2810,73
20140124,IF1403                        ,5,国泰君安    ,4658,1428,申银万国    ,1291,-255,华泰长城    ,2648,-547
20140124,IF1403                        ,6,华泰长城    ,4246,1463,信达期货    ,1254,-51,国泰君安    ,1600,89
20140124,IF1403                        ,7,申银万国    ,2737,1564,广发期货    ,1245,-39,银河期货    ,918,163
20140124,IF1403                        ,8,经易期货    ,2578,293,中信期货    ,945,-100,永安期货    ,766,-2
20140124,IF1403                        ,9,光大期货    ,2432,497,永安期货    ,891,-74,新湖期货    ,673,10
20140124,IF1403                        ,10,招商期货    ,2269,397,光大期货    ,840,-29,国都期货    ,515,72
20140124,IF1403                        ,11,广发期货    ,2150,804,华泰长城    ,838,-169,上海东证    ,454,-8
20140124,IF1403                        ,12,浙江中大    ,1974,996,北京首创    ,836,-34,平安期货    ,449,-61
20140124,IF1403                        ,13,新湖期货    ,1851,669,方正中期    ,835,24,申银万国    ,411,20
20140124,IF1403                        ,14,浙商期货    ,1407,332,浙商期货    ,814,-17,光大期货    ,405,21
20140124,IF1403                        ,15,银河期货    ,1327,469,中粮期货    ,782,-11,长江期货    ,318,-18
20140124,IF1403                        ,16,兴证期货    ,1306,-449,中国国际    ,737,-121,方正中期    ,317,-29
20140124,IF1403                        ,17,格林大华    ,1286,685,南华期货    ,725,-572,安信期货    ,303,-20
20140124,IF1403                        ,18,中国国际    ,1278,232,招商期货    ,715,48,中信建投    ,260,14
20140124,IF1403                        ,19,国信期货    ,1265,272,国海良时    ,544,544,招商期货    ,252,-19
20140124,IF1403                        ,20,宏源期货    ,1171,539,弘业期货    ,543,-42,兴证期货    ,225,41
20140124,IF1406                        ,1,海通期货    ,1769,516,永安期货    ,738,-45,国泰君安    ,3338,44
20140124,IF1406                        ,2,华西期货    ,1094,437,浙商期货    ,704,-6,招商期货    ,2309,5
20140124,IF1406                        ,3,中信期货    ,998,246,海通期货    ,650,-16,中信期货    ,1039,-20
20140124,IF1406                        ,4,南华期货    ,730,466,光大期货    ,612,1,申银万国    ,766,-16
20140124,IF1406                        ,5,永安期货    ,483,169,国泰君安    ,577,-161,银河期货    ,538,52
20140124,IF1406                        ,6,经易期货    ,445,249,方正中期    ,500,-8,海通期货    ,364,-23
20140124,IF1406                        ,7,华泰长城    ,435,176,华泰长城    ,490,-19,和融期货    ,242,0
20140124,IF1406                        ,8,新湖期货    ,402,92,广发期货    ,430,-9,华泰长城    ,233,-23
20140124,IF1406                        ,9,银河期货    ,370,189,银河期货    ,413,54,永安期货    ,174,-90
20140124,IF1406                        ,10,光大期货    ,365,253,中信期货    ,407,-16,瑞达期货    ,169,1
20140124,IF1406                        ,11,兴证期货    ,318,112,国投中谷    ,348,0,国都期货    ,167,1
20140124,IF1406                        ,12,国泰君安    ,316,178,北京首创    ,322,4,北京首创    ,156,0
20140124,IF1406                        ,13,浙商期货    ,230,126,中粮期货    ,294,147,中银国际    ,152,-5
20140124,IF1406                        ,14,安信期货    ,201,61,国联期货    ,285,-3,新湖期货    ,123,2
20140124,IF1406                        ,15,广发期货    ,179,64,申银万国    ,239,15,东吴期货    ,116,-1
20140124,IF1406                        ,16,中粮期货    ,160,157,鲁证期货    ,222,13,格林大华    ,100,-2
20140124,IF1406                        ,17,申银万国    ,149,40,安信期货    ,220,5,上海东证    ,83,-5
20140124,IF1406                        ,18,浙江中大    ,140,111,格林大华    ,167,22,平安期货    ,81,-3
20140124,IF1406                        ,19,国信期货    ,137,51,招商期货    ,160,-4,兴证期货    ,77,4
20140124,IF1406                        ,20,方正中期    ,134,33,宝城期货    ,157,-1,广发期货    ,75,0
