交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140207,IF1402                        ,期货公司,916946,58262,70208,1444,70208,1444
20140207,IF1402                        ,非期货公司,0,0,0,0,0,0
20140207,IF1403                        ,期货公司,67770,10264,35281,1395,35281,1395
20140207,IF1403                        ,非期货公司,0,0,0,0,0,0
20140207,IF1406                        ,期货公司,9664,2732,12156,253,12156,253
20140207,IF1406                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140207,IF1402                        ,1,国泰君安    ,80512,9134,国泰君安    ,7099,420,中信期货    ,7494,-428
20140207,IF1402                        ,2,海通期货    ,75050,-598,中信期货    ,4423,1102,国泰君安    ,6904,1610
20140207,IF1402                        ,3,华泰长城    ,54159,12910,广发期货    ,3785,-58,财富期货    ,6623,192
20140207,IF1402                        ,4,申银万国    ,45672,1261,华泰长城    ,2990,33,海通期货    ,6423,-958
20140207,IF1402                        ,5,中信期货    ,36220,4764,海通期货    ,2696,496,广发期货    ,4692,-643
20140207,IF1402                        ,6,光大期货    ,35871,1967,光大期货    ,2524,33,银河期货    ,3767,-29
20140207,IF1402                        ,7,广发期货    ,34255,932,永安期货    ,2336,136,华泰长城    ,3594,-48
20140207,IF1402                        ,8,兴证期货    ,32495,5220,银河期货    ,2304,-373,中银国际    ,1978,262
20140207,IF1402                        ,9,南华期货    ,32201,4505,申银万国    ,1908,-85,光大期货    ,1709,-308
20140207,IF1402                        ,10,方正中期    ,26690,-2466,瑞达期货    ,1784,55,中信建投    ,1707,310
20140207,IF1402                        ,11,浙商期货    ,23544,93,南华期货    ,1742,165,上海东证    ,1647,666
20140207,IF1402                        ,12,永安期货    ,21680,4102,兴证期货    ,1695,86,申银万国    ,1470,109
20140207,IF1402                        ,13,银河期货    ,21202,865,鲁证期货    ,1673,313,鲁证期货    ,1386,8
20140207,IF1402                        ,14,招商期货    ,18883,-34,上海东证    ,1659,256,永安期货    ,1236,-490
20140207,IF1402                        ,15,鲁证期货    ,18343,-1886,新湖期货    ,1583,104,国信期货    ,1236,161
20140207,IF1402                        ,16,上海东证    ,18206,-225,安信期货    ,1521,-1134,浙商期货    ,1148,257
20140207,IF1402                        ,17,经易期货    ,18034,2742,方正中期    ,1448,235,中钢期货    ,1048,-140
20140207,IF1402                        ,18,上海中期    ,17812,1259,中投天琪    ,1411,-190,招商期货    ,994,521
20140207,IF1402                        ,19,宏源期货    ,16990,3844,国信期货    ,1397,-53,安信期货    ,859,487
20140207,IF1402                        ,20,中投天琪    ,16816,569,宏源期货    ,1362,114,兴证期货    ,798,-195
20140207,IF1403                        ,1,海通期货    ,8377,252,国泰君安    ,4235,270,中信期货    ,9278,307
20140207,IF1403                        ,2,华西期货    ,6590,1090,海通期货    ,1850,73,海通期货    ,4453,118
20140207,IF1403                        ,3,中信期货    ,4214,-585,鲁证期货    ,1848,161,广发期货    ,3754,-53
20140207,IF1403                        ,4,国泰君安    ,3496,614,银河期货    ,1590,63,南华期货    ,2879,-22
20140207,IF1403                        ,5,南华期货    ,3096,865,申银万国    ,1503,103,华泰长城    ,2575,-526
20140207,IF1403                        ,6,经易期货    ,2605,1083,广发期货    ,1353,166,国泰君安    ,1536,74
20140207,IF1403                        ,7,兴证期货    ,2201,1029,中信期货    ,1261,179,银河期货    ,1116,71
20140207,IF1403                        ,8,广发期货    ,2149,-1329,信达期货    ,1229,3,永安期货    ,833,94
20140207,IF1403                        ,9,招商期货    ,2097,150,光大期货    ,1064,-65,新湖期货    ,690,3
20140207,IF1403                        ,10,华泰长城    ,2079,-165,永安期货    ,1008,72,方正中期    ,608,160
20140207,IF1403                        ,11,浙商期货    ,1582,575,南华期货    ,1006,24,上海东证    ,465,74
20140207,IF1403                        ,12,新湖期货    ,1542,321,北京首创    ,879,24,平安期货    ,428,5
20140207,IF1403                        ,13,光大期货    ,1472,-186,中国国际    ,852,42,国都期货    ,423,-11
20140207,IF1403                        ,14,银河期货    ,1404,243,浙商期货    ,834,47,光大期货    ,402,79
20140207,IF1403                        ,15,申银万国    ,1353,143,招商期货    ,830,104,申银万国    ,361,34
20140207,IF1403                        ,16,浙江中大    ,1282,894,中粮期货    ,823,21,安信期货    ,354,37
20140207,IF1403                        ,17,永安期货    ,1084,309,方正中期    ,739,-6,长江期货    ,330,-1
20140207,IF1403                        ,18,信达期货    ,943,-31,华泰长城    ,680,-5,中信建投    ,290,59
