交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140212,IF1402                        ,期货公司,952912,-246024,61495,-2176,61495,-2176
20140212,IF1402                        ,非期货公司,0,0,0,0,0,0
20140212,IF1403                        ,期货公司,113368,-13252,41396,1932,41396,1932
20140212,IF1403                        ,非期货公司,0,0,0,0,0,0
20140212,IF1406                        ,期货公司,9512,-3490,12604,152,12604,152
20140212,IF1406                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140212,IF1402                        ,1,国泰君安    ,82759,-18273,国泰君安    ,5748,299,中信期货    ,6871,38
20140212,IF1402                        ,2,海通期货    ,77006,-13387,中信期货    ,3609,-596,财富期货    ,6119,16
20140212,IF1402                        ,3,华泰长城    ,49429,-9173,广发期货    ,3407,-238,海通期货    ,5581,203
20140212,IF1402                        ,4,光大期货    ,40333,-15032,海通期货    ,2999,-31,国泰君安    ,3853,-1220
20140212,IF1402                        ,5,申银万国    ,39442,-10059,光大期货    ,2732,84,银河期货    ,3510,-166
20140212,IF1402                        ,6,兴证期货    ,39045,-11090,银河期货    ,2410,84,广发期货    ,3055,-66
20140212,IF1402                        ,7,广发期货    ,36320,-16802,华泰长城    ,2255,-294,中银国际    ,2187,-20
20140212,IF1402                        ,8,南华期货    ,34105,-3654,安信期货    ,2214,-887,华泰长城    ,2141,-399
20140212,IF1402                        ,9,中信期货    ,32066,-9204,永安期货    ,1952,243,鲁证期货    ,1995,89
20140212,IF1402                        ,10,经易期货    ,27388,-678,新湖期货    ,1919,-17,申银万国    ,1466,53
20140212,IF1402                        ,11,永安期货    ,26003,-2799,上海东证    ,1768,405,光大期货    ,1302,-355
20140212,IF1402                        ,12,浙商期货    ,25464,-10999,鲁证期货    ,1764,99,招商期货    ,1268,381
20140212,IF1402                        ,13,银河期货    ,24844,-5386,申银万国    ,1555,89,国信期货    ,1255,-12
20140212,IF1402                        ,14,招商期货    ,20470,-4282,兴证期货    ,1471,-150,浙商期货    ,1214,-25
20140212,IF1402                        ,15,方正中期    ,20465,-11736,瑞达期货    ,1464,-64,中钢期货    ,1177,-56
20140212,IF1402                        ,16,鲁证期货    ,20404,-3930,方正中期    ,1432,1,中信建投    ,1174,20
20140212,IF1402                        ,17,上海东证    ,20074,-6376,宏源期货    ,1314,-69,锦泰期货    ,1045,597
20140212,IF1402                        ,18,上海中期    ,17967,-3349,南华期货    ,1277,18,永安期货    ,808,8
20140212,IF1402                        ,19,中信建投    ,14546,-3463,中投天琪    ,1196,31,兴证期货    ,798,-33
20140212,IF1402                        ,20,中投天琪    ,14457,-5030,中银国际    ,1018,-4,方正中期    ,718,-88
20140212,IF1403                        ,1,海通期货    ,11222,-550,国泰君安    ,3538,141,中信期货    ,9716,338
