交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140310,IF1403                        ,期货公司,1416992,-45026,92864,766,92864,766
20140310,IF1403                        ,非期货公司,0,0,0,0,0,0
20140310,IF1406                        ,期货公司,56530,11590,23285,1064,23285,1064
20140310,IF1406                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140310,IF1403                        ,1,海通期货    ,113150,-8504,国泰君安    ,10555,2061,中信期货    ,14674,-447
20140310,IF1403                        ,2,兴证期货    ,88789,6110,安信期货    ,4307,-53,海通期货    ,8665,-375
20140310,IF1403                        ,3,国泰君安    ,85528,-4798,海通期货    ,3873,1235,华泰长城    ,5678,-621
20140310,IF1403                        ,4,广发期货    ,81277,8438,广发期货    ,3811,-432,国泰君安    ,5407,713
20140310,IF1403                        ,5,华泰长城    ,71588,-9289,银河期货    ,3769,-69,广发期货    ,5401,887
20140310,IF1403                        ,6,中信期货    ,60960,-44,中信期货    ,3666,-535,财富期货    ,4887,-1349
20140310,IF1403                        ,7,申银万国    ,56762,2883,申银万国    ,3190,100,南华期货    ,4071,-298
20140310,IF1403                        ,8,光大期货    ,44898,-3367,永安期货    ,2901,-15,永安期货    ,2768,120
20140310,IF1403                        ,9,南华期货    ,38260,-1933,华泰长城    ,2807,-131,光大期货    ,2258,-546
20140310,IF1403                        ,10,永安期货    ,35741,2762,上海东证    ,2726,864,银河期货    ,1995,-136
20140310,IF1403                        ,11,银河期货    ,34851,-1901,光大期货    ,2606,-644,新湖期货    ,1835,212
20140310,IF1403                        ,12,经易期货    ,34162,-1660,兴证期货    ,2347,134,国信期货    ,1832,-105
20140310,IF1403                        ,13,招商期货    ,30774,3446,南华期货    ,2088,-42,申银万国    ,1762,320
20140310,IF1403                        ,14,大有期货    ,29668,3549,方正中期    ,2054,-42,中投天琪    ,1469,784
20140310,IF1403                        ,15,浙商期货    ,27903,358,鲁证期货    ,2045,-371,安信期货    ,1458,-59
20140310,IF1403                        ,16,方正中期    ,26103,-4363,招商期货    ,2023,726,锦泰期货    ,1382,0
20140310,IF1403                        ,17,华鑫期货    ,24718,44,瑞达期货    ,1927,-622,鲁证期货    ,1381,-162
20140310,IF1403                        ,18,上海中期    ,22634,765,中投天琪    ,1624,20,国金期货    ,1351,55
20140310,IF1403                        ,19,中信建投    ,21753,-35,国信期货    ,1542,174,中信建投    ,1235,7
20140310,IF1403                        ,20,中投天琪    ,21342,-568,中国国际    ,1506,187,兴证期货    ,1184,-67
20140310,IF1406                        ,1,华西期货    ,7706,3297,国泰君安    ,2018,524,中信期货    ,3905,119
20140310,IF1406                        ,2,海通期货    ,5353,-449,海通期货    ,1707,-73,国泰君安    ,3641,46
20140310,IF1406                        ,3,中信期货    ,4816,401,鲁证期货    ,1379,-43,招商期货    ,2431,-162
20140310,IF1406                        ,4,华泰长城    ,3739,1558,信达期货    ,1184,-15,银河期货    ,1873,317
20140310,IF1406                        ,5,南华期货    ,3369,653,永安期货    ,1100,15,海通期货    ,1103,0
20140310,IF1406                        ,6,申银万国    ,2437,-168,申银万国    ,895,-26,申银万国    ,929,103
20140310,IF1406                        ,7,国泰君安    ,1740,483,华泰长城    ,888,175,方正中期    ,769,111
20140310,IF1406                        ,8,招商期货    ,1719,812,方正中期    ,779,101,广发期货    ,720,98
20140310,IF1406                        ,9,浙江中大    ,1550,127,浙商期货    ,775,-197,兴证期货    ,712,30
20140310,IF1406                        ,10,新湖期货    ,1277,178,弘业期货    ,686,17,光大期货    ,710,30
20140310,IF1406                        ,11,宏源期货    ,1234,859,广发期货    ,680,41,永安期货    ,543,13
20140310,IF1406                        ,12,光大期货    ,1226,148,大地期货    ,663,338,宝城期货    ,438,-1
20140310,IF1406                        ,13,经易期货    ,1167,-8,光大期货    ,660,10,华泰长城    ,431,30
20140310,IF1406                        ,14,银河期货    ,1139,248,中国国际    ,543,46,北京首创    ,403,44
20140310,IF1406                        ,15,永安期货    ,1120,250,招商期货    ,497,265,上海东证    ,362,49
20140310,IF1406                        ,16,方正中期    ,1046,563,南华期货    ,485,0,东吴期货    ,252,6
20140310,IF1406                        ,17,广发期货    ,975,-165,北京首创    ,474,-71,中信建投    ,251,-30
20140310,IF1406                        ,18,华鑫期货    ,966,639,中信期货    ,436,-173,南华期货    ,244,59
20140310,IF1406                        ,19,浙商期货    ,861,248,银河期货    ,386,-30,和融期货    ,234,0
20140310,IF1406                        ,20,大地期货    ,839,472,国投中谷    ,370,180,瑞达期货    ,219,14
