交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140311,IF1403                        ,期货公司,1582232,165240,84447,-8417,84447,-8417
20140311,IF1403                        ,非期货公司,0,0,0,0,0,0
20140311,IF1404                        ,期货公司,43996,13552,10751,1896,10751,1896
20140311,IF1404                        ,非期货公司,0,0,0,0,0,0
20140311,IF1406                        ,期货公司,55538,-992,23531,246,23531,246
20140311,IF1406                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140311,IF1403                        ,1,海通期货    ,126178,13028,国泰君安    ,9534,-1021,中信期货    ,15253,579
20140311,IF1403                        ,2,国泰君安    ,98687,13159,海通期货    ,3787,-86,海通期货    ,7995,-670
20140311,IF1403                        ,3,兴证期货    ,97479,8690,安信期货    ,3744,-563,华泰长城    ,4809,-869
20140311,IF1403                        ,4,广发期货    ,88698,7421,银河期货    ,3423,-346,财富期货    ,4684,-203
20140311,IF1403                        ,5,华泰长城    ,86643,15055,广发期货    ,3346,-465,广发期货    ,4380,-1021
20140311,IF1403                        ,6,中信期货    ,65291,4331,中信期货    ,3008,-658,国泰君安    ,4119,-1288
20140311,IF1403                        ,7,申银万国    ,63670,6908,永安期货    ,2637,-264,南华期货    ,3096,-975
20140311,IF1403                        ,8,光大期货    ,55202,10304,华泰长城    ,2509,-298,永安期货    ,2433,-335
20140311,IF1403                        ,9,南华期货    ,46292,8032,上海东证    ,2378,-348,国信期货    ,1924,92
20140311,IF1403                        ,10,银河期货    ,41147,6296,兴证期货    ,2359,12,银河期货    ,1834,-161
20140311,IF1403                        ,11,永安期货    ,35863,122,光大期货    ,2345,-261,申银万国    ,1769,7
20140311,IF1403                        ,12,经易期货    ,35789,1627,申银万国    ,2299,-891,新湖期货    ,1585,-250
20140311,IF1403                        ,13,方正中期    ,32716,6613,鲁证期货    ,2004,-41,鲁证期货    ,1378,-3
20140311,IF1403                        ,14,浙商期货    ,32694,4791,南华期货    ,1913,-175,中投天琪    ,1356,-113
20140311,IF1403                        ,15,招商期货    ,30761,-13,瑞达期货    ,1910,-17,国金期货    ,1343,-8
20140311,IF1403                        ,16,上海东证    ,29524,9266,招商期货    ,1824,-199,光大期货    ,1289,-969
20140311,IF1403                        ,17,中投天琪    ,26666,5324,方正中期    ,1662,-392,中钢期货    ,1109,-11
20140311,IF1403                        ,18,中信建投    ,26030,4277,浙商期货    ,1462,9,中信建投    ,1108,-127
20140311,IF1403                        ,19,华鑫期货    ,25841,1123,中投天琪    ,1403,-221,同信久恒    ,1024,83
20140311,IF1403                        ,20,大有期货    ,24419,-5249,中粮期货    ,1380,-13,安信期货    ,988,-470
20140311,IF1404                        ,1,海通期货    ,5590,674,中信期货    ,2222,306,海通期货    ,2212,239
20140311,IF1404                        ,2,华西期货    ,5480,2246,广发期货    ,950,835,财富期货    ,774,17
20140311,IF1404                        ,3,中信期货    ,4157,1615,银河期货    ,855,455,中信期货    ,768,433
20140311,IF1404                        ,4,浙江中大    ,2570,1588,国投中谷    ,790,1,南华期货    ,741,346
20140311,IF1404                        ,5,华泰长城    ,2452,1315,安信期货    ,623,-3,华泰长城    ,604,284
20140311,IF1404                        ,6,南华期货    ,1966,794,光大期货    ,416,17,国泰君安    ,583,13
20140311,IF1404                        ,7,广发期货    ,1737,1243,浙商期货    ,336,6,五矿期货    ,451,7
20140311,IF1404                        ,8,国泰君安    ,1719,23,申银万国    ,317,139,中信建投    ,328,46
20140311,IF1404                        ,9,光大期货    ,1371,777,国泰君安    ,310,40,申银万国    ,256,26
20140311,IF1404                        ,10,银河期货    ,1231,767,大地期货    ,304,3,东海期货    ,248,12
