交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140324,IF1404                        ,期货公司,1389798,-657342,78180,-95,78180,-95
20140324,IF1404                        ,非期货公司,0,0,0,0,0,0
20140324,IF1406                        ,期货公司,67340,-41920,26804,-302,26804,-302
20140324,IF1406                        ,非期货公司,0,0,0,0,0,0
20140324,IF1409                        ,期货公司,11736,-11906,14617,477,14617,477
20140324,IF1409                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140324,IF1404                        ,1,海通期货    ,111274,-59567,国泰君安    ,6298,-848,中信期货    ,11145,-1421
20140324,IF1404                        ,2,国泰君安    ,85613,-33370,中信期货    ,5788,250,海通期货    ,9435,695
20140324,IF1404                        ,3,兴证期货    ,81358,-51065,银河期货    ,4992,301,国泰君安    ,6307,693
20140324,IF1404                        ,4,华泰长城    ,69427,-22856,广发期货    ,4096,-122,华泰长城    ,4931,-235
20140324,IF1404                        ,5,申银万国    ,61800,-21440,申银万国    ,2954,291,广发期货    ,3417,-217
20140324,IF1404                        ,6,中信期货    ,61131,-39102,国投中谷    ,2917,86,财富期货    ,2911,-181
20140324,IF1404                        ,7,广发期货    ,59497,-60266,海通期货    ,2827,285,光大期货    ,2267,802
20140324,IF1404                        ,8,光大期货    ,53809,-9582,华泰长城    ,2799,-38,南华期货    ,2069,182
20140324,IF1404                        ,9,南华期货    ,42224,-13652,永安期货    ,2795,-336,永安期货    ,1876,212
20140324,IF1404                        ,10,永安期货    ,34620,-15803,方正中期    ,2618,375,新湖期货    ,1868,-32
20140324,IF1404                        ,11,浙商期货    ,34350,-13128,安信期货    ,2214,1011,国信期货    ,1715,201
20140324,IF1404                        ,12,经易期货    ,33241,-3562,南华期货    ,2006,116,银河期货    ,1650,-152
20140324,IF1404                        ,13,银河期货    ,31687,-12226,光大期货    ,1969,33,上海东证    ,1619,116
20140324,IF1404                        ,14,方正中期    ,31136,-6107,中投天琪    ,1800,57,方正中期    ,1607,-13
20140324,IF1404                        ,15,招商期货    ,29293,-7008,鲁证期货    ,1784,113,申银万国    ,1519,-413
20140324,IF1404                        ,16,华鑫期货    ,26395,-2452,新湖期货    ,1744,-100,鲁证期货    ,1326,211
20140324,IF1404                        ,17,中信建投    ,26345,-6845,上海东证    ,1651,-564,招商期货    ,1321,-114
20140324,IF1404                        ,18,鲁证期货    ,23858,-9118,瑞达期货    ,1394,-43,国金期货    ,1150,16
20140324,IF1404                        ,19,上海东证    ,23562,-13544,中粮期货    ,1220,100,中信建投    ,998,-59
20140324,IF1404                        ,20,中投天琪    ,22174,-7302,招商期货    ,1208,227,兴证期货    ,956,-339
20140324,IF1406                        ,1,华西期货    ,8306,-6874,鲁证期货    ,1963,155,中信期货    ,5281,-53
20140324,IF1406                        ,2,海通期货    ,6459,-1656,国泰君安    ,1841,-116,国泰君安    ,4426,-27
20140324,IF1406                        ,3,中信期货    ,5947,-3580,海通期货    ,1579,-148,招商期货    ,2529,-3
20140324,IF1406                        ,4,南华期货    ,3586,-2804,信达期货    ,1204,4,银河期货    ,1714,8
20140324,IF1406                        ,5,华鑫期货    ,3159,175,广发期货    ,1113,-291,方正中期    ,1311,373
20140324,IF1406                        ,6,国泰君安    ,2523,-885,永安期货    ,1015,-114,广发期货    ,1170,-63
20140324,IF1406                        ,7,广发期货    ,2084,-1684,申银万国    ,1011,75,光大期货    ,1062,91
20140324,IF1406                        ,8,招商期货    ,2082,-1558,方正中期    ,867,60,申银万国    ,781,-143
20140324,IF1406                        ,9,华泰长城    ,1934,-1286,南华期货    ,826,27,永安期货    ,728,-27
20140324,IF1406                        ,10,申银万国    ,1820,-2287,华泰长城    ,817,-23,中信建投    ,692,-15
20140324,IF1406                        ,11,方正中期    ,1681,-361,中国国际    ,811,45,宝城期货    ,461,1
20140324,IF1406                        ,12,光大期货    ,1564,-130,光大期货    ,796,7,华泰长城    ,456,-27
20140324,IF1406                        ,13,兴证期货    ,1432,-860,中信期货    ,777,44,安信期货    ,422,-26
20140324,IF1406                        ,14,新湖期货    ,1406,-2650,国投中谷    ,747,203,上海东证    ,381,-39
20140324,IF1406                        ,15,经易期货    ,1405,55,浙商期货    ,736,0,海通期货    ,367,-23
20140324,IF1406                        ,16,美尔雅     ,1368,49,北京首创    ,619,-12,长江期货    ,357,-13
20140324,IF1406                        ,17,银河期货    ,1168,-1111,弘业期货    ,498,77,国都期货    ,347,0
20140324,IF1406                        ,18,大地期货    ,1054,-77,招商期货    ,475,267,北京首创    ,306,-1
20140324,IF1406                        ,19,国信期货    ,945,-244,瑞达期货    ,445,2,鲁证期货    ,250,-21
20140324,IF1406                        ,20,宏源期货    ,933,-1686,华联期货    ,435,130,东吴期货    ,231,13
20140324,IF1409                        ,1,中信期货    ,1277,-2173,海通期货    ,2904,307,中信期货    ,3322,161
20140324,IF1409                        ,2,海通期货    ,1172,-789,永安期货    ,927,9,南华期货    ,3189,10
20140324,IF1409                        ,3,国泰君安    ,703,-156,国泰君安    ,872,-19,国泰君安    ,2223,94
20140324,IF1409                        ,4,新湖期货    ,688,-634,方正中期    ,587,8,广发期货    ,1292,13
20140324,IF1409                        ,5,申银万国    ,680,-638,广发期货    ,577,5,永安期货    ,552,-18
20140324,IF1409                        ,6,招商期货    ,602,-255,招商期货    ,514,-25,申银万国    ,449,25
20140324,IF1409                        ,7,华泰长城    ,566,-396,华泰长城    ,493,30,宝城期货    ,427,0
20140324,IF1409                        ,8,兴证期货    ,438,-243,中信期货    ,479,78,上海东证    ,423,3
20140324,IF1409                        ,9,华西期货    ,351,-354,东海期货    ,361,11,华泰长城    ,333,10
20140324,IF1409                        ,10,广发期货    ,332,-655,长江期货    ,357,9,中钢期货    ,301,83
20140324,IF1409                        ,11,南华期货    ,296,-661,国投中谷    ,345,6,瑞达期货    ,202,1
20140324,IF1409                        ,12,银河期货    ,295,-648,银河期货    ,318,-62,平安期货    ,178,-4
20140324,IF1409                        ,13,永安期货    ,265,-130,申银万国    ,286,33,财富期货    ,175,5
20140324,IF1409                        ,14,光大期货    ,243,-305,中粮期货    ,277,22,海通期货    ,166,-1
20140324,IF1409                        ,15,浙商期货    ,228,-83,华西期货    ,275,18,金友期货    ,140,0
20140324,IF1409                        ,16,长江期货    ,215,-4,南华期货    ,258,0,光大期货    ,85,3
20140324,IF1409                        ,17,中信新际    ,208,-365,兴证期货    ,247,18,国信期货    ,83,3
20140324,IF1409                        ,18,中钢期货    ,201,27,信达期货    ,230,12,中投天琪    ,82,4
20140324,IF1409                        ,19,中信建投    ,192,-89,光大期货    ,224,22,招商期货    ,72,1
20140324,IF1409                        ,20,中银国际    ,181,162,浙商期货    ,201,4,中信建投    ,71,9
