交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140401,IF1404                        ,期货公司,1482748,126732,72976,2003,72976,2003
20140401,IF1404                        ,非期货公司,0,0,0,0,0,0
20140401,IF1406                        ,期货公司,61802,-5724,28335,390,28335,390
20140401,IF1406                        ,非期货公司,0,0,0,0,0,0
20140401,IF1409                        ,期货公司,15222,-692,17550,496,17550,496
20140401,IF1409                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140401,IF1404                        ,1,海通期货    ,116041,11244,国泰君安    ,5795,195,海通期货    ,10176,744
20140401,IF1404                        ,2,国泰君安    ,90293,4571,银河期货    ,4801,23,中信期货    ,9645,1838
20140401,IF1404                        ,3,兴证期货    ,67587,-10876,永安期货    ,4447,326,华泰长城    ,6769,-719
20140401,IF1404                        ,4,中信期货    ,61483,-232,中信期货    ,4190,-13,国泰君安    ,3944,52
20140401,IF1404                        ,5,华泰长城    ,60878,5829,广发期货    ,3594,370,广发期货    ,3243,-829
20140401,IF1404                        ,6,申银万国    ,58916,11250,浙商期货    ,2826,232,财富期货    ,3045,-76
20140401,IF1404                        ,7,广发期货    ,58087,8439,方正中期    ,2600,121,国信期货    ,2169,66
20140401,IF1404                        ,8,光大期货    ,57033,3125,申银万国    ,2568,-38,光大期货    ,1814,729
20140401,IF1404                        ,9,南华期货    ,41549,-1029,国投中谷    ,2211,-95,上海东证    ,1757,425
20140401,IF1404                        ,10,永安期货    ,39657,6632,海通期货    ,2184,473,银河期货    ,1725,27
20140401,IF1404                        ,11,招商期货    ,37614,4979,光大期货    ,2056,-468,永安期货    ,1584,85
20140401,IF1404                        ,12,银河期货    ,35378,2981,南华期货    ,1958,-243,鲁证期货    ,1455,-86
20140401,IF1404                        ,13,方正中期    ,34021,2078,华泰长城    ,1764,21,申银万国    ,1303,94
20140401,IF1404                        ,14,经易期货    ,32990,-717,安信期货    ,1596,795,国金期货    ,1149,-63
20140401,IF1404                        ,15,华鑫期货    ,27441,-109,上海东证    ,1557,-255,方正中期    ,1113,540
20140401,IF1404                        ,16,鲁证期货    ,26877,802,新湖期货    ,1368,82,浙江中大    ,944,32
20140401,IF1404                        ,17,上海东证    ,25552,1557,鲁证期货    ,1312,137,中信建投    ,938,-81
20140401,IF1404                        ,18,上海中期    ,24067,3759,兴证期货    ,1277,7,招商期货    ,922,83
20140401,IF1404                        ,19,浙商期货    ,23594,3539,中粮期货    ,1213,-99,兴证期货    ,918,-254
20140401,IF1404                        ,20,中投天琪    ,22217,2218,瑞达期货    ,1066,55,新湖期货    ,894,-108
20140401,IF1406                        ,1,华西期货    ,7021,-851,国泰君安    ,1836,-11,中信期货    ,5283,-15
20140401,IF1406                        ,2,海通期货    ,6451,-544,鲁证期货    ,1694,-598,国泰君安    ,4180,130
20140401,IF1406                        ,3,中信期货    ,6266,-832,申银万国    ,1659,77,招商期货    ,2600,18
20140401,IF1406                        ,4,南华期货    ,3177,-157,海通期货    ,1594,-52,银河期货    ,1783,9
20140401,IF1406                        ,5,国泰君安    ,2543,-174,中信期货    ,1477,95,方正中期    ,1451,-22
