交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140414,IF1404                        ,期货公司,1035422,-231504,61767,-2712,61767,-2712
20140414,IF1404                        ,非期货公司,0,0,0,0,0,0
20140414,IF1405                        ,期货公司,48122,8276,18629,2785,18629,2785
20140414,IF1405                        ,非期货公司,0,0,0,0,0,0
20140414,IF1406                        ,期货公司,50762,-18986,34653,1373,34653,1373
20140414,IF1406                        ,非期货公司,0,0,0,0,0,0
20140414,IF1409                        ,期货公司,12416,-5332,19909,261,19909,261
20140414,IF1409                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140414,IF1404                        ,1,海通期货    ,80211,-22397,国泰君安    ,5513,-820,中信期货    ,8466,-158
20140414,IF1404                        ,2,国泰君安    ,74634,-10733,中信期货    ,4295,-27,海通期货    ,8186,77
20140414,IF1404                        ,3,中信期货    ,48085,-7875,永安期货    ,3754,-230,国泰君安    ,3262,-804
20140414,IF1404                        ,4,华泰长城    ,46940,-7636,方正中期    ,2581,-273,广发期货    ,3004,-160
20140414,IF1404                        ,5,兴证期货    ,46445,-11275,广发期货    ,2506,-508,华泰长城    ,2992,-167
20140414,IF1404                        ,6,光大期货    ,39348,-6952,海通期货    ,2377,-1022,财富期货    ,2619,-386
20140414,IF1404                        ,7,南华期货    ,36722,-4816,南华期货    ,2316,236,永安期货    ,1793,13
20140414,IF1404                        ,8,申银万国    ,36041,-8526,银河期货    ,2127,-102,国信期货    ,1721,-141
20140414,IF1404                        ,9,广发期货    ,32954,-20096,申银万国    ,2004,182,上海东证    ,1574,127
20140414,IF1404                        ,10,经易期货    ,27262,-5711,新湖期货    ,1933,-13,申银万国    ,1547,135
20140414,IF1404                        ,11,方正中期    ,27098,-1383,浙商期货    ,1928,1,新湖期货    ,1310,20
20140414,IF1404                        ,12,招商期货    ,26624,-6013,光大期货    ,1561,-60,银河期货    ,1283,66
20140414,IF1404                        ,13,银河期货    ,26102,-6370,华泰长城    ,1393,-49,鲁证期货    ,1278,-29
20140414,IF1404                        ,14,永安期货    ,23099,-6821,上海东证    ,1208,-76,兴证期货    ,1074,-7
20140414,IF1404                        ,15,中信建投    ,21006,-1648,中信建投    ,1072,55,招商期货    ,1001,-100
20140414,IF1404                        ,16,浙商期货    ,19691,514,中粮期货    ,1063,-15,光大期货    ,993,-252
20140414,IF1404                        ,17,鲁证期货    ,18394,-4506,国投中谷    ,1055,8,中信建投    ,932,-91
20140414,IF1404                        ,18,上海东证    ,17281,-9677,国信期货    ,1038,41,南华期货    ,923,-46
20140414,IF1404                        ,19,中投天琪    ,16649,-4540,兴证期货    ,947,-22,华西期货    ,917,364
20140414,IF1404                        ,20,国信期货    ,16036,-2299,中国国际    ,936,88,金瑞期货    ,842,-1
20140414,IF1405                        ,1,海通期货    ,5190,870,银河期货    ,2642,86,中信期货    ,3462,335
20140414,IF1405                        ,2,华西期货    ,5053,973,国泰君安    ,2527,325,广发期货    ,2327,445
20140414,IF1405                        ,3,中信期货    ,3653,-895,永安期货    ,2404,381,华泰长城    ,2285,-128
20140414,IF1405                        ,4,国泰君安    ,3022,154,广发期货    ,958,101,海通期货    ,2247,469
20140414,IF1405                        ,5,招商期货    ,2113,493,方正中期    ,915,240,银河期货    ,891,583
20140414,IF1405                        ,6,华泰长城    ,1898,507,中信期货    ,870,-66,国信期货    ,655,201
20140414,IF1405                        ,7,浙江中大    ,1778,273,浙商期货    ,671,59,鲁证期货    ,558,-5
20140414,IF1405                        ,8,上海东证    ,1636,803,申银万国    ,636,-1,浙江中大    ,547,27
20140414,IF1405                        ,9,光大期货    ,1633,1112,上海东证    ,636,116,中投天琪    ,436,300
20140414,IF1405                        ,10,南华期货    ,1503,-190,招商期货    ,415,31,财富期货    ,404,391
20140414,IF1405                        ,11,申银万国    ,1499,519,兴证期货    ,406,17,国泰君安    ,395,-489
20140414,IF1405                        ,12,永安期货    ,1484,242,鲁证期货    ,372,30,申银万国    ,344,-88
20140414,IF1405                        ,13,银河期货    ,1319,-60,光大期货    ,312,95,光大期货    ,314,140
20140414,IF1405                        ,14,广发期货    ,1194,69,国信期货    ,276,100,永安期货    ,311,37
20140414,IF1405                        ,15,国信期货    ,1119,147,中融汇信    ,259,0,兴证期货    ,229,-88
20140414,IF1405                        ,16,兴证期货    ,945,-278,国都期货    ,257,238,东兴期货    ,190,0
20140414,IF1405                        ,17,新湖期货    ,893,40,海通期货    ,234,53,北京首创    ,181,1
20140414,IF1405                        ,18,中信建投    ,751,543,北京首创    ,215,8,招商期货    ,175,66
20140414,IF1405                        ,19,渤海期货    ,637,572,国海良时    ,209,58,中信建投    ,160,82
20140414,IF1405                        ,20,浙商期货    ,611,63,华泰长城    ,176,60,南华期货    ,137,17
20140414,IF1406                        ,1,华西期货    ,6400,-1374,国泰君安    ,2758,553,中信期货    ,7296,611
20140414,IF1406                        ,2,中信期货    ,4742,-2443,鲁证期货    ,2165,202,国泰君安    ,3578,-89
20140414,IF1406                        ,3,海通期货    ,4172,-1807,永安期货    ,1923,94,招商期货    ,2711,17
20140414,IF1406                        ,4,国泰君安    ,2418,-534,安信期货    ,1822,13,海通期货    ,1822,34
20140414,IF1406                        ,5,华泰长城    ,2374,302,方正中期    ,1484,246,华泰长城    ,1507,178
20140414,IF1406                        ,6,华鑫期货    ,2273,-20,海通期货    ,1482,-38,永安期货    ,1454,61
20140414,IF1406                        ,7,招商期货    ,1942,-1040,申银万国    ,1460,1,方正中期    ,1414,151
20140414,IF1406                        ,8,南华期货    ,1543,-613,广发期货    ,1426,124,银河期货    ,1383,-432
20140414,IF1406                        ,9,申银万国    ,1250,-425,中信期货    ,1353,-3,光大期货    ,1309,-20
20140414,IF1406                        ,10,广发期货    ,1197,-632,信达期货    ,1220,38,申银万国    ,1211,391
20140414,IF1406                        ,11,经易期货    ,1188,-555,北京首创    ,938,16,广发期货    ,1040,25
20140414,IF1406                        ,12,银河期货    ,1129,-303,中国国际    ,903,19,国金期货    ,1021,297
20140414,IF1406                        ,13,方正中期    ,1073,157,光大期货    ,892,-42,中信建投    ,734,20
20140414,IF1406                        ,14,新湖期货    ,1029,-316,美尔雅     ,888,18,国投中谷    ,593,-1
20140414,IF1406                        ,15,光大期货    ,934,-965,浙商期货    ,780,51,宝城期货    ,591,-3
20140414,IF1406                        ,16,国信期货    ,867,-229,银河期货    ,662,23,上海东证    ,508,20
20140414,IF1406                        ,17,上海东证    ,815,-461,华泰长城    ,605,20,金瑞期货    ,491,19
20140414,IF1406                        ,18,永安期货    ,813,-1177,招商期货    ,578,1,安信期货    ,481,-7
20140414,IF1406                        ,19,中银国际    ,808,-302,南华期货    ,511,79,国信期货    ,386,51
20140414,IF1406                        ,20,浙江中大    ,763,-67,东海期货    ,483,7,长江期货    ,380,12
20140414,IF1409                        ,1,海通期货    ,1374,-918,海通期货    ,2313,-10,国泰君安    ,4932,143
20140414,IF1409                        ,2,中信期货    ,1299,-71,安信期货    ,1609,-22,中信期货    ,4378,-23
20140414,IF1409                        ,3,华西期货    ,1040,-187,中信期货    ,1602,-146,南华期货    ,3568,114
20140414,IF1409                        ,4,华泰长城    ,788,-302,永安期货    ,1232,107,广发期货    ,2105,25
20140414,IF1409                        ,5,申银万国    ,741,157,国泰君安    ,1028,-48,申银万国    ,555,18
