交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140421,IF1405                        ,期货公司,1458196,23912,75324,5419,75324,5419
20140421,IF1405                        ,非期货公司,0,0,0,0,0,0
20140421,IF1406                        ,期货公司,88988,-282,38554,265,38554,265
20140421,IF1406                        ,非期货公司,0,0,0,0,0,0
20140421,IF1409                        ,期货公司,25936,4834,21788,741,21788,741
20140421,IF1409                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140421,IF1405                        ,1,海通期货    ,121746,-3743,国泰君安    ,6863,808,中信期货    ,10569,21
20140421,IF1405                        ,2,国泰君安    ,92664,8426,永安期货    ,6447,648,海通期货    ,10112,549
20140421,IF1405                        ,3,中信期货    ,66928,4648,银河期货    ,4263,-1048,华泰长城    ,4823,-45
20140421,IF1405                        ,4,兴证期货    ,63553,-5701,海通期货    ,3799,377,广发期货    ,4667,112
20140421,IF1405                        ,5,华泰长城    ,62274,1385,中信期货    ,3595,-121,国泰君安    ,3790,332
20140421,IF1405                        ,6,广发期货    ,61355,-10795,申银万国    ,2846,619,财富期货    ,3437,55
20140421,IF1405                        ,7,光大期货    ,56624,8044,广发期货    ,2534,325,光大期货    ,2162,277
20140421,IF1405                        ,8,申银万国    ,50137,-3664,浙商期货    ,2143,-277,银河期货    ,2065,147
20140421,IF1405                        ,9,南华期货    ,41855,-2514,方正中期    ,1991,-53,永安期货    ,1576,203
20140421,IF1405                        ,10,永安期货    ,37141,4976,华泰长城    ,1948,335,鲁证期货    ,1570,5
20140421,IF1405                        ,11,银河期货    ,36163,635,光大期货    ,1824,267,兴证期货    ,1530,123
20140421,IF1405                        ,12,经易期货    ,33504,1521,上海东证    ,1709,177,申银万国    ,1319,-66
20140421,IF1405                        ,13,招商期货    ,33105,1436,安信期货    ,1588,614,国信期货    ,1252,-268
20140421,IF1405                        ,14,方正中期    ,29827,-1187,南华期货    ,1511,-23,新湖期货    ,1228,418
20140421,IF1405                        ,15,上海东证    ,29740,-742,国信期货    ,1484,459,锦泰期货    ,1175,890
