交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140428,IF1405                        ,期货公司,1250766,-238146,75569,5579,75569,5579
20140428,IF1405                        ,非期货公司,0,0,0,0,0,0
20140428,IF1406                        ,期货公司,80732,-1132,40003,1551,40003,1551
20140428,IF1406                        ,非期货公司,0,0,0,0,0,0
20140428,IF1409                        ,期货公司,20546,-1916,22236,-105,22236,-105
20140428,IF1409                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140428,IF1405                        ,1,海通期货    ,95120,-23463,国泰君安    ,6623,-901,中信期货    ,10540,971
20140428,IF1405                        ,2,国泰君安    ,78471,-8421,永安期货    ,5417,286,海通期货    ,9415,684
20140428,IF1405                        ,3,中信期货    ,61965,-6230,银河期货    ,4475,-347,广发期货    ,5670,763
20140428,IF1405                        ,4,广发期货    ,60323,-4591,海通期货    ,4328,750,华泰长城    ,4675,-235
20140428,IF1405                        ,5,兴证期货    ,57287,-3580,中信期货    ,4222,478,国泰君安    ,3737,190
20140428,IF1405                        ,6,华泰长城    ,51882,-11579,申银万国    ,2658,549,财富期货    ,3568,141
20140428,IF1405                        ,7,光大期货    ,49897,-8289,光大期货    ,2477,880,银河期货    ,2093,-47
20140428,IF1405                        ,8,南华期货    ,42853,-4578,方正中期    ,2406,484,上海东证    ,1779,718
20140428,IF1405                        ,9,申银万国    ,40157,-22699,南华期货    ,2130,438,鲁证期货    ,1751,687
20140428,IF1405                        ,10,经易期货    ,33669,-2370,广发期货    ,1996,-922,锦泰期货    ,1666,616
20140428,IF1405                        ,11,银河期货    ,30554,-6161,华泰长城    ,1925,389,永安期货    ,1629,2
20140428,IF1405                        ,12,永安期货    ,30406,-4628,浙商期货    ,1894,199,光大期货    ,1594,-247
20140428,IF1405                        ,13,方正中期    ,26781,-5456,招商期货    ,1820,-124,申银万国    ,1527,102
20140428,IF1405                        ,14,上海东证    ,26696,-1890,国信期货    ,1695,349,国信期货    ,1491,-19
20140428,IF1405                        ,15,招商期货    ,24736,-5366,鲁证期货    ,1688,109,兴证期货    ,1453,-45
20140428,IF1405                        ,16,鲁证期货    ,23126,-7934,上海东证    ,1670,86,中信建投    ,1163,216
20140428,IF1405                        ,17,浙江中大    ,22931,-1261,中信建投    ,1430,50,安信期货    ,1125,595
20140428,IF1405                        ,18,中信建投    ,20140,-9293,兴证期货    ,1398,412,南华期货    ,1097,39
20140428,IF1405                        ,19,中投天琪    ,18902,-2888,中国国际    ,1243,152,浙江中大    ,856,-20
20140428,IF1405                        ,20,浙商期货    ,18806,-4857,国投中谷    ,1200,94,中钢期货    ,808,4
