交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140603,IF1406                        ,期货公司,1024880,-278342,103254,5672,103254,5672
20140603,IF1406                        ,非期货公司,0,0,0,0,0,0
20140603,IF1407                        ,期货公司,27354,-1678,18568,3095,18568,3095
20140603,IF1407                        ,非期货公司,0,0,0,0,0,0
20140603,IF1409                        ,期货公司,29692,-10572,38994,673,38994,673
20140603,IF1409                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140603,IF1406                        ,1,海通期货    ,76297,-11001,国泰君安    ,7945,-281,中信期货    ,17238,-356
20140603,IF1406                        ,2,国泰君安    ,61985,-18671,永安期货    ,5322,-55,海通期货    ,12293,-655
20140603,IF1406                        ,3,南华期货    ,44800,-9930,申银万国    ,5095,492,国泰君安    ,7190,382
20140603,IF1406                        ,4,兴证期货    ,44017,-22367,中信期货    ,4972,-762,银河期货    ,4441,-261
20140603,IF1406                        ,5,中信期货    ,43784,-11398,银河期货    ,4432,223,永安期货    ,4347,114
20140603,IF1406                        ,6,申银万国    ,43544,-7751,方正中期    ,3599,-271,广发期货    ,4037,-227
20140603,IF1406                        ,7,光大期货    ,37205,-11941,海通期货    ,3566,-544,华泰长城    ,3528,-176
20140603,IF1406                        ,8,广发期货    ,37090,-11144,广发期货    ,3370,583,财富期货    ,3046,-134
20140603,IF1406                        ,9,华泰长城    ,35737,-6143,光大期货    ,3130,206,光大期货    ,2554,927
20140603,IF1406                        ,10,招商期货    ,28233,-3637,南华期货    ,3082,442,申银万国    ,2519,94
20140603,IF1406                        ,11,方正中期    ,26904,-6866,鲁证期货    ,3001,9,上海东证    ,2358,434
20140603,IF1406                        ,12,银河期货    ,25710,-7370,华泰长城    ,2965,621,平安期货    ,2167,-75
20140603,IF1406                        ,13,经易期货    ,23005,-4969,浙商期货    ,2528,672,中信建投    ,1977,241
20140603,IF1406                        ,14,永安期货    ,21157,-8821,上海东证    ,2459,403,兴证期货    ,1894,30
20140603,IF1406                        ,15,上海东证    ,20263,-2491,安信期货    ,2252,884,国信期货    ,1654,109
20140603,IF1406                        ,16,浙商期货    ,19477,-3432,国信期货    ,1913,495,鲁证期货    ,1642,140
20140603,IF1406                        ,17,中信建投    ,19412,-5364,大越期货    ,1783,4,招商期货    ,1591,153
20140603,IF1406                        ,18,浙江中大    ,19193,-4729,中粮期货    ,1718,30,安信期货    ,1344,-137
20140603,IF1406                        ,19,国信期货    ,17742,-5002,兴证期货    ,1660,203,中国国际    ,1328,233
20140603,IF1406                        ,20,鲁证期货    ,17255,-5122,中国国际    ,1639,-216,方正中期    ,1304,225
20140603,IF1407                        ,1,海通期货    ,6139,-708,永安期货    ,1815,435,海通期货    ,8285,815
20140603,IF1407                        ,2,中信期货    ,1739,546,中信期货    ,1613,179,中信期货    ,2007,846
20140603,IF1407                        ,3,国泰君安    ,1460,452,浙商期货    ,1315,22,国泰君安    ,1328,212
20140603,IF1407                        ,4,华西期货    ,1285,201,大地期货    ,1151,111,兴证期货    ,1159,11
20140603,IF1407                        ,5,招商期货    ,1154,-411,海通期货    ,978,108,广发期货    ,1118,429
20140603,IF1407                        ,6,南华期货    ,1131,155,国泰君安    ,885,64,宝城期货    ,642,0
20140603,IF1407                        ,7,浙江中大    ,1012,-453,银河期货    ,882,176,中信建投    ,431,1
20140603,IF1407                        ,8,上海东证    ,883,297,上海东证    ,715,38,新湖期货    ,377,17
20140603,IF1407                        ,9,光大期货    ,844,8,招商期货    ,674,35,新世纪     ,361,0
20140603,IF1407                        ,10,广发期货    ,840,-206,宝城期货    ,622,509,南华期货    ,328,67
20140603,IF1407                        ,11,北京首创    ,757,431,东兴期货    ,595,5,申银万国    ,316,83
20140603,IF1407                        ,12,永安期货    ,686,-313,光大期货    ,533,301,光大期货    ,293,11
