交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140709,IF1407                        ,期货公司,1123832,58532,107269,3285,107269,3285
20140709,IF1407                        ,非期货公司,0,0,0,0,0,0
20140709,IF1408                        ,期货公司,25526,3636,11776,2183,11776,2183
20140709,IF1408                        ,非期货公司,0,0,0,0,0,0
20140709,IF1409                        ,期货公司,58168,16264,50589,-472,50589,-472
20140709,IF1409                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140709,IF1407                        ,1,海通期货    ,82833,11760,国泰君安    ,6140,25,海通期货    ,19616,-139
20140709,IF1407                        ,2,国泰君安    ,65975,2501,银河期货    ,5856,-234,中信期货    ,14139,1115
20140709,IF1407                        ,3,兴证期货    ,48252,4397,安信期货    ,5511,104,国泰君安    ,9958,672
20140709,IF1407                        ,4,光大期货    ,48200,4761,申银万国    ,4888,746,广发期货    ,5131,998
20140709,IF1407                        ,5,中信期货    ,47759,6224,中信期货    ,4707,32,财富期货    ,4203,72
20140709,IF1407                        ,6,南华期货    ,43533,-1715,方正中期    ,3976,682,光大期货    ,3051,1270
20140709,IF1407                        ,7,华泰长城    ,43163,6419,鲁证期货    ,3817,875,永安期货    ,2910,461
20140709,IF1407                        ,8,广发期货    ,36654,2521,永安期货    ,3671,-543,兴证期货    ,2804,229
20140709,IF1407                        ,9,申银万国    ,36589,-3949,南华期货    ,3376,708,银河期货    ,2794,107
20140709,IF1407                        ,10,银河期货    ,32575,817,海通期货    ,3070,-466,华泰长城    ,2563,145
20140709,IF1407                        ,11,方正中期    ,31006,199,华泰长城    ,2870,-122,上海东证    ,2259,335
20140709,IF1407                        ,12,永安期货    ,28438,2130,上海东证    ,2836,399,申银万国    ,2241,-37
20140709,IF1407                        ,13,招商期货    ,28184,-2405,光大期货    ,2661,-1130,中银国际    ,2082,-244
20140709,IF1407                        ,14,经易期货    ,25506,-535,广发期货    ,2400,102,中信建投    ,1936,130
20140709,IF1407                        ,15,中信建投    ,22637,-729,瑞达期货    ,2079,300,鲁证期货    ,1902,-76
20140709,IF1407                        ,16,华鑫期货    ,21156,3458,北京首创    ,2069,548,浙商期货    ,1344,113
20140709,IF1407                        ,17,浙江中大    ,20662,4159,中国国际    ,1968,-794,中钢期货    ,1300,259
20140709,IF1407                        ,18,瑞达期货    ,19357,-852,国信期货    ,1947,391,新湖期货    ,1285,669
20140709,IF1407                        ,19,上海东证    ,18708,-485,浙商期货    ,1824,-630,瑞达期货    ,1172,-247
20140709,IF1407                        ,20,鲁证期货    ,18017,-915,中粮期货    ,1693,115,国信期货    ,1095,32
20140709,IF1408                        ,1,南华期货    ,2483,317,银河期货    ,1190,70,海通期货    ,1835,324
20140709,IF1408                        ,2,海通期货    ,2357,560,永安期货    ,1018,368,中信期货    ,1317,-66
20140709,IF1408                        ,3,中信期货    ,2037,-6,大地期货    ,1008,96,广发期货    ,1223,676
20140709,IF1408                        ,4,招商期货    ,1908,505,中信期货    ,764,45,兴证期货    ,961,33
20140709,IF1408                        ,5,北京首创    ,1515,789,宝城期货    ,648,36,申银万国    ,799,414
20140709,IF1408                        ,6,浙江中大    ,1268,161,浙商期货    ,641,38,华泰长城    ,674,250
20140709,IF1408                        ,7,申银万国    ,1128,-69,海通期货    ,638,57,宝城期货    ,633,0
20140709,IF1408                        ,8,华西期货    ,933,294,国泰君安    ,610,108,国泰君安    ,431,124
20140709,IF1408                        ,9,上海东证    ,913,-6,北京首创    ,418,277,南华期货    ,377,56
20140709,IF1408                        ,10,广发期货    ,888,292,财富期货    ,413,0,银河期货    ,338,100
20140709,IF1408                        ,11,国泰君安    ,864,-200,长江期货    ,248,112,五矿期货    ,305,9
20140709,IF1408                        ,12,银河期货    ,744,206,申银万国    ,239,64,国信期货    ,296,-10
20140709,IF1408                        ,13,中融汇信    ,596,179,中粮期货    ,229,9,上海东证    ,225,39
20140709,IF1408                        ,14,兴证期货    ,528,-88,东兴期货    ,215,10,财富期货    ,214,0
20140709,IF1408                        ,15,永安期货    ,504,-23,鲁证期货    ,211,-9,西部期货    ,176,45
20140709,IF1408                        ,16,大有期货    ,501,171,光大期货    ,183,86,东海期货    ,174,62
20140709,IF1408                        ,17,华泰长城    ,473,-33,国投中谷    ,180,24,中信建投    ,151,34
20140709,IF1408                        ,18,光大期货    ,392,33,国信期货    ,169,35,广州期货    ,148,2
20140709,IF1408                        ,19,方正中期    ,330,279,广发期货    ,167,-18,招商期货    ,136,10
20140709,IF1408                        ,20,新湖期货    ,320,164,瑞达期货    ,147,105,中银国际    ,133,68
20140709,IF1409                        ,1,海通期货    ,6284,1837,国泰君安    ,5716,507,中信期货    ,13060,-71
20140709,IF1409                        ,2,中信期货    ,4102,814,海通期货    ,4944,-64,国泰君安    ,5268,-151
20140709,IF1409                        ,3,南华期货    ,3659,1050,永安期货    ,3554,-32,南华期货    ,4592,15
20140709,IF1409                        ,4,华西期货    ,3018,646,中信期货    ,2619,17,华泰长城    ,4480,-62
20140709,IF1409                        ,5,国泰君安    ,2858,1391,银河期货    ,2079,91,广发期货    ,2742,-276
20140709,IF1409                        ,6,浙江中大    ,2681,712,光大期货    ,1542,39,永安期货    ,1810,97
20140709,IF1409                        ,7,招商期货    ,2680,1099,中粮期货    ,1387,-30,海通期货    ,1692,-52
20140709,IF1409                        ,8,光大期货    ,1895,327,中国国际    ,1379,5,银河期货    ,1659,2
20140709,IF1409                        ,9,华鑫期货    ,1666,429,申银万国    ,1346,-37,招商期货    ,1574,-27
20140709,IF1409                        ,10,永安期货    ,1379,324,方正中期    ,1337,-168,中信建投    ,1183,-14
20140709,IF1409                        ,11,国信期货    ,1348,145,浙商期货    ,1192,1,光大期货    ,1087,6
20140709,IF1409                        ,12,经易期货    ,1299,296,广发期货    ,1127,38,上海东证    ,1003,-19
20140709,IF1409                        ,13,银河期货    ,1225,158,华泰长城    ,1026,32,国投中谷    ,936,-5
20140709,IF1409                        ,14,上海东证    ,1160,535,格林大华    ,975,-14,新湖期货    ,880,-12
20140709,IF1409                        ,15,广发期货    ,1154,634,国投中谷    ,963,-11,申银万国    ,846,107
20140709,IF1409                        ,16,上海中财    ,1142,506,招商期货    ,926,-213,国信期货    ,640,-19
20140709,IF1409                        ,17,华泰长城    ,1064,-113,上海东证    ,877,-9,安信期货    ,532,51
20140709,IF1409                        ,18,兴证期货    ,1047,254,南华期货    ,857,-38,平安期货    ,475,4
20140709,IF1409                        ,19,北京首创    ,1040,193,大地期货    ,827,-17,广州期货    ,442,3
20140709,IF1409                        ,20,申银万国    ,1034,355,瑞达期货    ,751,60,宏源期货    ,440,-5
