交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140710,IF1407                        ,期货公司,759520,-364312,104980,-2289,104980,-2289
20140710,IF1407                        ,非期货公司,0,0,0,0,0,0
20140710,IF1408                        ,期货公司,18904,-6622,13502,1726,13502,1726
20140710,IF1408                        ,非期货公司,0,0,0,0,0,0
20140710,IF1409                        ,期货公司,32260,-25908,50181,-408,50181,-408
20140710,IF1409                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140710,IF1407                        ,1,海通期货    ,51710,-31123,国泰君安    ,6063,-77,海通期货    ,19845,229
20140710,IF1407                        ,2,国泰君安    ,44526,-21449,银河期货    ,5483,-373,中信期货    ,14048,-91
20140710,IF1407                        ,3,南华期货    ,35662,-7871,安信期货    ,5478,-33,国泰君安    ,10287,329
20140710,IF1407                        ,4,兴证期货    ,29694,-18558,中信期货    ,4638,-69,广发期货    ,5160,29
20140710,IF1407                        ,5,中信期货    ,29192,-18567,申银万国    ,4400,-488,财富期货    ,4230,27
20140710,IF1407                        ,6,华泰长城    ,28213,-14950,方正中期    ,4324,348,永安期货    ,2910,0
20140710,IF1407                        ,7,申银万国    ,28106,-8483,南华期货    ,3557,181,银河期货    ,2752,-42
20140710,IF1407                        ,8,光大期货    ,25583,-22617,鲁证期货    ,3483,-334,光大期货    ,2637,-414
20140710,IF1407                        ,9,广发期货    ,24186,-12468,永安期货    ,3419,-252,兴证期货    ,2543,-261
20140710,IF1407                        ,10,银河期货    ,22885,-9690,海通期货    ,3293,223,华泰长城    ,2470,-93
20140710,IF1407                        ,11,招商期货    ,19992,-8192,华泰长城    ,2984,114,上海东证    ,2260,1
20140710,IF1407                        ,12,方正中期    ,19884,-11122,上海东证    ,2810,-26,中银国际    ,2147,65
20140710,IF1407                        ,13,经易期货    ,18533,-6973,光大期货    ,2622,-39,申银万国    ,1979,-262
20140710,IF1407                        ,14,永安期货    ,17922,-10516,广发期货    ,2375,-25,鲁证期货    ,1907,5
20140710,IF1407                        ,15,瑞达期货    ,17044,-2313,中国国际    ,2108,140,中信建投    ,1787,-149
20140710,IF1407                        ,16,中信建投    ,15597,-7040,瑞达期货    ,2069,-10,浙商期货    ,1387,43
20140710,IF1407                        ,17,鲁证期货    ,14295,-3722,北京首创    ,2020,-49,新湖期货    ,1295,10
20140710,IF1407                        ,18,华鑫期货    ,13390,-7766,国信期货    ,1899,-48,中钢期货    ,1289,-11
20140710,IF1407                        ,19,浙江中大    ,12850,-7812,中粮期货    ,1631,-62,浙江中大    ,1164,157
20140710,IF1407                        ,20,大有期货    ,12739,-4580,中信建投    ,1605,76,国信期货    ,995,-100
20140710,IF1408                        ,1,海通期货    ,1937,-420,银河期货    ,1201,11,海通期货    ,2083,248
20140710,IF1408                        ,2,南华期货    ,1912,-571,大地期货    ,1134,126,广发期货    ,1502,279
20140710,IF1408                        ,3,招商期货    ,1755,-153,永安期货    ,1078,60,中信期货    ,1500,183
20140710,IF1408                        ,4,中信期货    ,1341,-696,中信期货    ,844,80,兴证期货    ,937,-24
20140710,IF1408                        ,5,申银万国    ,937,-191,国泰君安    ,676,66,华泰长城    ,749,75
20140710,IF1408                        ,6,光大期货    ,919,527,浙商期货    ,665,24,宝城期货    ,636,3
20140710,IF1408                        ,7,华西期货    ,835,-98,海通期货    ,659,21,光大期货    ,539,462
20140710,IF1408                        ,8,国泰君安    ,727,-137,宝城期货    ,651,3,国泰君安    ,462,31
20140710,IF1408                        ,9,浙江中大    ,668,-600,东兴期货    ,523,308,南华期货    ,414,37
20140710,IF1408                        ,10,上海东证    ,582,-331,国投中谷    ,431,251,中信建投    ,388,237
20140710,IF1408                        ,11,中信建投    ,449,364,北京首创    ,427,9,申银万国    ,383,-416
20140710,IF1408                        ,12,广发期货    ,423,-465,财富期货    ,425,12,五矿期货    ,319,14
20140710,IF1408                        ,13,银河期货    ,383,-361,鲁证期货    ,315,104,国信期货    ,311,15
20140710,IF1408                        ,14,北京首创    ,359,-1156,光大期货    ,286,103,银河期货    ,304,-34
20140710,IF1408                        ,15,华泰长城    ,332,-141,申银万国    ,280,41,新湖期货    ,215,186
20140710,IF1408                        ,16,新湖期货    ,331,11,长江期货    ,256,8,财富期货    ,212,-2
20140710,IF1408                        ,17,国信期货    ,329,32,中粮期货    ,247,18,上海东证    ,205,-20
20140710,IF1408                        ,18,东兴期货    ,320,306,国信期货    ,223,54,西部期货    ,188,12
20140710,IF1408                        ,19,中融汇信    ,274,-322,广发期货    ,201,34,北京首创    ,186,148
20140710,IF1408                        ,20,国投中谷    ,257,221,瑞达期货    ,176,29,东吴期货    ,181,177
20140710,IF1409                        ,1,海通期货    ,2933,-3351,国泰君安    ,5830,114,中信期货    ,12768,-292
