交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140717,IF1407                        ,期货公司,528866,-341980,28915,-27650,28915,-27650
20140717,IF1407                        ,非期货公司,0,0,0,0,0,0
20140717,IF1408                        ,期货公司,608222,414698,71560,24876,71560,24876
20140717,IF1408                        ,非期货公司,0,0,0,0,0,0
20140717,IF1409                        ,期货公司,60270,10778,52008,407,52008,407
20140717,IF1409                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140717,IF1407                        ,1,海通期货    ,38678,-19271,安信期货    ,3901,-328,海通期货    ,7203,-3039
20140717,IF1407                        ,2,中信期货    ,27981,-8342,国泰君安    ,2624,-1161,国泰君安    ,3414,-2541
20140717,IF1407                        ,3,国泰君安    ,26414,-27040,申银万国    ,1301,-856,中信期货    ,2154,-3963
20140717,IF1407                        ,4,南华期货    ,21234,-12507,华泰长城    ,1212,-738,中钢期货    ,1470,3
20140717,IF1407                        ,5,光大期货    ,21189,-8522,方正中期    ,1142,-2655,申银万国    ,1092,-679
20140717,IF1407                        ,6,兴证期货    ,20008,-12195,中国国际    ,1088,-232,广发期货    ,1030,-806
20140717,IF1407                        ,7,华西期货    ,18579,4649,中信期货    ,1080,-754,财富期货    ,770,-1029
20140717,IF1407                        ,8,招商期货    ,18195,-6852,银河期货    ,1079,-386,上海东证    ,740,-144
20140717,IF1407                        ,9,上海东证    ,17951,1179,南华期货    ,1056,-777,兴证期货    ,723,-881
20140717,IF1407                        ,10,方正中期    ,16205,-9320,海通期货    ,762,-865,永安期货    ,581,-424
20140717,IF1407                        ,11,华泰长城    ,15779,-11007,永安期货    ,725,-782,东海期货    ,554,52
20140717,IF1407                        ,12,申银万国    ,15603,-16203,国信期货    ,700,-507,方正中期    ,554,-634
20140717,IF1407                        ,13,广发期货    ,14744,-13728,浙商期货    ,683,-161,华泰长城    ,500,-917
20140717,IF1407                        ,14,瑞达期货    ,12079,-4866,广发期货    ,663,-756,光大期货    ,483,-247
20140717,IF1407                        ,15,中信建投    ,11342,-2418,北京首创    ,611,-861,招商期货    ,429,-326
20140717,IF1407                        ,16,浙江中大    ,10987,-6691,鲁证期货    ,581,-1750,中投天琪    ,407,-104
20140717,IF1407                        ,17,银河期货    ,10731,-13670,光大期货    ,563,-712,鲁证期货    ,361,-1252
20140717,IF1407                        ,18,经易期货    ,10371,-11535,倍特期货    ,529,-29,银河期货    ,352,-987
20140717,IF1407                        ,19,鲁证期货    ,9940,-7998,中投天琪    ,470,-254,五矿期货    ,350,-309
20140717,IF1407                        ,20,永安期货    ,9464,-9489,中辉期货    ,454,-395,平安期货    ,346,-191
20140717,IF1408                        ,1,海通期货    ,41642,26373,中信期货    ,4418,1102,中信期货    ,10266,3169
20140717,IF1408                        ,2,国泰君安    ,33514,24329,银河期货    ,3878,111,海通期货    ,8256,2699
20140717,IF1408                        ,3,中信期货    ,32003,21100,方正中期    ,3829,3198,广发期货    ,6089,2385
20140717,IF1408                        ,4,南华期货    ,26284,13667,国泰君安    ,3241,949,国泰君安    ,4090,1871
20140717,IF1408                        ,5,华泰长城    ,23748,20180,海通期货    ,3066,1445,财富期货    ,3463,1058
20140717,IF1408                        ,6,兴证期货    ,20553,16962,鲁证期货    ,2863,2077,华泰长城    ,2983,1469
20140717,IF1408                        ,7,光大期货    ,20508,14782,永安期货    ,2847,461,光大期货    ,2533,1667
20140717,IF1408                        ,8,上海东证    ,19616,15003,申银万国    ,2397,673,兴证期货    ,2321,777
20140717,IF1408                        ,9,申银万国    ,19417,12795,光大期货    ,2239,747,中银国际    ,1989,929
20140717,IF1408                        ,10,银河期货    ,17767,13691,南华期货    ,1782,680,申银万国    ,1734,572
20140717,IF1408                        ,11,方正中期    ,17153,14214,广发期货    ,1610,625,永安期货    ,1704,517
20140717,IF1408                        ,12,广发期货    ,16872,12230,北京首创    ,1575,928,银河期货    ,1680,320
20140717,IF1408                        ,13,中信建投    ,16239,7602,中粮期货    ,1533,346,中信建投    ,1450,428
20140717,IF1408                        ,14,鲁证期货    ,14929,11070,瑞达期货    ,1524,531,国信期货    ,1219,242
20140717,IF1408                        ,15,浙江中大    ,13687,9294,浙商期货    ,1495,-22,国金期货    ,1126,-25
20140717,IF1408                        ,16,中投天琪    ,13677,11413,新湖期货    ,1482,794,南华期货    ,985,208
20140717,IF1408                        ,17,招商期货    ,12678,5861,华泰长城    ,1268,723,浙江中大    ,985,644
20140717,IF1408                        ,18,永安期货    ,10846,8192,大地期货    ,1185,53,鲁证期货    ,962,524
20140717,IF1408                        ,19,经易期货    ,10610,8177,安信期货    ,1179,165,上海东证    ,902,-207
20140717,IF1408                        ,20,华鑫期货    ,10584,7427,上海东证    ,1175,385,招商期货    ,796,437
20140717,IF1409                        ,1,中信期货    ,5561,904,国泰君安    ,6067,182,中信期货    ,13325,18
20140717,IF1409                        ,2,海通期货    ,4546,305,海通期货    ,4935,-19,国泰君安    ,5591,266
20140717,IF1409                        ,3,南华期货    ,3408,-148,永安期货    ,3200,-14,南华期货    ,4624,-42
20140717,IF1409                        ,4,华西期货    ,3309,-113,中信期货    ,2884,-71,华泰长城    ,4166,-383
20140717,IF1409                        ,5,招商期货    ,3013,769,银河期货    ,2233,142,银河期货    ,2443,682
20140717,IF1409                        ,6,国泰君安    ,2682,32,光大期货    ,1627,49,永安期货    ,2127,40
20140717,IF1409                        ,7,申银万国    ,2202,390,中国国际    ,1593,-8,广发期货    ,2045,-56
20140717,IF1409                        ,8,银河期货    ,2024,905,中粮期货    ,1471,-76,海通期货    ,1942,225
20140717,IF1409                        ,9,光大期货    ,1897,338,申银万国    ,1415,-208,招商期货    ,1368,-213
20140717,IF1409                        ,10,华泰长城    ,1844,890,方正中期    ,1335,17,光大期货    ,1165,-20
20140717,IF1409                        ,11,兴证期货    ,1696,377,浙商期货    ,1243,57,上海东证    ,1127,-55
20140717,IF1409                        ,12,浙商期货    ,1497,412,广发期货    ,1118,-25,国投中谷    ,956,3
20140717,IF1409                        ,13,广发期货    ,1425,883,华泰长城    ,997,39,中信建投    ,911,-13
20140717,IF1409                        ,14,国信期货    ,1280,388,招商期货    ,973,40,国信期货    ,751,-20
20140717,IF1409                        ,15,方正中期    ,1206,199,国投中谷    ,967,-1,申银万国    ,725,0
20140717,IF1409                        ,16,永安期货    ,1134,183,上海东证    ,904,79,新湖期货    ,679,5
20140717,IF1409                        ,17,安信期货    ,1072,352,兴证期货    ,803,135,长江期货    ,603,160
20140717,IF1409                        ,18,新湖期货    ,1055,693,大地期货    ,800,-18,安信期货    ,471,-8
20140717,IF1409                        ,19,上海东证    ,936,513,南华期货    ,792,56,宏源期货    ,469,-12
20140717,IF1409                        ,20,长江期货    ,862,-72,格林大华    ,757,1,平安期货    ,462,1
