交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140721,IF1408                        ,期货公司,884178,-326200,92679,4255,92679,4255
20140721,IF1408                        ,非期货公司,0,0,0,0,0,0
20140721,IF1409                        ,期货公司,50526,-34492,51917,-35,51917,-35
20140721,IF1409                        ,非期货公司,0,0,0,0,0,0
20140721,IF1412                        ,期货公司,5872,-3184,10117,166,10117,166
20140721,IF1412                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140721,IF1408                        ,1,海通期货    ,60605,-38026,国泰君安    ,5774,430,海通期货    ,13804,309
20140721,IF1408                        ,2,国泰君安    ,51787,-15286,中信期货    ,5571,21,中信期货    ,12278,176
20140721,IF1408                        ,3,兴证期货    ,37120,-17766,银河期货    ,5052,92,广发期货    ,6036,-282
20140721,IF1408                        ,4,南华期货    ,37050,-5738,海通期货    ,4458,-502,国泰君安    ,4819,253
20140721,IF1408                        ,5,光大期货    ,35089,-14818,永安期货    ,3631,-81,华泰长城    ,4483,495
20140721,IF1408                        ,6,中信期货    ,32775,-24933,鲁证期货    ,3256,-208,财富期货    ,4062,47
20140721,IF1408                        ,7,申银万国    ,30423,-10845,申银万国    ,3109,256,方正中期    ,2652,1030
20140721,IF1408                        ,8,方正中期    ,29113,-6339,广发期货    ,2873,-294,光大期货    ,2441,305
20140721,IF1408                        ,9,华泰长城    ,28345,-14196,方正中期    ,2869,-15,申银万国    ,2317,351
20140721,IF1408                        ,10,银河期货    ,27347,-3719,安信期货    ,2769,1520,中银国际    ,2296,-24
20140721,IF1408                        ,11,广发期货    ,26032,-11706,光大期货    ,2399,346,上海东证    ,2223,832
20140721,IF1408                        ,12,招商期货    ,24085,-7747,南华期货    ,2395,516,兴证期货    ,2111,-186
20140721,IF1408                        ,13,经易期货    ,23946,-7873,新湖期货    ,2119,33,银河期货    ,2099,21
20140721,IF1408                        ,14,中信建投    ,18833,-2179,华泰长城    ,2042,-38,永安期货    ,1957,76
20140721,IF1408                        ,15,鲁证期货    ,15655,-3503,北京首创    ,1931,71,中信建投    ,1354,-160
20140721,IF1408                        ,16,中投天琪    ,15446,-5114,中国国际    ,1769,-26,国信期货    ,1317,63
20140721,IF1408                        ,17,瑞达期货    ,15323,-5138,瑞达期货    ,1757,301,国金期货    ,1276,27
20140721,IF1408                        ,18,华鑫期货    ,15035,-3974,兴证期货    ,1594,152,中钢期货    ,1154,36
20140721,IF1408                        ,19,永安期货    ,14267,-10999,招商期货    ,1592,327,五矿期货    ,1079,-69
20140721,IF1408                        ,20,浙商期货    ,13041,-2763,中粮期货    ,1534,-14,锦泰期货    ,1059,5
20140721,IF1409                        ,1,南华期货    ,5025,-803,国泰君安    ,5892,-67,中信期货    ,13194,-188
20140721,IF1409                        ,2,海通期货    ,4984,-2197,海通期货    ,4888,-5,国泰君安    ,5938,128
20140721,IF1409                        ,3,招商期货    ,3791,-2672,永安期货    ,3231,42,南华期货    ,4656,-5
20140721,IF1409                        ,4,华西期货    ,3531,-1801,中信期货    ,2980,15,华泰长城    ,3727,-151
20140721,IF1409                        ,5,中信期货    ,3233,-2751,银河期货    ,2253,17,银河期货    ,2420,-27
20140721,IF1409                        ,6,国泰君安    ,2729,-204,中国国际    ,1606,9,永安期货    ,2165,1
20140721,IF1409                        ,7,光大期货    ,1771,-1042,光大期货    ,1578,59,海通期货    ,1944,23
20140721,IF1409                        ,8,浙江中大    ,1543,-1244,申银万国    ,1434,40,广发期货    ,1781,77
20140721,IF1409                        ,9,申银万国    ,1394,-2008,方正中期    ,1422,63,招商期货    ,1434,-10
20140721,IF1409                        ,10,华鑫期货    ,1173,-691,中粮期货    ,1303,-34,光大期货    ,1282,8
20140721,IF1409                        ,11,国信期货    ,1070,-781,浙商期货    ,1241,33,上海东证    ,1155,10
20140721,IF1409                        ,12,银河期货    ,1062,-507,广发期货    ,1166,0,国投中谷    ,956,-1
20140721,IF1409                        ,13,兴证期货    ,846,-1298,华泰长城    ,1026,29,长江期货    ,932,-10
20140721,IF1409                        ,14,经易期货    ,818,-449,招商期货    ,1015,19,中信建投    ,879,8
20140721,IF1409                        ,15,上海东证    ,807,-1172,国投中谷    ,973,-3,新湖期货    ,692,3
20140721,IF1409                        ,16,华泰长城    ,736,-1232,大地期货    ,846,48,申银万国    ,652,-16
20140721,IF1409                        ,17,广发期货    ,719,-1284,上海东证    ,842,-5,国信期货    ,605,-43
20140721,IF1409                        ,18,永安期货    ,691,-1298,南华期货    ,753,-16,安信期货    ,488,-8
20140721,IF1409                        ,19,浙商期货    ,639,-492,格林大华    ,747,-5,平安期货    ,485,18
20140721,IF1409                        ,20,方正中期    ,532,-813,新湖期货    ,737,-28,宏源期货    ,467,-13
20140721,IF1412                        ,1,招商期货    ,789,239,浙商期货    ,968,2,中信期货    ,3523,9
20140721,IF1412                        ,2,中信期货    ,751,-1053,中信期货    ,947,2,招商期货    ,1410,14
20140721,IF1412                        ,3,海通期货    ,726,-350,海通期货    ,674,28,国泰君安    ,1017,-40
20140721,IF1412                        ,4,南华期货    ,338,-621,方正中期    ,511,-1,银河期货    ,475,4
20140721,IF1412                        ,5,华泰长城    ,324,-78,国泰君安    ,501,45,南华期货    ,411,2
20140721,IF1412                        ,6,华西期货    ,298,255,永安期货    ,495,5,方正中期    ,400,9
20140721,IF1412                        ,7,银河期货    ,238,79,银河期货    ,432,96,华泰长城    ,316,28
20140721,IF1412                        ,8,国泰君安    ,185,-64,宝城期货    ,427,0,海通期货    ,274,14
20140721,IF1412                        ,9,中融汇信    ,147,-32,招商期货    ,427,13,浙江中大    ,207,5
20140721,IF1412                        ,10,大有期货    ,128,-155,申银万国    ,402,-3,永安期货    ,184,-2
20140721,IF1412                        ,11,上海东证    ,122,46,大地期货    ,343,15,中投天琪    ,171,-1
20140721,IF1412                        ,12,申银万国    ,105,-175,国投中谷    ,304,0,新湖期货    ,125,0
20140721,IF1412                        ,13,格林大华    ,99,19,东兴期货    ,293,0,五矿期货    ,121,0
20140721,IF1412                        ,14,浙商期货    ,94,-110,广发期货    ,201,-22,兴证期货    ,116,15
20140721,IF1412                        ,15,中银国际    ,91,36,光大期货    ,195,14,广发期货    ,115,2
20140721,IF1412                        ,16,浙江中大    ,90,-53,国信期货    ,175,1,申银万国    ,107,16
20140721,IF1412                        ,17,兴证期货    ,79,-98,南华期货    ,146,-2,浙商期货    ,106,-2
20140721,IF1412                        ,18,平安期货    ,71,-3,安信期货    ,143,-1,中信建投    ,79,18
20140721,IF1412                        ,19,国信期货    ,63,-10,中粮期货    ,133,-5,中国国际    ,79,-19
20140721,IF1412                        ,20,新湖期货    ,63,-82,兴证期货    ,132,-2,国信期货    ,76,16
