交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140723,IF1408                        ,期货公司,1216462,-115224,100723,-383,100723,-383
20140723,IF1408                        ,非期货公司,0,0,0,0,0,0
20140723,IF1409                        ,期货公司,87432,-12116,52234,-1441,52234,-1441
20140723,IF1409                        ,非期货公司,0,0,0,0,0,0
20140723,IF1412                        ,期货公司,11420,870,10589,484,10589,484
20140723,IF1412                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140723,IF1408                        ,1,海通期货    ,94610,-5789,中信期货    ,6640,-194,海通期货    ,14393,107
20140723,IF1408                        ,2,国泰君安    ,67536,-4115,国泰君安    ,6243,-269,中信期货    ,12375,-771
20140723,IF1408                        ,3,兴证期货    ,61865,-7340,银河期货    ,5440,365,国泰君安    ,5717,-743
20140723,IF1408                        ,4,中信期货    ,50755,-11784,安信期货    ,5075,1904,广发期货    ,5471,-238
20140723,IF1408                        ,5,南华期货    ,43831,85,海通期货    ,4368,169,财富期货    ,3398,-267
20140723,IF1408                        ,6,华泰长城    ,42873,-6804,永安期货    ,4307,-83,申银万国    ,3099,-141
20140723,IF1408                        ,7,光大期货    ,42335,-10165,广发期货    ,3320,310,华泰长城    ,2841,-279
20140723,IF1408                        ,8,申银万国    ,40967,-5203,鲁证期货    ,3070,63,方正中期    ,2657,107
20140723,IF1408                        ,9,广发期货    ,40422,-2640,申银万国    ,2988,92,兴证期货    ,2426,-46
20140723,IF1408                        ,10,银河期货    ,37517,863,上海东证    ,2697,-108,银河期货    ,2330,174
20140723,IF1408                        ,11,方正中期    ,35323,-1444,南华期货    ,2593,98,中银国际    ,2160,-34
20140723,IF1408                        ,12,经易期货    ,32449,-802,光大期货    ,2516,203,永安期货    ,1924,249
20140723,IF1408                        ,13,招商期货    ,30263,-4249,方正中期    ,2470,-306,光大期货    ,1811,8
20140723,IF1408                        ,14,瑞达期货    ,23104,1126,新湖期货    ,2184,19,国信期货    ,1763,80
