交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140728,IF1408                        ,期货公司,1783792,576008,109968,6345,109968,6345
20140728,IF1408                        ,非期货公司,0,0,0,0,0,0
20140728,IF1409                        ,期货公司,160714,68276,52303,-171,52303,-171
20140728,IF1409                        ,非期货公司,0,0,0,0,0,0
20140728,IF1412                        ,期货公司,29336,12686,13621,1827,13621,1827
20140728,IF1412                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140728,IF1408                        ,1,海通期货    ,136383,47800,中信期货    ,9807,307,中信期货    ,15469,1771
20140728,IF1408                        ,2,兴证期货    ,99322,48225,国泰君安    ,6392,-112,海通期货    ,14378,423
20140728,IF1408                        ,3,中信期货    ,93176,36138,银河期货    ,6041,445,广发期货    ,8385,2575
20140728,IF1408                        ,4,国泰君安    ,88239,24586,海通期货    ,5174,1066,国泰君安    ,6453,-567
20140728,IF1408                        ,5,广发期货    ,66675,26897,永安期货    ,4834,323,兴证期货    ,4011,1306
20140728,IF1408                        ,6,华泰长城    ,66165,16646,广发期货    ,4145,208,永安期货    ,3390,691
20140728,IF1408                        ,7,光大期货    ,61907,17163,光大期货    ,3875,498,申银万国    ,3372,-233
20140728,IF1408                        ,8,南华期货    ,61122,17284,方正中期    ,3724,1419,华泰长城    ,2848,233
20140728,IF1408                        ,9,申银万国    ,57337,15255,鲁证期货    ,3594,584,财富期货    ,2577,-372
20140728,IF1408                        ,10,银河期货    ,50167,13841,华泰长城    ,3073,462,中银国际    ,2327,-40
20140728,IF1408                        ,11,招商期货    ,48541,19066,上海东证    ,2631,1101,国信期货    ,2248,151
20140728,IF1408                        ,12,大有期货    ,40353,23976,申银万国    ,2289,342,安信期货    ,2239,827
20140728,IF1408                        ,13,经易期货    ,38192,9495,中国国际    ,2237,108,中信建投    ,2222,129
20140728,IF1408                        ,14,上海东证    ,38049,15563,南华期货    ,2194,34,鲁证期货    ,2096,39
20140728,IF1408                        ,15,永安期货    ,37488,15538,新湖期货    ,2002,-38,银河期货    ,1732,146
20140728,IF1408                        ,16,方正中期    ,36742,9589,一德期货    ,1988,643,上海东证    ,1700,-2
20140728,IF1408                        ,17,瑞达期货    ,32096,9746,浙商期货    ,1959,-543,光大期货    ,1686,-83
20140728,IF1408                        ,18,宏源期货    ,28207,15970,瑞达期货    ,1848,138,瑞达期货    ,1677,278
20140728,IF1408                        ,19,中信建投    ,27716,6976,北京首创    ,1842,-90,平安期货    ,1622,484
