交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140731,IF1408                        ,期货公司,1551524,124400,111769,3481,111769,3481
20140731,IF1408                        ,非期货公司,0,0,0,0,0,0
20140731,IF1409                        ,期货公司,120272,20622,57434,2999,57434,2999
20140731,IF1409                        ,非期货公司,0,0,0,0,0,0
20140731,IF1412                        ,期货公司,17476,-506,14564,32,14564,32
20140731,IF1412                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140731,IF1408                        ,1,海通期货    ,156888,25818,中信期货    ,9341,722,中信期货    ,16056,-1104
20140731,IF1408                        ,2,国泰君安    ,75544,3086,永安期货    ,6110,746,海通期货    ,15985,-151
20140731,IF1408                        ,3,兴证期货    ,67679,4435,国泰君安    ,5615,-359,广发期货    ,7947,121
20140731,IF1408                        ,4,中信期货    ,66000,2820,银河期货    ,5533,397,国泰君安    ,6209,693
20140731,IF1408                        ,5,南华期货    ,57609,-152,海通期货    ,5228,943,兴证期货    ,3776,-62
20140731,IF1408                        ,6,广发期货    ,57468,6101,方正中期    ,4405,1303,申银万国    ,3516,539
20140731,IF1408                        ,7,华泰长城    ,56408,3764,广发期货    ,4386,17,上海东证    ,3367,1442
20140731,IF1408                        ,8,光大期货    ,52786,7547,光大期货    ,3678,604,华泰长城    ,2742,-40
20140731,IF1408                        ,9,申银万国    ,49547,-2216,鲁证期货    ,3618,-288,鲁证期货    ,2515,-97
20140731,IF1408                        ,10,银河期货    ,41891,-2979,申银万国    ,2712,-72,财富期货    ,2387,66
20140731,IF1408                        ,11,方正中期    ,41280,11857,浙商期货    ,2663,402,中信建投    ,2303,422
20140731,IF1408                        ,12,大有期货    ,33719,9169,华泰长城    ,2442,-264,国信期货    ,2187,319
20140731,IF1408                        ,13,招商期货    ,33564,4338,中国国际    ,2312,129,平安期货    ,2108,129
20140731,IF1408                        ,14,经易期货    ,32190,-1967,上海东证    ,2179,-1313,中银国际    ,2024,-170
20140731,IF1408                        ,15,永安期货    ,32021,3015,南华期货    ,1917,-288,瑞达期货    ,2022,230
20140731,IF1408                        ,16,瑞达期货    ,27941,1926,一德期货    ,1876,-75,银河期货    ,1970,84
20140731,IF1408                        ,17,上海东证    ,27551,2624,中粮期货    ,1743,86,安信期货    ,1903,-5
20140731,IF1408                        ,18,中信建投    ,27015,-2301,瑞达期货    ,1728,-423,光大期货    ,1749,74
20140731,IF1408                        ,19,同信久恒    ,25473,7941,北京首创    ,1689,-60,南华期货    ,1731,-241
20140731,IF1408                        ,20,华鑫期货    ,24897,3,兴证期货    ,1633,411,永安期货    ,1489,-95
20140731,IF1409                        ,1,海通期货    ,13098,3986,国泰君安    ,4184,116,中信期货    ,12170,-108
20140731,IF1409                        ,2,中信期货    ,12756,2639,中信期货    ,3849,1334,国泰君安    ,5946,200
20140731,IF1409                        ,3,华西期货    ,8637,1615,永安期货    ,3337,66,南华期货    ,4685,-142
20140731,IF1409                        ,4,南华期货    ,8385,400,海通期货    ,2827,-350,海通期货    ,4547,858
20140731,IF1409                        ,5,招商期货    ,6467,1426,申银万国    ,2427,228,广发期货    ,3185,483
20140731,IF1409                        ,6,国泰君安    ,4502,89,浙商期货    ,2285,880,华泰长城    ,2838,119
20140731,IF1409                        ,7,光大期货    ,4054,1007,银河期货    ,2004,62,永安期货    ,2784,-86
20140731,IF1409                        ,8,银河期货    ,3662,2071,光大期货    ,1893,31,银河期货    ,2604,220
20140731,IF1409                        ,9,浙江中大    ,3581,549,广发期货    ,1777,9,上海东证    ,1306,65
20140731,IF1409                        ,10,浙商期货    ,3217,1557,方正中期    ,1751,18,申银万国    ,1258,186
20140731,IF1409                        ,11,申银万国    ,3188,789,华泰长城    ,1549,155,光大期货    ,1224,-63
20140731,IF1409                        ,12,经易期货    ,2680,245,中国国际    ,1456,76,招商期货    ,1150,86
20140731,IF1409                        ,13,国信期货    ,2369,725,国投中谷    ,1284,18,中信建投    ,1032,92
20140731,IF1409                        ,14,兴证期货    ,2246,1002,南华期货    ,1270,-107,国投中谷    ,1018,-1
20140731,IF1409                        ,15,广发期货    ,2230,167,中粮期货    ,1192,18,广州期货    ,689,72
20140731,IF1409                        ,16,华鑫期货    ,2154,190,鲁证期货    ,1117,0,国信期货    ,664,68
20140731,IF1409                        ,17,华泰长城    ,2104,-454,北京首创    ,1041,3,安信期货    ,629,47
20140731,IF1409                        ,18,上海东证    ,2059,106,东兴期货    ,1036,-2,财富期货    ,609,31
20140731,IF1409                        ,19,永安期货    ,1500,-430,大地期货    ,885,-203,长江期货    ,489,53
20140731,IF1409                        ,20,长江期货    ,1399,544,招商期货    ,875,-41,平安期货    ,457,-6
20140731,IF1412                        ,1,中信期货    ,3502,-99,中信期货    ,2525,105,中信期货    ,5561,-1
20140731,IF1412                        ,2,海通期货    ,2596,-118,申银万国    ,1117,-25,华泰长城    ,2046,19
20140731,IF1412                        ,3,华西期货    ,1403,266,浙商期货    ,994,25,招商期货    ,1561,1
20140731,IF1412                        ,4,招商期货    ,1334,145,海通期货    ,760,-368,国泰君安    ,1426,-79
20140731,IF1412                        ,5,南华期货    ,1252,-132,国泰君安    ,601,162,银河期货    ,511,8
20140731,IF1412                        ,6,国泰君安    ,837,75,招商期货    ,589,-11,南华期货    ,386,-18
20140731,IF1412                        ,7,申银万国    ,418,11,银河期货    ,566,81,方正中期    ,378,-4
20140731,IF1412                        ,8,浙商期货    ,393,144,南华期货    ,530,10,海通期货    ,259,26
20140731,IF1412                        ,9,新湖期货    ,386,41,永安期货    ,446,-11,永安期货    ,199,3
20140731,IF1412                        ,10,兴证期货    ,284,-56,金元期货    ,418,5,光大期货    ,173,10
20140731,IF1412                        ,11,华泰长城    ,272,25,宝城期货    ,414,-1,中投天琪    ,164,-3
20140731,IF1412                        ,12,浙江中大    ,260,-107,大地期货    ,347,-5,广发期货    ,152,-9
20140731,IF1412                        ,13,美尔雅     ,260,-416,方正中期    ,335,79,五矿期货    ,125,1
20140731,IF1412                        ,14,银河期货    ,251,-91,国投中谷    ,319,0,浙江中大    ,118,1
20140731,IF1412                        ,15,中信建投    ,207,53,广发期货    ,283,17,上海东证    ,90,-6
