交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140901,IF1409                        ,期货公司,1106908,-63942,129291,-3450,129291,-3450
20140901,IF1409                        ,非期货公司,0,0,0,0,0,0
20140901,IF1412                        ,期货公司,23888,2266,23303,-418,23303,-418
20140901,IF1412                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140901,IF1409                        ,1,海通期货    ,75557,-4175,国泰君安    ,9254,422,中信期货    ,20660,-175
20140901,IF1409                        ,2,国泰君安    ,57757,-5774,中信期货    ,8402,-3284,海通期货    ,13404,-1124
20140901,IF1409                        ,3,中信期货    ,54677,7953,海通期货    ,6468,-269,国泰君安    ,9057,-997
20140901,IF1409                        ,4,兴证期货    ,52541,1166,永安期货    ,5567,-281,广发期货    ,8724,-433
20140901,IF1409                        ,5,南华期货    ,52537,2725,银河期货    ,5210,27,南华期货    ,6523,-369
20140901,IF1409                        ,6,光大期货    ,43776,-5112,鲁证期货    ,4633,-43,永安期货    ,5008,487
20140901,IF1409                        ,7,华泰长城    ,42337,-2540,方正中期    ,4630,-798,银河期货    ,4795,669
20140901,IF1409                        ,8,申银万国    ,36788,-2713,光大期货    ,4584,-665,财富期货    ,4204,-132
20140901,IF1409                        ,9,银河期货    ,34114,-1519,申银万国    ,3588,-611,光大期货    ,4141,423
20140901,IF1409                        ,10,广发期货    ,34105,-57,南华期货    ,3526,380,上海东证    ,3303,-144
20140901,IF1409                        ,11,方正中期    ,28493,-3369,华泰长城    ,3419,204,华泰长城    ,2922,-111
20140901,IF1409                        ,12,招商期货    ,26707,-4459,广发期货    ,3048,38,申银万国    ,2893,-105
20140901,IF1409                        ,13,经易期货    ,25362,1439,安信期货    ,3033,1340,兴证期货    ,2867,-108
20140901,IF1409                        ,14,中信建投    ,24520,2631,中粮期货    ,2735,26,中信建投    ,2561,376
20140901,IF1409                        ,15,上海东证    ,23565,-405,浙商期货    ,2557,67,鲁证期货    ,2507,657
20140901,IF1409                        ,16,永安期货    ,20576,-1325,中国国际    ,2516,-669,浙商期货    ,1746,277
20140901,IF1409                        ,17,鲁证期货    ,19926,-4025,北京首创    ,2333,-29,国金期货    ,1692,-280
20140901,IF1409                        ,18,瑞达期货    ,19580,-254,瑞达期货    ,2287,218,招商期货    ,1514,-51
20140901,IF1409                        ,19,华鑫期货    ,17223,-769,上海东证    ,2170,-513,国信期货    ,1365,-228
20140901,IF1409                        ,20,中投天琪    ,16765,-462,长江期货    ,2154,265,方正中期    ,1309,-645
20140901,IF1412                        ,1,中信期货    ,3259,1080,中信期货    ,3459,-393,中信期货    ,9420,48
20140901,IF1412                        ,2,南华期货    ,2731,331,海通期货    ,2319,-109,华泰长城    ,4060,2
20140901,IF1412                        ,3,海通期货    ,2058,-131,国泰君安    ,1704,18,招商期货    ,1372,1
20140901,IF1412                        ,4,华西期货    ,1922,133,申银万国    ,1279,30,海通期货    ,994,-17
20140901,IF1412                        ,5,招商期货    ,1075,-288,浙商期货    ,1154,-28,国泰君安    ,817,-160
20140901,IF1412                        ,6,光大期货    ,934,-252,永安期货    ,1072,-11,银河期货    ,635,9
20140901,IF1412                        ,7,国泰君安    ,858,367,方正中期    ,894,-9,南华期货    ,596,9
20140901,IF1412                        ,8,浙江中大    ,756,112,银河期货    ,860,-54,方正中期    ,421,-5
20140901,IF1412                        ,9,中融汇信    ,697,108,招商期货    ,816,10,新湖期货    ,357,0
20140901,IF1412                        ,10,格林大华    ,589,104,光大期货    ,653,-2,光大期货    ,352,-2
20140901,IF1412                        ,11,经易期货    ,569,-10,东兴期货    ,575,0,广发期货    ,327,-101
20140901,IF1412                        ,12,华鑫期货    ,533,-54,大地期货    ,511,1,永安期货    ,260,-43
20140901,IF1412                        ,13,华泰长城    ,462,44,南华期货    ,489,-2,浙江中大    ,224,4
20140901,IF1412                        ,14,申银万国    ,440,178,宝城期货    ,368,0,平安期货    ,215,-3
20140901,IF1412                        ,15,上海中财    ,434,157,上海东证    ,367,72,东吴期货    ,207,-4
20140901,IF1412                        ,16,兴证期货    ,409,67,瑞达期货    ,358,11,上海东证    ,172,-17
20140901,IF1412                        ,17,广发期货    ,408,74,格林大华    ,353,-19,五矿期货    ,171,-4
20140901,IF1412                        ,18,银河期货    ,389,-50,广发期货    ,339,1,中投天琪    ,169,-2
20140901,IF1412                        ,19,浙商期货    ,319,93,华泰长城    ,335,40,中信建投    ,159,-16
20140901,IF1412                        ,20,上海东证    ,319,96,国投中谷    ,322,1,申银万国    ,159,-60
