交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140904,IF1409                        ,期货公司,1543548,-84944,138771,5611,138771,5611
20140904,IF1409                        ,非期货公司,0,0,0,0,0,0
20140904,IF1410                        ,期货公司,36062,3770,13154,821,13154,821
20140904,IF1410                        ,非期货公司,0,0,0,0,0,0
20140904,IF1412                        ,期货公司,46250,-8962,27163,724,27163,724
20140904,IF1412                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140904,IF1409                        ,1,海通期货    ,118416,-5422,中信期货    ,11451,2294,中信期货    ,14348,-3989
20140904,IF1409                        ,2,中信期货    ,79707,-7927,国泰君安    ,10197,1294,海通期货    ,13724,1518
20140904,IF1409                        ,3,国泰君安    ,72349,-1439,方正中期    ,7139,1595,广发期货    ,10167,1149
20140904,IF1409                        ,4,兴证期货    ,70174,-5807,海通期货    ,7098,1080,国泰君安    ,8727,-121
20140904,IF1409                        ,5,南华期货    ,60943,-4790,光大期货    ,6486,876,南华期货    ,7275,473
20140904,IF1409                        ,6,华泰长城    ,60177,-1828,银河期货    ,4562,-162,银河期货    ,4906,-106
20140904,IF1409                        ,7,光大期货    ,59030,-698,申银万国    ,4430,-845,财富期货    ,4840,-16
20140904,IF1409                        ,8,申银万国    ,55284,1036,永安期货    ,4113,-197,永安期货    ,4627,139
20140904,IF1409                        ,9,广发期货    ,49851,2963,华泰长城    ,3910,-389,光大期货    ,4064,160
20140904,IF1409                        ,10,银河期货    ,46724,-498,中国国际    ,3543,286,上海东证    ,3893,-608
20140904,IF1409                        ,11,上海东证    ,45062,11377,鲁证期货    ,3211,-512,申银万国    ,3586,639
20140904,IF1409                        ,12,招商期货    ,39356,-2261,广发期货    ,3167,52,兴证期货    ,3481,86
20140904,IF1409                        ,13,方正中期    ,38976,867,中粮期货    ,3163,37,安信期货    ,3036,1516
20140904,IF1409                        ,14,经易期货    ,32012,-2472,上海东证    ,2976,462,招商期货    ,2915,1343
20140904,IF1409                        ,15,永安期货    ,31094,-1393,南华期货    ,2747,-92,华泰长城    ,2897,334
20140904,IF1409                        ,16,中信建投    ,28814,1323,新湖期货    ,2434,552,中信建投    ,2675,-179
20140904,IF1409                        ,17,鲁证期货    ,28296,-383,浙商期货    ,2416,317,鲁证期货    ,2622,970
20140904,IF1409                        ,18,大有期货    ,25523,-7091,倍特期货    ,2392,36,国信期货    ,2213,208
20140904,IF1409                        ,19,长江期货    ,24342,2989,瑞达期货    ,2275,-43,国金期货    ,1923,47
20140904,IF1409                        ,20,华鑫期货    ,23398,-7781,北京首创    ,2246,13,瑞达期货    ,1664,312
20140904,IF1410                        ,1,中信期货    ,4455,702,中信期货    ,1506,87,中信期货    ,3753,678
20140904,IF1410                        ,2,华西期货    ,2710,-365,中投天琪    ,966,41,海通期货    ,1409,-53
20140904,IF1410                        ,3,海通期货    ,2628,-173,申银万国    ,646,89,国泰君安    ,1062,4
20140904,IF1410                        ,4,招商期货    ,2283,396,招商期货    ,487,130,兴证期货    ,855,200
20140904,IF1410                        ,5,南华期货    ,2247,16,广发期货    ,463,346,广州期货    ,807,-80
20140904,IF1410                        ,6,浙江中大    ,1720,-378,海通期货    ,448,43,广发期货    ,722,-306
20140904,IF1410                        ,7,国泰君安    ,1533,23,光大期货    ,425,67,光大期货    ,418,62
20140904,IF1410                        ,8,光大期货    ,1243,170,浙商期货    ,423,-100,永安期货    ,352,75
20140904,IF1410                        ,9,广发期货    ,1236,806,国泰君安    ,379,151,银河期货    ,281,50
20140904,IF1410                        ,10,兴证期货    ,1148,-175,方正中期    ,373,115,上海中期    ,235,122
20140904,IF1410                        ,11,申银万国    ,1070,409,宏源期货    ,372,2,东吴期货    ,199,27
20140904,IF1410                        ,12,上海东证    ,841,301,大地期货    ,355,-393,华泰长城    ,198,29
20140904,IF1410                        ,13,浙商期货    ,707,378,兴证期货    ,345,192,鲁证期货    ,188,14
20140904,IF1410                        ,14,银河期货    ,660,332,南华期货    ,308,127,中钢期货    ,187,56
20140904,IF1410                        ,15,国信期货    ,637,57,北京首创    ,297,28,国信期货    ,181,18
20140904,IF1410                        ,16,华泰长城    ,634,53,宝城期货    ,294,-241,南华期货    ,164,44
20140904,IF1410                        ,17,中钢期货    ,622,316,银河期货    ,256,-280,招商期货    ,164,47
20140904,IF1410                        ,18,瑞达期货    ,547,371,永安期货    ,254,-33,申银万国    ,158,-249
20140904,IF1410                        ,19,上海中财    ,546,-20,中原期货    ,248,2,中信建投    ,129,-4
20140904,IF1410                        ,20,大地期货    ,500,389,中粮期货    ,239,66,中投天琪    ,97,8
20140904,IF1412                        ,1,中信期货    ,5814,-488,中信期货    ,4073,226,中信期货    ,10731,174
20140904,IF1412                        ,2,海通期货    ,5517,-2387,国泰君安    ,1970,140,华泰长城    ,4019,-17
20140904,IF1412                        ,3,华西期货    ,4092,-638,申银万国    ,1344,-61,招商期货    ,1251,-198
20140904,IF1412                        ,4,南华期货    ,3780,-1257,永安期货    ,1227,119,国泰君安    ,1047,-2
20140904,IF1412                        ,5,招商期货    ,1952,-854,浙商期货    ,1221,-22,广发期货    ,765,365
20140904,IF1412                        ,6,国泰君安    ,1726,481,金元期货    ,1109,85,南华期货    ,735,37
