交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20140911,IF1409                        ,期货公司,2089154,763142,124423,-9053,124423,-9053
20140911,IF1409                        ,非期货公司,0,0,0,0,0,0
20140911,IF1410                        ,期货公司,130672,79198,24522,4589,24522,4589
20140911,IF1410                        ,非期货公司,0,0,0,0,0,0
20140911,IF1412                        ,期货公司,77796,34834,29214,-458,29214,-458
20140911,IF1412                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20140911,IF1409                        ,1,海通期货    ,174336,73050,中信期货    ,12257,1528,中信期货    ,16587,-382
20140911,IF1409                        ,2,兴证期货    ,109863,40171,国泰君安    ,9542,-823,海通期货    ,14337,-994
20140911,IF1409                        ,3,中信期货    ,94198,36146,方正中期    ,5315,-961,国泰君安    ,10048,60
20140911,IF1409                        ,4,国泰君安    ,92319,27854,银河期货    ,5314,187,广发期货    ,8725,-1504
20140911,IF1409                        ,5,光大期货    ,87377,31729,海通期货    ,5267,-894,南华期货    ,5997,-694
20140911,IF1409                        ,6,华泰长城    ,79432,31988,申银万国    ,4814,1459,财富期货    ,4533,-252
20140911,IF1409                        ,7,南华期货    ,77441,22583,光大期货    ,4530,-620,永安期货    ,4020,-22
20140911,IF1409                        ,8,广发期货    ,71584,31959,永安期货    ,3769,-2520,光大期货    ,4008,355
20140911,IF1409                        ,9,申银万国    ,67477,23602,华泰长城    ,3310,-594,银河期货    ,3951,-480
20140911,IF1409                        ,10,大有期货    ,50997,28754,南华期货    ,2970,-51,华泰长城    ,3616,-66
20140911,IF1409                        ,11,招商期货    ,50201,17341,鲁证期货    ,2965,-905,上海东证    ,3357,-1351
20140911,IF1409                        ,12,方正中期    ,49178,19657,倍特期货    ,2914,568,中信建投    ,2841,-129
20140911,IF1409                        ,13,银河期货    ,49083,14356,新湖期货    ,2849,-95,方正中期    ,2547,1343
20140911,IF1409                        ,14,上海东证    ,43212,8920,广发期货    ,2838,-74,申银万国    ,2456,-278
20140911,IF1409                        ,15,永安期货    ,39992,17366,瑞达期货    ,2743,44,兴证期货    ,2083,-100
20140911,IF1409                        ,16,经易期货    ,38641,15283,中国国际    ,2484,-256,格林大华    ,1893,231
20140911,IF1409                        ,17,华鑫期货    ,38273,14924,中粮期货    ,2470,-101,东吴期货    ,1723,-205
20140911,IF1409                        ,18,中信建投    ,36643,10429,长江期货    ,2312,537,鲁证期货    ,1652,-160
20140911,IF1409                        ,19,鲁证期货    ,32747,12155,上海东证    ,2212,-385,国金期货    ,1615,-139
20140911,IF1409                        ,20,瑞达期货    ,31861,10388,北京首创    ,2060,-13,浙商期货    ,1538,-800
20140911,IF1410                        ,1,海通期货    ,10853,5562,国泰君安    ,2279,590,海通期货    ,6435,1307
20140911,IF1410                        ,2,中信期货    ,9784,5477,中信期货    ,1922,571,中信期货    ,5317,565
20140911,IF1410                        ,3,华西期货    ,8859,5344,银河期货    ,1467,154,兴证期货    ,1661,160
20140911,IF1410                        ,4,南华期货    ,7894,4599,中投天琪    ,1345,1,国泰君安    ,1284,63
20140911,IF1410                        ,5,招商期货    ,7783,5264,海通期货    ,1338,588,广发期货    ,1265,364
20140911,IF1410                        ,6,浙江中大    ,7033,5229,申银万国    ,969,315,永安期货    ,1136,706
20140911,IF1410                        ,7,申银万国    ,6818,4913,光大期货    ,808,346,广州期货    ,859,56
20140911,IF1410                        ,8,光大期货    ,5635,3466,方正中期    ,768,231,银河期货    ,722,73
20140911,IF1410                        ,9,银河期货    ,4379,2850,中原期货    ,695,166,东吴期货    ,640,403
20140911,IF1410                        ,10,经易期货    ,3931,2217,永安期货    ,656,-93,南华期货    ,430,263
20140911,IF1410                        ,11,国泰君安    ,3681,800,安信期货    ,641,150,申银万国    ,313,-79
20140911,IF1410                        ,12,兴证期货    ,3436,2369,中粮期货    ,547,211,光大期货    ,293,-29
20140911,IF1410                        ,13,中融汇信    ,2907,1652,兴证期货    ,505,126,华泰长城    ,290,-31
20140911,IF1410                        ,14,永安期货    ,2637,2091,华泰长城    ,462,169,上海东证    ,268,146
20140911,IF1410                        ,15,上海中财    ,2400,1560,中融汇信    ,435,8,中信建投    ,263,69
20140911,IF1410                        ,16,广发期货    ,2292,1288,浙商期货    ,423,-5,招商期货    ,255,105
20140911,IF1410                        ,17,华鑫期货    ,2243,2131,北京首创    ,406,73,国信期货    ,250,19
20140911,IF1410                        ,18,上海东证    ,2131,1169,南华期货    ,399,-99,大有期货    ,165,143
20140911,IF1410                        ,19,国信期货    ,2065,960,宏源期货    ,391,-16,新湖期货    ,129,-36
20140911,IF1410                        ,20,华泰长城    ,2018,1256,万达期货    ,388,103,鲁证期货    ,126,-28
20140911,IF1412                        ,1,中信期货    ,9192,3880,中信期货    ,4175,133,中信期货    ,11104,-95
20140911,IF1412                        ,2,海通期货    ,7988,2879,国泰君安    ,3075,784,华泰长城    ,4305,31
20140911,IF1412                        ,3,华西期货    ,7107,2726,海通期货    ,1517,238,广发期货    ,3465,276
20140911,IF1412                        ,4,南华期货    ,5805,2582,申银万国    ,1341,-54,国泰君安    ,1262,-38
20140911,IF1412                        ,5,招商期货    ,5104,3489,金元期货    ,1266,24,招商期货    ,901,-48
20140911,IF1412                        ,6,经易期货    ,3152,2196,招商期货    ,1248,160,银河期货    ,674,-6
20140911,IF1412                        ,7,国泰君安    ,3150,1351,永安期货    ,1242,64,南华期货    ,666,6
20140911,IF1412                        ,8,光大期货    ,2112,1090,光大期货    ,1106,117,海通期货    ,519,-16
20140911,IF1412                        ,9,永安期货    ,1472,944,银河期货    ,871,-6,永安期货    ,489,-56
20140911,IF1412                        ,10,华泰长城    ,1431,876,浙商期货    ,759,-94,宝城期货    ,447,-4
20140911,IF1412                        ,11,银河期货    ,1430,277,格林大华    ,736,56,新湖期货    ,322,-29
20140911,IF1412                        ,12,浙江中大    ,1395,866,广发期货    ,552,-50,方正中期    ,316,-17
