交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20141124,IF1412                        ,期货公司,2624204,477614,175868,1024,175868,1024
20141124,IF1412                        ,非期货公司,0,0,0,0,0,0
20141124,IF1503                        ,期货公司,78960,28082,22007,1991,22007,1991
20141124,IF1503                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20141124,IF1412                        ,1,海通期货    ,195571,23653,中信期货    ,13602,-64,中信期货    ,21145,-620
20141124,IF1412                        ,2,国泰君安    ,121896,22123,国泰君安    ,11810,-2137,海通期货    ,12723,-1305
20141124,IF1412                        ,3,广发期货    ,119146,36722,永安期货    ,10573,2269,国泰君安    ,11198,-137
20141124,IF1412                        ,4,光大期货    ,110977,21726,光大期货    ,8829,1291,广发期货    ,8911,786
20141124,IF1412                        ,5,南华期货    ,106923,28458,海通期货    ,8101,818,南华期货    ,8772,-192
20141124,IF1412                        ,6,华泰长城    ,102130,20221,银河期货    ,7412,-62,光大期货    ,8095,454
20141124,IF1412                        ,7,兴证期货    ,96144,18615,浙商期货    ,5835,130,银河期货    ,8039,694
20141124,IF1412                        ,8,中信期货    ,95730,21254,方正中期    ,4754,-1475,华泰长城    ,7813,7
20141124,IF1412                        ,9,申银万国    ,89874,17582,招商期货    ,4342,1571,永安期货    ,5815,-1895
20141124,IF1412                        ,10,招商期货    ,81056,21290,华泰长城    ,4195,-45,国金期货    ,5014,123
20141124,IF1412                        ,11,银河期货    ,77616,16415,中国国际    ,4051,-695,财富期货    ,4792,-136
20141124,IF1412                        ,12,方正中期    ,71049,5281,广发期货    ,3663,-350,中信建投    ,3966,591
20141124,IF1412                        ,13,五矿期货    ,60824,10243,申银万国    ,3517,-64,国信期货    ,3849,381
20141124,IF1412                        ,14,瑞达期货    ,60823,15445,南华期货    ,3406,263,申银万国    ,3542,554
20141124,IF1412                        ,15,上海东证    ,59929,10242,鲁证期货    ,3273,198,东吴期货    ,3467,-127
20141124,IF1412                        ,16,大有期货    ,52585,17367,瑞达期货    ,3205,-11,上海东证    ,2931,260
20141124,IF1412                        ,17,华鑫期货    ,48335,2104,上海东证    ,3082,-1157,鲁证期货    ,2834,688
20141124,IF1412                        ,18,中信建投    ,43091,2965,中粮期货    ,3064,180,兴证期货    ,2647,565
20141124,IF1412                        ,19,永安期货    ,42966,2738,宏源期货    ,2956,1045,方正中期    ,2553,-190
20141124,IF1412                        ,20,鲁证期货    ,33964,5273,长江期货    ,2947,-14,格林大华    ,2391,-579
20141124,IF1503                        ,1,中信期货    ,10582,3684,中信期货    ,4801,-108,中信期货    ,5765,1358
20141124,IF1503                        ,2,华西期货    ,8437,3131,永安期货    ,2200,708,招商期货    ,2139,-31
20141124,IF1503                        ,3,招商期货    ,6631,2446,国泰君安    ,1711,-27,广发期货    ,1921,470
20141124,IF1503                        ,4,南华期货    ,4240,2496,浙商期货    ,1588,11,国泰君安    ,1499,57
20141124,IF1503                        ,5,浙江中大    ,4225,1947,招商期货    ,1123,306,海通期货    ,1315,207
20141124,IF1503                        ,6,光大期货    ,3277,1103,银河期货    ,1093,33,南华期货    ,713,-37
20141124,IF1503                        ,7,海通期货    ,3022,-320,方正中期    ,1007,-14,兴证期货    ,660,353
20141124,IF1503                        ,8,华鑫期货    ,2878,947,光大期货    ,540,-51,光大期货    ,484,6
20141124,IF1503                        ,9,五矿期货    ,2755,1710,鲁证期货    ,538,28,新湖期货    ,459,-34
20141124,IF1503                        ,10,永安期货    ,2717,2228,瑞达期货    ,507,58,银河期货    ,432,-6
20141124,IF1503                        ,11,中融汇信    ,2663,1641,中信建投    ,379,40,申银万国    ,384,-20
20141124,IF1503                        ,12,新湖期货    ,1990,1141,海通期货    ,379,51,华西期货    ,370,31
20141124,IF1503                        ,13,广发期货    ,1984,454,华泰长城    ,367,71,华泰长城    ,350,-10
20141124,IF1503                        ,14,国泰君安    ,1942,354,广发期货    ,294,140,永安期货    ,342,-973
20141124,IF1503                        ,15,兴证期货    ,1648,843,中投天琪    ,247,213,上海东证    ,295,-151
20141124,IF1503                        ,16,申银万国    ,1113,351,格林大华    ,244,29,国信期货    ,294,21
20141124,IF1503                        ,17,上海东证    ,1109,563,金元期货    ,241,204,鲁证期货    ,257,33
20141124,IF1503                        ,18,宏源期货    ,1056,-73,长江期货    ,233,1,平安期货    ,255,37
20141124,IF1503                        ,19,华泰长城    ,1053,176,美尔雅     ,223,192,长江期货    ,253,-3
20141124,IF1503                        ,20,国信期货    ,964,-8,新湖期货    ,222,-10,瑞达期货    ,253,164
