交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20141128,IF1412                        ,期货公司,2460094,212568,169616,-5362,169616,-5362
20141128,IF1412                        ,非期货公司,0,0,0,0,0,0
20141128,IF1503                        ,期货公司,73928,6636,24487,-836,24487,-836
20141128,IF1503                        ,非期货公司,0,0,0,0,0,0
20141128,IF1506                        ,期货公司,17408,3096,10520,50,10520,50
20141128,IF1506                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20141128,IF1412                        ,1,海通期货    ,192643,24168,国泰君安    ,14036,-1504,中信期货    ,20770,-1325
20141128,IF1412                        ,2,国泰君安    ,133008,19507,中信期货    ,13655,1063,海通期货    ,13700,-1089
20141128,IF1412                        ,3,兴证期货    ,124993,12284,海通期货    ,8601,-140,国泰君安    ,11477,-782
20141128,IF1412                        ,4,南华期货    ,115466,12281,永安期货    ,8240,-797,广发期货    ,8222,454
20141128,IF1412                        ,5,光大期货    ,108474,2075,银河期货    ,7969,446,银河期货    ,7877,758
20141128,IF1412                        ,6,中信期货    ,98120,8409,光大期货    ,6105,-647,南华期货    ,7660,-1323
20141128,IF1412                        ,7,华泰长城    ,96971,9601,方正中期    ,5675,423,永安期货    ,6746,885
20141128,IF1412                        ,8,申银万国    ,85652,-1740,华泰长城    ,4777,249,华泰长城    ,5992,-324
20141128,IF1412                        ,9,广发期货    ,78263,9680,中国国际    ,4743,456,国金期货    ,5234,-342
20141128,IF1412                        ,10,招商期货    ,65135,8746,浙商期货    ,4107,-205,招商期货    ,5078,-547
20141128,IF1412                        ,11,瑞达期货    ,61755,5977,新湖期货    ,3905,38,光大期货    ,4634,-1660
20141128,IF1412                        ,12,方正中期    ,61257,6665,广发期货    ,3882,-93,财富期货    ,4096,-1750
20141128,IF1412                        ,13,上海东证    ,60411,2682,上海东证    ,3788,830,国信期货    ,4006,120
20141128,IF1412                        ,14,银河期货    ,59640,3146,申银万国    ,3609,-184,申银万国    ,3897,536
20141128,IF1412                        ,15,五矿期货    ,58087,-270,招商期货    ,3050,-162,方正中期    ,2933,310
20141128,IF1412                        ,16,华鑫期货    ,50595,1685,鲁证期货    ,3003,-388,浙商期货    ,2924,505
20141128,IF1412                        ,17,大有期货    ,48489,7362,瑞达期货    ,2748,36,鲁证期货    ,2903,55
20141128,IF1412                        ,18,永安期货    ,42126,4654,一德期货    ,2714,17,上海东证    ,2812,-1041
20141128,IF1412                        ,19,中信建投    ,40902,4398,长江期货    ,2622,-448,中信建投    ,2808,-92
20141128,IF1412                        ,20,国信期货    ,35871,3195,中粮期货    ,2360,-435,东吴期货    ,2427,-616
20141128,IF1503                        ,1,华西期货    ,8408,321,中信期货    ,3339,15,中信期货    ,6139,-916
20141128,IF1503                        ,2,中信期货    ,8291,-927,国泰君安    ,2812,168,招商期货    ,3566,380
20141128,IF1503                        ,3,招商期货    ,6099,992,永安期货    ,1849,-16,国泰君安    ,2553,19
20141128,IF1503                        ,4,南华期货    ,5300,1131,方正中期    ,1257,211,广发期货    ,2458,-321
20141128,IF1503                        ,5,海通期货    ,3833,932,银河期货    ,1188,20,海通期货    ,1423,-16
20141128,IF1503                        ,6,光大期货    ,3782,542,浙商期货    ,1072,-8,南华期货    ,689,-197
20141128,IF1503                        ,7,华鑫期货    ,3174,657,美尔雅     ,696,-16,中信建投    ,591,-82
20141128,IF1503                        ,8,新湖期货    ,2950,1486,海通期货    ,648,193,上海东证    ,508,51
20141128,IF1503                        ,9,五矿期货    ,2789,915,中投天琪    ,643,-34,新湖期货    ,420,-16
20141128,IF1503                        ,10,浙江中大    ,2624,316,金元期货    ,631,-18,西部期货    ,383,101
20141128,IF1503                        ,11,广发期货    ,2032,599,华泰长城    ,620,42,银河期货    ,342,57
20141128,IF1503                        ,12,国泰君安    ,1601,-1683,瑞达期货    ,620,46,国信期货    ,338,24
20141128,IF1503                        ,13,上海东证    ,1569,843,申银万国    ,558,259,华西期货    ,286,-1
20141128,IF1503                        ,14,银河期货    ,1385,612,鲁证期货    ,530,-215,光大期货    ,275,-185
20141128,IF1503                        ,15,兴证期货    ,1322,-483,光大期货    ,513,-907,鲁证期货    ,273,-1
20141128,IF1503                        ,16,华泰长城    ,1128,34,兴证期货    ,511,54,兴证期货    ,270,46
20141128,IF1503                        ,17,方正中期    ,1086,4,中信建投    ,491,-11,永安期货    ,254,-15
20141128,IF1503                        ,18,申银万国    ,1072,-188,浙江中大    ,441,33,招金期货    ,208,208
20141128,IF1503                        ,19,中融汇信    ,1046,-420,上海东证    ,440,188,财富期货    ,200,0
20141128,IF1503                        ,20,国信期货    ,864,-244,广发期货    ,361,-21,华泰长城    ,194,28
20141128,IF1506                        ,1,中信期货    ,3055,803,中信期货    ,2730,-46,中信期货    ,2299,-61
20141128,IF1506                        ,2,南华期货    ,1465,297,国泰君安    ,877,174,国泰君安    ,2003,73
20141128,IF1506                        ,3,新湖期货    ,1223,513,永安期货    ,537,110,招商期货    ,1208,7
20141128,IF1506                        ,4,海通期货    ,959,175,浙商期货    ,535,3,光大期货    ,897,355
20141128,IF1506                        ,5,浙江中大    ,911,139,兴证期货    ,437,37,广发期货    ,767,-3
20141128,IF1506                        ,6,光大期货    ,646,265,申银万国    ,381,44,中银国际    ,310,7
20141128,IF1506                        ,7,中融汇信    ,640,202,北京首创    ,372,5,永安期货    ,256,-4
20141128,IF1506                        ,8,招商期货    ,632,303,中投天琪    ,355,-1,北京首创    ,249,22
20141128,IF1506                        ,9,国泰君安    ,521,-402,金元期货    ,339,13,方正中期    ,248,4
20141128,IF1506                        ,10,兴证期货    ,405,19,广发期货    ,310,16,华泰长城    ,244,17
20141128,IF1506                        ,11,华泰长城    ,386,158,银河期货    ,213,8,国海良时    ,184,-3
20141128,IF1506                        ,12,上海东证    ,368,-17,招商期货    ,195,-53,东海期货    ,155,76
20141128,IF1506                        ,13,五矿期货    ,359,198,东海期货    ,181,-2,中信建投    ,144,-6
20141128,IF1506                        ,14,华西期货    ,354,175,华泰长城    ,163,-75,南华期货    ,114,-98
20141128,IF1506                        ,15,广发期货    ,331,95,光大期货    ,151,-11,新湖期货    ,109,1
20141128,IF1506                        ,16,申银万国    ,328,128,东吴期货    ,144,-15,申银万国    ,105,4
20141128,IF1506                        ,17,金友期货    ,315,188,海通期货    ,142,-16,浙江中大    ,104,-179
20141128,IF1506                        ,18,宏源期货    ,312,-26,五矿期货    ,130,-15,上海东证    ,99,-172
20141128,IF1506                        ,19,国信期货    ,233,116,金友期货    ,124,26,中钢期货    ,97,0
20141128,IF1506                        ,20,永安期货    ,220,-84,安信期货    ,118,4,华西期货    ,76,-54
