交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20141204,IF1412                        ,期货公司,3932886,-322782,166738,3094,166738,3094
20141204,IF1412                        ,非期货公司,0,0,0,0,0,0
20141204,IF1501                        ,期货公司,170836,21084,23482,8826,23482,8826
20141204,IF1501                        ,非期货公司,0,0,0,0,0,0
20141204,IF1503                        ,期货公司,169054,5224,27250,2929,27250,2929
20141204,IF1503                        ,非期货公司,0,0,0,0,0,0
20141204,IF1506                        ,期货公司,46572,9044,10869,-839,10869,-839
20141204,IF1506                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20141204,IF1412                        ,1,海通期货    ,301361,-57011,中信期货    ,15964,-1753,中信期货    ,20575,110
20141204,IF1412                        ,2,兴证期货    ,231561,-61576,国泰君安    ,13790,-1843,海通期货    ,15755,-700
20141204,IF1412                        ,3,广发期货    ,200796,-26779,银河期货    ,8763,1071,国泰君安    ,11699,185
20141204,IF1412                        ,4,国泰君安    ,193612,-17038,永安期货    ,7085,-534,广发期货    ,8359,-64
20141204,IF1412                        ,5,华泰长城    ,162146,-7184,海通期货    ,7030,775,银河期货    ,7283,-240
20141204,IF1412                        ,6,中信期货    ,157771,5427,方正中期    ,6849,706,南华期货    ,7016,-935
20141204,IF1412                        ,7,光大期货    ,151068,-4246,光大期货    ,6224,-42,永安期货    ,5761,588
20141204,IF1412                        ,8,南华期货    ,139293,-20701,华泰长城    ,4956,1345,财富期货    ,5569,302
20141204,IF1412                        ,9,申银万国    ,133296,-528,上海东证    ,4517,607,华泰长城    ,5417,-97
20141204,IF1412                        ,10,招商期货    ,111165,8195,浙商期货    ,4256,-909,招商期货    ,5259,-125
20141204,IF1412                        ,11,银河期货    ,96015,-16731,新湖期货    ,3973,-157,申银万国    ,4622,910
