交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20141212,IF1412                        ,期货公司,2883316,-522376,107864,553,107864,553
20141212,IF1412                        ,非期货公司,0,0,0,0,0,0
20141212,IF1501                        ,期货公司,478132,-11930,83654,8335,83654,8335
20141212,IF1501                        ,非期货公司,0,0,0,0,0,0
20141212,IF1503                        ,期货公司,119178,-20026,33092,2119,33092,2119
20141212,IF1503                        ,非期货公司,0,0,0,0,0,0
20141212,IF1506                        ,期货公司,36480,-10592,14264,86,14264,86
20141212,IF1506                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20141212,IF1412                        ,1,海通期货    ,238477,-64132,国泰君安    ,9801,702,中信期货    ,9581,-3128
20141212,IF1412                        ,2,光大期货    ,152020,-62641,中信期货    ,8122,1811,海通期货    ,7239,-581
20141212,IF1412                        ,3,国泰君安    ,144392,-12099,银河期货    ,6450,44,广发期货    ,6843,1003
20141212,IF1412                        ,4,华泰长城    ,135087,-14795,海通期货    ,5642,884,国泰君安    ,6612,-366
20141212,IF1412                        ,5,兴证期货    ,132057,-36221,永安期货    ,5096,413,银河期货    ,6255,-247
20141212,IF1412                        ,6,南华期货    ,131497,-7797,上海东证    ,4619,178,财富期货    ,5728,-868
20141212,IF1412                        ,7,中信期货    ,109053,-30687,光大期货    ,4440,-313,光大期货    ,5207,2227
20141212,IF1412                        ,8,申银万国    ,102051,-11587,方正中期    ,4398,-225,华泰长城    ,4551,-133
20141212,IF1412                        ,9,招商期货    ,100512,-3187,中国国际    ,3927,-445,南华期货    ,4297,-40
20141212,IF1412                        ,10,广发期货    ,80551,-38146,浙商期货    ,3418,560,兴证期货    ,3771,779
20141212,IF1412                        ,11,方正中期    ,70218,-2680,兴证期货    ,3093,-644,招商期货    ,3504,831
20141212,IF1412                        ,12,中信新际    ,64049,-204,申银万国    ,2824,328,鲁证期货    ,3452,131
20141212,IF1412                        ,13,银河期货    ,62199,-29199,中粮期货    ,2438,89,方正中期    ,3013,561
20141212,IF1412                        ,14,上海东证    ,61639,-3382,中辉期货    ,2381,-14,申银万国    ,2522,-467
20141212,IF1412                        ,15,国投中谷    ,55797,16008,华泰长城    ,2183,-122,中信建投    ,2519,-11
20141212,IF1412                        ,16,五矿期货    ,52539,-22319,广发期货    ,2123,464,永安期货    ,2373,-410
20141212,IF1412                        ,17,华鑫期货    ,51629,-11010,北京首创    ,2101,-29,五矿期货    ,2113,-104
20141212,IF1412                        ,18,瑞达期货    ,50625,-6444,鲁证期货    ,2028,-125,国信期货    ,1733,-244
20141212,IF1412                        ,19,大有期货    ,50560,-15382,长江期货    ,1882,85,格林大华    ,1524,192
20141212,IF1412                        ,20,永安期货    ,49759,-309,招商期货    ,1795,-1021,广州期货    ,1372,794
20141212,IF1501                        ,1,海通期货    ,63702,6676,中信期货    ,9483,48,中信期货    ,16828,1126
20141212,IF1501                        ,2,华西期货    ,43848,-1499,国泰君安    ,8168,391,海通期货    ,9457,1211
20141212,IF1501                        ,3,中信期货    ,33178,-8376,永安期货    ,7194,2037,广发期货    ,5835,940
20141212,IF1501                        ,4,新湖期货    ,22312,-5841,方正中期    ,3996,317,华泰长城    ,4403,167
20141212,IF1501                        ,5,光大期货    ,21908,-6730,海通期货    ,3913,609,国金期货    ,3204,176
20141212,IF1501                        ,6,国泰君安    ,19345,744,浙商期货    ,3877,858,国泰君安    ,3118,-572
20141212,IF1501                        ,7,南华期货    ,18607,-1289,银河期货    ,3090,247,上海东证    ,3106,96
20141212,IF1501                        ,8,招商期货    ,16916,-5459,光大期货    ,2634,195,申银万国    ,3001,836
20141212,IF1501                        ,9,银河期货    ,12517,715,新湖期货    ,2151,-414,永安期货    ,2885,-96
20141212,IF1501                        ,10,申银万国    ,11703,1869,倍特期货    ,1756,17,光大期货    ,2433,353
20141212,IF1501                        ,11,永安期货    ,10499,931,大地期货    ,1718,-3,国信期货    ,2249,46
