交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20141215,IF1412                        ,期货公司,2169586,-713730,109510,1646,109510,1646
20141215,IF1412                        ,非期货公司,0,0,0,0,0,0
20141215,IF1501                        ,期货公司,508058,29926,90124,6470,90124,6470
20141215,IF1501                        ,非期货公司,0,0,0,0,0,0
20141215,IF1503                        ,期货公司,102562,-16616,34778,1686,34778,1686
20141215,IF1503                        ,非期货公司,0,0,0,0,0,0
20141215,IF1506                        ,期货公司,29276,-7204,15165,901,15165,901
20141215,IF1506                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20141215,IF1412                        ,1,海通期货    ,172151,-66326,国泰君安    ,9608,-193,中信期货    ,10152,571
20141215,IF1412                        ,2,光大期货    ,117188,-34832,中信期货    ,8571,449,国泰君安    ,7793,1181
20141215,IF1412                        ,3,南华期货    ,107452,-24045,光大期货    ,6243,1803,银河期货    ,6581,326
20141215,IF1412                        ,4,国泰君安    ,105616,-38776,银河期货    ,5941,-509,广发期货    ,6505,-338
20141215,IF1412                        ,5,华泰长城    ,91456,-43631,海通期货    ,5411,-231,海通期货    ,6101,-1138
20141215,IF1412                        ,6,兴证期货    ,90320,-41737,永安期货    ,4841,-255,财富期货    ,5428,-300
20141215,IF1412                        ,7,招商期货    ,82257,-18255,方正中期    ,4732,334,华泰长城    ,5180,629
20141215,IF1412                        ,8,申银万国    ,79900,-22151,中国国际    ,4035,108,兴证期货    ,4080,309
20141215,IF1412                        ,9,中信期货    ,76204,-32849,上海东证    ,3563,-1056,南华期货    ,3893,-404
20141215,IF1412                        ,10,广发期货    ,62574,-17977,浙商期货    ,3415,-3,招商期货    ,3835,331
20141215,IF1412                        ,11,方正中期    ,51763,-18455,兴证期货    ,3142,49,鲁证期货    ,3570,118
20141215,IF1412                        ,12,银河期货    ,51265,-10934,申银万国    ,2678,-146,光大期货    ,3148,-2059
20141215,IF1412                        ,13,华鑫期货    ,50928,-701,华泰长城    ,2528,345,申银万国    ,3058,536
20141215,IF1412                        ,14,上海东证    ,49327,-12312,中粮期货    ,2407,-31,方正中期    ,2674,-339
20141215,IF1412                        ,15,中信新际    ,43887,-20162,中辉期货    ,2365,-16,中信建投    ,2538,19
20141215,IF1412                        ,16,五矿期货    ,41323,-11216,锦泰期货    ,2209,2114,永安期货    ,2232,-141
20141215,IF1412                        ,17,瑞达期货    ,41083,-9542,北京首创    ,2091,-10,五矿期货    ,2131,18
20141215,IF1412                        ,18,鲁证期货    ,39809,-2251,鲁证期货    ,1949,-79,国信期货    ,1797,64
20141215,IF1412                        ,19,大有期货    ,36975,-13585,长江期货    ,1910,28,浙商期货    ,1392,82
20141215,IF1412                        ,20,浙商期货    ,30669,-9301,招商期货    ,1811,16,上海东证    ,1340,5
20141215,IF1501                        ,1,华西期货    ,50527,6679,中信期货    ,11331,1848,中信期货    ,14959,-1869
20141215,IF1501                        ,2,海通期货    ,49433,-14269,永安期货    ,9832,2638,海通期货    ,10283,826
20141215,IF1501                        ,3,中信期货    ,44951,11773,国泰君安    ,6514,-1654,广发期货    ,6881,1046
20141215,IF1501                        ,4,招商期货    ,23640,6724,海通期货    ,4564,651,华泰长城    ,4136,-267
20141215,IF1501                        ,5,南华期货    ,21663,3056,方正中期    ,4484,488,国泰君安    ,3646,528
20141215,IF1501                        ,6,国泰君安    ,20790,1445,浙商期货    ,4028,151,永安期货    ,3533,648
20141215,IF1501                        ,7,光大期货    ,17494,-4414,银河期货    ,3124,34,申银万国    ,3516,515
20141215,IF1501                        ,8,申银万国    ,13859,2156,光大期货    ,2877,243,国金期货    ,3239,35
20141215,IF1501                        ,9,华鑫期货    ,13244,6235,一德期货    ,2016,868,上海东证    ,2974,-132
20141215,IF1501                        ,10,新湖期货    ,13152,-9160,新湖期货    ,1803,-348,光大期货    ,2696,263
20141215,IF1501                        ,11,中信新际    ,11839,4657,北京首创    ,1788,131,国信期货    ,2536,287
20141215,IF1501                        ,12,银河期货    ,11640,-877,大地期货    ,1692,-26,银河期货    ,2489,494
20141215,IF1501                        ,13,兴证期货    ,11059,2581,宝城期货    ,1689,288,南华期货    ,2411,720
20141215,IF1501                        ,14,永安期货    ,10958,459,东兴期货    ,1613,81,东吴期货    ,2334,148
20141215,IF1501                        ,15,浙商期货    ,8186,2500,鲁证期货    ,1403,86,鲁证期货    ,1915,668
20141215,IF1501                        ,16,广发期货    ,7777,1321,财富期货    ,1300,0,财富期货    ,1879,437
20141215,IF1501                        ,17,方正中期    ,7774,1710,中国国际    ,1297,269,瑞达期货    ,1084,42
20141215,IF1501                        ,18,五矿期货    ,7719,3231,安信期货    ,1296,-120,格林大华    ,1081,230
20141215,IF1501                        ,19,宏源期货    ,7385,841,国投中谷    ,1281,3,中投天琪    ,921,721
20141215,IF1501                        ,20,华泰长城    ,7075,-1486,南华期货    ,1199,-335,兴证期货    ,908,-240
20141215,IF1503                        ,1,华西期货    ,17745,-133,永安期货    ,3286,683,中信期货    ,8292,58
20141215,IF1503                        ,2,海通期货    ,10763,-3085,中信期货    ,2590,-1252,国泰君安    ,4387,145
20141215,IF1503                        ,3,中信期货    ,9524,1963,光大期货    ,1930,4,招商期货    ,3671,107
20141215,IF1503                        ,4,新湖期货    ,5052,-3280,国泰君安    ,1779,39,海通期货    ,3102,45
20141215,IF1503                        ,5,南华期货    ,3458,-1693,浙商期货    ,1691,26,华泰长城    ,2433,543
20141215,IF1503                        ,6,兴证期货    ,3084,1218,五矿期货    ,1466,15,广发期货    ,1117,-37
20141215,IF1503                        ,7,华鑫期货    ,2698,911,一德期货    ,1376,656,上海东证    ,1066,-237
