交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150114,IF1501                        ,期货公司,2053462,-156468,63228,-13934,63228,-13934
20150114,IF1501                        ,非期货公司,0,0,0,0,0,0
20150114,IF1502                        ,期货公司,415120,188218,64504,17771,64504,17771
20150114,IF1502                        ,非期货公司,0,0,0,0,0,0
20150114,IF1503                        ,期货公司,237372,36348,63966,102,63966,102
20150114,IF1503                        ,非期货公司,0,0,0,0,0,0
20150114,IF1506                        ,期货公司,58442,-2278,35716,1336,35716,1336
20150114,IF1506                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150114,IF1501                        ,1,海通期货    ,132996,-686,中信期货    ,6629,-496,国泰君安    ,7691,-232
20150114,IF1501                        ,2,中信期货    ,112999,-10114,海通期货    ,3602,-522,中信期货    ,7332,-3549
20150114,IF1501                        ,3,招商期货    ,108854,-29261,永安期货    ,3149,-596,海通期货    ,6442,-2258
20150114,IF1501                        ,4,南华期货    ,103943,6571,兴证期货    ,2832,-250,光大期货    ,2948,-1416
20150114,IF1501                        ,5,国泰君安    ,101175,-3570,安信期货    ,2824,-206,华泰长城    ,2747,-332
20150114,IF1501                        ,6,华泰长城    ,87331,-6840,一德期货    ,2766,1390,申银万国    ,2641,-630
20150114,IF1501                        ,7,兴证期货    ,81957,4348,光大期货    ,2482,-1925,方正中期    ,1952,-366
20150114,IF1501                        ,8,申银万国    ,80446,-17271,国泰君安    ,2454,-299,永安期货    ,1916,-188
20150114,IF1501                        ,9,光大期货    ,66613,-5619,宏源期货    ,2202,225,银河期货    ,1771,-373
20150114,IF1501                        ,10,方正中期    ,64097,-2358,广发期货    ,2028,-513,招商期货    ,1708,849
20150114,IF1501                        ,11,上海东证    ,58882,-4586,浙商期货    ,1974,-1019,南华期货    ,1683,-295
