交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150115,IF1501                        ,期货公司,1497722,-555740,21979,-41249,21979,-41249
20150115,IF1501                        ,非期货公司,0,0,0,0,0,0
20150115,IF1502                        ,期货公司,1617908,1202788,101476,36972,101476,36972
20150115,IF1502                        ,非期货公司,0,0,0,0,0,0
20150115,IF1503                        ,期货公司,329366,91994,65953,1987,65953,1987
20150115,IF1503                        ,非期货公司,0,0,0,0,0,0
20150115,IF1506                        ,期货公司,87700,29258,37266,1550,37266,1550
20150115,IF1506                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150115,IF1501                        ,1,海通期货    ,123659,-9337,方正中期    ,2580,875,国泰君安    ,3092,-4599
20150115,IF1501                        ,2,中信期货    ,80858,-32141,海通期货    ,1991,-1611,中信期货    ,2977,-4355
20150115,IF1501                        ,3,招商期货    ,79051,-29803,华泰长城    ,1152,-89,海通期货    ,2564,-3878
20150115,IF1501                        ,4,南华期货    ,76963,-26980,广发期货    ,1037,-991,申银万国    ,1030,-1611
20150115,IF1501                        ,5,国泰君安    ,62246,-38929,国泰君安    ,975,-1479,银河期货    ,695,-1076
20150115,IF1501                        ,6,申银万国    ,52932,-27514,光大期货    ,952,-1530,鲁证期货    ,680,-937
20150115,IF1501                        ,7,华西期货    ,52241,33448,永安期货    ,837,-2312,华泰长城    ,673,-2074
20150115,IF1501                        ,8,方正中期    ,51258,-12839,安信期货    ,783,-2041,永安期货    ,669,-1247
20150115,IF1501                        ,9,兴证期货    ,49668,-32289,兴证期货    ,775,-2057,五矿期货    ,661,-22
20150115,IF1501                        ,10,华鑫期货    ,47559,-11244,中信期货    ,578,-6051,国信期货    ,517,-382
20150115,IF1501                        ,11,华泰长城    ,44125,-43206,银河期货    ,549,-751,浙商期货    ,433,-87
20150115,IF1501                        ,12,广发期货    ,37125,-21330,金瑞期货    ,528,-108,光大期货    ,418,-2530
20150115,IF1501                        ,13,五矿期货    ,36428,-4185,南证期货    ,499,-29,兴证期货    ,412,-557
20150115,IF1501                        ,14,光大期货    ,34368,-32245,申银万国    ,497,-829,广发期货    ,372,-1086
20150115,IF1501                        ,15,瑞达期货    ,34149,-12625,中钢期货    ,408,-60,招商期货    ,349,-1359
20150115,IF1501                        ,16,上海东证    ,30177,-28705,海航东银    ,364,161,方正中期    ,329,-1623
20150115,IF1501                        ,17,新湖期货    ,28257,19868,华西期货    ,346,66,南华期货    ,322,-1361
20150115,IF1501                        ,18,银河期货    ,28089,-16423,格林大华    ,342,132,中信建投    ,289,-921
20150115,IF1501                        ,19,永安期货    ,24097,-19087,国信期货    ,331,-430,上海东证    ,249,-833
20150115,IF1501                        ,20,大有期货    ,22744,-19615,宏源期货    ,290,-1912,中国国际    ,238,-281
20150115,IF1502                        ,1,海通期货    ,134312,77750,中信期货    ,10758,4551,海通期货    ,15031,3246
20150115,IF1502                        ,2,中信期货    ,96469,70144,海通期货    ,6978,3806,中信期货    ,9804,2286
20150115,IF1502                        ,3,国泰君安    ,80765,62368,国泰君安    ,6227,961,国泰君安    ,7529,3974
20150115,IF1502                        ,4,招商期货    ,78945,63357,光大期货    ,5433,2650,财富期货    ,6349,2074
20150115,IF1502                        ,5,华泰长城    ,77206,65924,银河期货    ,5315,666,银河期货    ,5158,3309
20150115,IF1502                        ,6,南华期货    ,66586,54562,永安期货    ,4951,-1284,永安期货    ,4339,1529
20150115,IF1502                        ,7,兴证期货    ,65315,51103,华泰长城    ,4247,2155,申银万国    ,3881,2167
20150115,IF1502                        ,8,申银万国    ,63972,52641,鲁证期货    ,3352,860,广发期货    ,3554,799
20150115,IF1502                        ,9,光大期货    ,61493,48072,浙商期货    ,3257,1208,光大期货    ,3150,1241
20150115,IF1502                        ,10,银河期货    ,50089,41105,上海东证    ,2679,573,华泰长城    ,3044,905
20150115,IF1502                        ,11,上海东证    ,48070,38597,广发期货    ,2599,1886,南华期货    ,2948,1773
20150115,IF1502                        ,12,华西期货    ,39367,4456,安信期货    ,2479,1223,兴证期货    ,2681,-267
20150115,IF1502                        ,13,永安期货    ,35375,28922,兴证期货    ,2270,1892,上海东证    ,2090,377
20150115,IF1502                        ,14,广发期货    ,31333,25319,申银万国    ,2145,559,国信期货    ,2046,393
20150115,IF1502                        ,15,大有期货    ,30316,29687,宝城期货    ,1948,572,中银国际    ,1950,301
20150115,IF1502                        ,16,浙商期货    ,28756,22076,一德期货    ,1904,1077,中信建投    ,1825,1461
20150115,IF1502                        ,17,瑞达期货    ,27974,23448,锦泰期货    ,1834,1438,招商期货    ,1787,1236
20150115,IF1502                        ,18,方正中期    ,24073,19873,万达期货    ,1622,1539,鲁证期货    ,1676,1020
20150115,IF1502                        ,19,鲁证期货    ,21014,14997,南华期货    ,1614,723,国金期货    ,1576,858
20150115,IF1502                        ,20,中投天琪    ,20436,16819,国海良时    ,1605,1350,浙商期货    ,1161,464
20150115,IF1503                        ,1,海通期货    ,37520,9892,国泰君安    ,6058,-680,中信期货    ,11311,-83
20150115,IF1503                        ,2,华西期货    ,27979,9292,永安期货    ,5169,404,国泰君安    ,6215,-399
20150115,IF1503                        ,3,中信期货    ,18140,5077,银河期货    ,4364,982,海通期货    ,6120,218
20150115,IF1503                        ,4,国泰君安    ,16025,7592,中信期货    ,3720,473,招商期货    ,4428,42
20150115,IF1503                        ,5,华鑫期货    ,12721,-5036,方正中期    ,3700,36,银河期货    ,3919,-53
20150115,IF1503                        ,6,招商期货    ,12601,613,中国国际    ,2621,-143,广发期货    ,3026,-310
20150115,IF1503                        ,7,五矿期货    ,10274,2049,浙商期货    ,2444,201,兴证期货    ,1851,158
20150115,IF1503                        ,8,兴证期货    ,9868,4268,上海东证    ,2180,-23,永安期货    ,1738,229
20150115,IF1503                        ,9,华泰长城    ,9692,1785,长江期货    ,2172,44,上海东证    ,1705,132
20150115,IF1503                        ,10,新湖期货    ,9357,3376,申银万国    ,2172,-61,安信期货    ,1622,35
20150115,IF1503                        ,11,南华期货    ,9068,2369,中粮期货    ,2136,137,东吴期货    ,1581,267
20150115,IF1503                        ,12,宏源期货    ,8451,5597,北京首创    ,2042,523,华泰长城    ,1511,88
20150115,IF1503                        ,13,申银万国    ,7167,2463,光大期货    ,1696,342,五矿期货    ,1495,149
20150115,IF1503                        ,14,方正中期    ,7095,3202,五矿期货    ,1679,-89,南华期货    ,1302,222
20150115,IF1503                        ,15,浙商期货    ,6961,1720,招商期货    ,1619,89,浙商期货    ,1295,108
20150115,IF1503                        ,16,浙江中大    ,5975,3226,华泰长城    ,1538,128,长江期货    ,1279,3
20150115,IF1503                        ,17,银河期货    ,5917,305,海通期货    ,1455,112,申银万国    ,1187,-12
20150115,IF1503                        ,18,上海中财    ,5664,2995,瑞达期货    ,1336,24,鲁证期货    ,1043,-144
20150115,IF1503                        ,19,上海东证    ,5639,2404,鲁证期货    ,1326,-116,宏源期货    ,1041,-43
20150115,IF1503                        ,20,中粮期货    ,5359,4209,财富期货    ,1148,31,光大期货    ,1023,85
20150115,IF1506                        ,1,华西期货    ,10551,3437,国泰君安    ,2488,-11,招商期货    ,5786,212
20150115,IF1506                        ,2,海通期货    ,10210,2711,上海东证    ,2010,-9,华泰长城    ,4644,-10
20150115,IF1506                        ,3,中信期货    ,5506,2236,永安期货    ,2007,-64,中信期货    ,4021,190
