交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150122,IF1502                        ,期货公司,2384148,-535444,108107,-4467,108107,-4467
20150122,IF1502                        ,非期货公司,0,0,0,0,0,0
20150122,IF1503                        ,期货公司,268908,-98604,58762,-284,58762,-284
20150122,IF1503                        ,非期货公司,0,0,0,0,0,0
20150122,IF1506                        ,期货公司,74188,-37412,40376,-926,40376,-926
20150122,IF1506                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150122,IF1502                        ,1,海通期货    ,148917,-33551,中信期货    ,9877,743,海通期货    ,11152,374
20150122,IF1502                        ,2,中信期货    ,142537,-41588,海通期货    ,8518,-891,中信期货    ,10873,-2272
20150122,IF1502                        ,3,国泰君安    ,127681,-29977,永安期货    ,6021,685,国泰君安    ,10514,780
20150122,IF1502                        ,4,招商期货    ,105806,-48651,国泰君安    ,5181,-73,财富期货    ,6065,178
20150122,IF1502                        ,5,南华期货    ,103179,-21351,光大期货    ,4692,441,永安期货    ,5722,375
20150122,IF1502                        ,6,华泰长城    ,91450,-51639,倍特期货    ,4631,-16,光大期货    ,4070,124
20150122,IF1502                        ,7,兴证期货    ,88752,-26369,浙商期货    ,4448,-43,申银万国    ,4040,492
20150122,IF1502                        ,8,申银万国    ,84730,-30179,银河期货    ,4095,-536,银河期货    ,3821,-369
20150122,IF1502                        ,9,上海东证    ,78772,-7229,安信期货    ,3455,-270,华泰长城    ,3588,-512
20150122,IF1502                        ,10,广发期货    ,76926,-16116,华泰长城    ,3287,-412,招商期货    ,3117,-311
20150122,IF1502                        ,11,光大期货    ,76359,-32039,广发期货    ,3038,416,广发期货    ,2891,-102
20150122,IF1502                        ,12,方正中期    ,71797,-1484,招商期货    ,2740,433,南华期货    ,2471,-385
20150122,IF1502                        ,13,华鑫期货    ,64767,-4739,宝城期货    ,2572,188,鲁证期货    ,2176,-93
20150122,IF1502                        ,14,银河期货    ,58989,-8139,南华期货    ,2232,54,国信期货    ,1974,-46
20150122,IF1502                        ,15,永安期货    ,52272,-4616,一德期货    ,2166,-10,上海东证    ,1963,-139
20150122,IF1502                        ,16,瑞达期货    ,51132,1871,兴证期货    ,2050,-279,东海期货    ,1895,-595
20150122,IF1502                        ,17,大有期货    ,44372,-4900,申银万国    ,2043,366,中银国际    ,1831,18
20150122,IF1502                        ,18,五矿期货    ,43837,-21146,国信期货    ,1870,-316,兴证期货    ,1828,-289
20150122,IF1502                        ,19,鲁证期货    ,35574,-6069,方正中期    ,1792,-849,方正中期    ,1638,684
20150122,IF1502                        ,20,浙商期货    ,32830,-8219,大地期货    ,1741,57,中信建投    ,1570,-33
20150122,IF1503                        ,1,华鑫期货    ,25246,-2230,国泰君安    ,4268,-357,中信期货    ,8469,-486
20150122,IF1503                        ,2,海通期货    ,22149,-11636,中信期货    ,3702,60,海通期货    ,6411,13
20150122,IF1503                        ,3,华西期货    ,18704,-9721,方正中期    ,3232,-442,国泰君安    ,5257,411
20150122,IF1503                        ,4,招商期货    ,14388,-8283,永安期货    ,3129,53,银河期货    ,4273,-219
20150122,IF1503                        ,5,中信期货    ,14272,-6698,申银万国    ,2606,321,招商期货    ,3804,3
20150122,IF1503                        ,6,新湖期货    ,12312,-5989,银河期货    ,2599,-31,广发期货    ,3728,-14
20150122,IF1503                        ,7,南华期货    ,9241,-1898,格林大华    ,2439,-30,永安期货    ,2193,384
20150122,IF1503                        ,8,光大期货    ,9045,-3893,上海东证    ,2162,105,东吴期货    ,1905,-31
20150122,IF1503                        ,9,国泰君安    ,8284,-1568,中国国际    ,1978,5,上海东证    ,1774,80
20150122,IF1503                        ,10,永安期货    ,6749,646,海通期货    ,1945,418,兴证期货    ,1587,18
20150122,IF1503                        ,11,五矿期货    ,6720,-2454,华泰长城    ,1936,-146,长江期货    ,1305,18
20150122,IF1503                        ,12,兴证期货    ,6520,-4804,浙商期货    ,1820,-112,安信期货    ,1297,-40
