交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150202,IF1502                        ,期货公司,2189622,-560282,110408,6329,110408,6329
20150202,IF1502                        ,非期货公司,0,0,0,0,0,0
20150202,IF1503                        ,期货公司,262610,-60888,59239,-466,59239,-466
20150202,IF1503                        ,非期货公司,0,0,0,0,0,0
20150202,IF1506                        ,期货公司,64954,-23354,37899,-1156,37899,-1156
20150202,IF1506                        ,非期货公司,0,0,0,0,0,0
20150202,IF1509                        ,期货公司,16950,-246,11765,1517,11765,1517
20150202,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150202,IF1502                        ,1,中信期货    ,158383,-25194,中信期货    ,13489,-1298,中信期货    ,14676,581
20150202,IF1502                        ,2,海通期货    ,127576,-38135,海通期货    ,6826,2858,海通期货    ,11047,502
20150202,IF1502                        ,3,国泰君安    ,111787,-27938,倍特期货    ,6115,-7,国泰君安    ,8913,354
20150202,IF1502                        ,4,招商期货    ,110301,-22851,国泰君安    ,5608,-33,财富期货    ,6334,73
20150202,IF1502                        ,5,华泰长城    ,98107,-16603,永安期货    ,5280,-642,华泰长城    ,4985,363
20150202,IF1502                        ,6,南华期货    ,93944,-17983,银河期货    ,5026,-169,永安期货    ,4406,1356
20150202,IF1502                        ,7,申银万国    ,82291,-23698,浙商期货    ,4781,1147,南华期货    ,4211,-33
20150202,IF1502                        ,8,光大期货    ,75408,-20063,光大期货    ,4420,651,光大期货    ,3691,433
20150202,IF1502                        ,9,兴证期货    ,69880,-25157,申银万国    ,3259,199,银河期货    ,3625,-300
20150202,IF1502                        ,10,广发期货    ,68375,-28282,广发期货    ,3091,-158,鲁证期货    ,3488,1270
20150202,IF1502                        ,11,上海东证    ,61355,-10187,华泰长城    ,2284,244,广发期货    ,3439,-313
20150202,IF1502                        ,12,方正中期    ,60432,-17689,兴证期货    ,2275,556,申银万国    ,3049,-732
20150202,IF1502                        ,13,华鑫期货    ,55566,986,上海东证    ,2188,-341,方正中期    ,2276,383
20150202,IF1502                        ,14,瑞达期货    ,52095,-12208,鲁证期货    ,2104,-80,兴证期货    ,2166,-72
20150202,IF1502                        ,15,五矿期货    ,50021,-21110,南华期货    ,2070,-373,国信期货    ,2112,263
20150202,IF1502                        ,16,银河期货    ,45971,-18561,宝城期货    ,2008,449,上海东证    ,2078,110
20150202,IF1502                        ,17,永安期货    ,39556,-16793,安信期货    ,1981,132,中银国际    ,1935,87
20150202,IF1502                        ,18,大有期货    ,37412,-10104,大地期货    ,1829,-12,格林大华    ,1808,261
20150202,IF1502                        ,19,鲁证期货    ,33390,-7889,瑞达期货    ,1697,57,中信建投    ,1808,16
20150202,IF1502                        ,20,浙商期货    ,32496,-9424,招商期货    ,1689,-70,招商期货    ,1321,543
20150202,IF1503                        ,1,海通期货    ,25473,-4611,国泰君安    ,5714,58,海通期货    ,7216,-68
20150202,IF1503                        ,2,华鑫期货    ,18970,-3336,永安期货    ,3814,270,中信期货    ,6881,-126
20150202,IF1503                        ,3,华西期货    ,18122,-646,方正中期    ,3192,-140,国泰君安    ,5504,-984
20150202,IF1503                        ,4,新湖期货    ,15883,3088,中信期货    ,3120,-26,银河期货    ,4348,-41
20150202,IF1503                        ,5,招商期货    ,15419,-6868,银河期货    ,2840,-6,广发期货    ,3805,8
20150202,IF1503                        ,6,中信期货    ,13762,-3956,申银万国    ,2517,29,永安期货    ,3093,1149
20150202,IF1503                        ,7,光大期货    ,9105,-2098,格林大华    ,2276,-141,招商期货    ,3024,-9
20150202,IF1503                        ,8,国泰君安    ,8104,-1913,海通期货    ,2097,99,上海东证    ,2280,438
20150202,IF1503                        ,9,五矿期货    ,7118,-1606,中国国际    ,1948,16,东吴期货    ,2068,26
20150202,IF1503                        ,10,银河期货    ,7051,-1107,南华期货    ,1913,142,长江期货    ,1329,28
20150202,IF1503                        ,11,兴证期货    ,6222,-1675,光大期货    ,1801,272,鲁证期货    ,1274,-27
20150202,IF1503                        ,12,华泰长城    ,6100,-954,上海东证    ,1796,-200,华泰长城    ,1237,-39
20150202,IF1503                        ,13,永安期货    ,6061,1867,华泰长城    ,1678,-263,五矿期货    ,1162,132
20150202,IF1503                        ,14,上海东证    ,5480,-1062,北京首创    ,1426,-47,方正中期    ,1092,8
20150202,IF1503                        ,15,南华期货    ,5356,-1327,瑞达期货    ,1325,28,光大期货    ,1088,-23
20150202,IF1503                        ,16,宏源期货    ,4955,-177,鲁证期货    ,1285,-38,兴证期货    ,1073,10
20150202,IF1503                        ,17,申银万国    ,4226,-1027,五矿期货    ,1219,-142,安信期货    ,885,-23
20150202,IF1503                        ,18,国信期货    ,3980,-1446,浙商期货    ,1212,-64,南华期货    ,881,-334
20150202,IF1503                        ,19,广发期货    ,3699,-823,招商期货    ,956,-34,申银万国    ,820,-241
20150202,IF1503                        ,20,方正中期    ,3674,-2091,兴证期货    ,947,102,宏源期货    ,726,71
20150202,IF1506                        ,1,华鑫期货    ,6779,-1421,国泰君安    ,3147,-215,中信期货    ,5988,-121
20150202,IF1506                        ,2,华西期货    ,6587,-1731,银河期货    ,2957,21,招商期货    ,4818,-277
20150202,IF1506                        ,3,海通期货    ,6155,-2396,永安期货    ,2040,54,华泰长城    ,4382,43
20150202,IF1506                        ,4,新湖期货    ,4329,1461,方正中期    ,1728,-90,广发期货    ,3464,18
20150202,IF1506                        ,5,招商期货    ,3945,-648,鲁证期货    ,1712,34,国泰君安    ,3136,-247
20150202,IF1506                        ,6,中信期货    ,3912,-1682,中信期货    ,1695,-23,南华期货    ,1808,-21
20150202,IF1506                        ,7,南华期货    ,2539,-615,海通期货    ,1430,29,永安期货    ,1500,116
20150202,IF1506                        ,8,兴证期货    ,2211,-931,北京首创    ,1376,11,方正中期    ,1293,-111
20150202,IF1506                        ,9,国泰君安    ,2196,-1017,中辉期货    ,1339,0,海通期货    ,1179,0
20150202,IF1506                        ,10,五矿期货    ,1543,-1850,光大期货    ,1230,174,银河期货    ,814,-42
20150202,IF1506                        ,11,方正中期    ,1437,163,华泰长城    ,1199,382,上海东证    ,801,-83
20150202,IF1506                        ,12,光大期货    ,1292,-535,上海东证    ,1100,48,宝城期货    ,622,-1
20150202,IF1506                        ,13,美尔雅     ,1208,-2244,中国国际    ,1057,3,兴证期货    ,598,27
20150202,IF1506                        ,14,申银万国    ,1129,-326,新湖期货    ,1019,10,国信期货    ,579,3
20150202,IF1506                        ,15,中融汇信    ,1037,493,瑞达期货    ,944,-51,五矿期货    ,539,-77
20150202,IF1506                        ,16,宏源期货    ,1002,-217,申银万国    ,907,-297,新湖期货    ,497,3
20150202,IF1506                        ,17,华泰长城    ,995,-240,中粮期货    ,862,-22,中信建投    ,424,5
20150202,IF1506                        ,18,永安期货    ,988,-2540,五矿期货    ,849,-34,财富期货    ,402,0
20150202,IF1506                        ,19,国信期货    ,941,-960,长江期货    ,721,-7,光大期货    ,395,28
20150202,IF1506                        ,20,徽商期货    ,922,-7,大地期货    ,616,4,中银国际    ,322,-6
20150202,IF1509                        ,1,海通期货    ,2381,-168,上海东证    ,1232,-76,招商期货    ,2188,304
20150202,IF1509                        ,2,新湖期货    ,1636,719,申银万国    ,1007,200,中信期货    ,1572,163
20150202,IF1509                        ,3,华鑫期货    ,1514,-507,银河期货    ,774,9,海通期货    ,1144,40
20150202,IF1509                        ,4,南华期货    ,1230,605,海通期货    ,752,13,光大期货    ,928,15
20150202,IF1509                        ,5,中信期货    ,1109,-1143,中融汇信    ,673,435,南华期货    ,697,504
20150202,IF1509                        ,6,华安期货    ,833,784,南华期货    ,502,388,兴证期货    ,587,66
20150202,IF1509                        ,7,兴证期货    ,687,-177,中信期货    ,484,72,海航东银    ,534,10
20150202,IF1509                        ,8,中融汇信    ,681,392,国泰君安    ,481,7,华泰长城    ,526,-26
20150202,IF1509                        ,9,申银万国    ,667,52,宝城期货    ,352,-2,国泰君安    ,501,159
20150202,IF1509                        ,10,招商期货    ,455,221,五矿期货    ,333,3,广发期货    ,495,-1
20150202,IF1509                        ,11,五矿期货    ,425,29,兴证期货    ,328,11,国信期货    ,382,47
20150202,IF1509                        ,12,上海东证    ,416,114,方正中期    ,321,33,方正中期    ,274,49
20150202,IF1509                        ,13,国泰君安    ,402,-207,华泰长城    ,317,59,银河期货    ,227,16
20150202,IF1509                        ,14,瑞达期货    ,349,167,华鑫期货    ,314,-1,瑞达期货    ,182,0
20150202,IF1509                        ,15,光大期货    ,256,-126,永安期货    ,286,13,格林大华    ,172,0
20150202,IF1509                        ,16,华泰长城    ,249,91,光大期货    ,204,5,申银万国    ,160,35
20150202,IF1509                        ,17,宏源期货    ,223,-89,上海中期    ,182,91,金友期货    ,145,35
20150202,IF1509                        ,18,弘业期货    ,203,-43,广发期货    ,173,7,永安期货    ,138,17
20150202,IF1509                        ,19,浙江中大    ,192,15,招商期货    ,169,9,中信建投    ,114,-12
20150202,IF1509                        ,20,西部期货    ,188,-5,新湖期货    ,159,98,和融期货    ,86,0
