交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150204,IF1502                        ,期货公司,2457754,9012,117899,2328,117899,2328
20150204,IF1502                        ,非期货公司,0,0,0,0,0,0
20150204,IF1503                        ,期货公司,293804,20452,67370,4535,67370,4535
20150204,IF1503                        ,非期货公司,0,0,0,0,0,0
20150204,IF1506                        ,期货公司,73932,-484,39428,606,39428,606
20150204,IF1506                        ,非期货公司,0,0,0,0,0,0
20150204,IF1509                        ,期货公司,17618,1246,13840,773,13840,773
20150204,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150204,IF1502                        ,1,中信期货    ,172063,8547,中信期货    ,14762,2177,中信期货    ,14618,-2848
20150204,IF1502                        ,2,海通期货    ,161322,12064,永安期货    ,7614,1401,海通期货    ,11579,708
20150204,IF1502                        ,3,国泰君安    ,126271,-5057,倍特期货    ,6331,312,国泰君安    ,10265,891
20150204,IF1502                        ,4,华泰长城    ,106234,4301,国泰君安    ,6119,1142,财富期货    ,6147,66
20150204,IF1502                        ,5,招商期货    ,103735,6573,海通期货    ,5346,-2786,华泰长城    ,5489,78
20150204,IF1502                        ,6,南华期货    ,99255,4790,浙商期货    ,5212,598,南华期货    ,4582,531
20150204,IF1502                        ,7,申银万国    ,96378,-1826,光大期货    ,5153,198,广发期货    ,4575,522
20150204,IF1502                        ,8,兴证期货    ,93898,6205,银河期货    ,4781,-690,光大期货    ,4271,-105
20150204,IF1502                        ,9,方正中期    ,78464,-4228,招商期货    ,4109,760,银河期货    ,3991,355
20150204,IF1502                        ,10,广发期货    ,76344,2008,安信期货    ,3091,1192,兴证期货    ,3363,350
20150204,IF1502                        ,11,光大期货    ,71617,-3929,申银万国    ,2893,157,申银万国    ,3241,91
20150204,IF1502                        ,12,上海东证    ,68658,-1077,上海东证    ,2561,680,永安期货    ,3042,-78
20150204,IF1502                        ,13,华鑫期货    ,60571,646,南华期货    ,2477,412,鲁证期货    ,2994,119
20150204,IF1502                        ,14,银河期货    ,57603,-1665,广发期货    ,2271,-172,上海东证    ,2430,246
20150204,IF1502                        ,15,瑞达期货    ,55864,-2853,鲁证期货    ,2085,251,国信期货    ,2422,188
20150204,IF1502                        ,16,五矿期货    ,47052,4571,兴证期货    ,1929,-404,中银国际    ,2119,127
20150204,IF1502                        ,17,永安期货    ,45197,-908,方正中期    ,1906,-457,中信建投    ,2060,233
20150204,IF1502                        ,18,大有期货    ,38722,-12890,华泰长城    ,1847,-492,安信期货    ,1855,194
20150204,IF1502                        ,19,鲁证期货    ,37540,-625,宝城期货    ,1729,-421,方正中期    ,1734,611
20150204,IF1502                        ,20,浙商期货    ,36930,-1348,大地期货    ,1691,95,格林大华    ,1531,-228
20150204,IF1503                        ,1,海通期货    ,23789,-3705,国泰君安    ,5432,-47,中信期货    ,8738,1139
20150204,IF1503                        ,2,中信期货    ,19919,3957,永安期货    ,5334,702,海通期货    ,7280,-68
20150204,IF1503                        ,3,华鑫期货    ,19902,419,中信期货    ,5234,1418,国泰君安    ,6267,387
20150204,IF1503                        ,4,招商期货    ,14671,1518,方正中期    ,3256,-280,银河期货    ,4215,-244
20150204,IF1503                        ,5,华西期货    ,12218,-3551,格林大华    ,3059,-3,广发期货    ,3807,-110
20150204,IF1503                        ,6,新湖期货    ,11864,737,银河期货    ,3043,330,招商期货    ,3079,42
20150204,IF1503                        ,7,兴证期货    ,9805,1247,海通期货    ,2890,1069,上海东证    ,3035,634
