交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150205,IF1502                        ,期货公司,3027536,569782,112731,-5168,112731,-5168
20150205,IF1502                        ,非期货公司,0,0,0,0,0,0
20150205,IF1503                        ,期货公司,460204,166400,66033,-1337,66033,-1337
20150205,IF1503                        ,非期货公司,0,0,0,0,0,0
20150205,IF1506                        ,期货公司,104070,30138,39037,-391,39037,-391
20150205,IF1506                        ,非期货公司,0,0,0,0,0,0
20150205,IF1509                        ,期货公司,25952,8334,14387,547,14387,547
20150205,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150205,IF1502                        ,1,海通期货    ,209014,47692,永安期货    ,9470,1856,中信期货    ,11803,-2815
20150205,IF1502                        ,2,中信期货    ,194266,22203,中信期货    ,7277,-7485,海通期货    ,11722,143
20150205,IF1502                        ,3,南华期货    ,148934,49679,国泰君安    ,6470,351,国泰君安    ,9743,-522
20150205,IF1502                        ,4,国泰君安    ,146719,20448,倍特期货    ,6141,-190,南华期货    ,5814,1232
20150205,IF1502                        ,5,招商期货    ,142069,38334,海通期货    ,5613,267,财富期货    ,5563,-584
20150205,IF1502                        ,6,华泰长城    ,121348,15114,招商期货    ,5261,1152,华泰长城    ,5168,-321
20150205,IF1502                        ,7,申银万国    ,120818,24440,银河期货    ,5205,424,广发期货    ,4304,-271
20150205,IF1502                        ,8,兴证期货    ,112827,18929,光大期货    ,4271,-882,光大期货    ,4043,-228
20150205,IF1502                        ,9,光大期货    ,109810,38193,浙商期货    ,3870,-1342,银河期货    ,3380,-611
20150205,IF1502                        ,10,广发期货    ,103475,27131,鲁证期货    ,2660,575,方正中期    ,3236,1502
20150205,IF1502                        ,11,方正中期    ,86000,7536,华泰长城    ,2422,575,鲁证期货    ,3117,123
20150205,IF1502                        ,12,上海东证    ,83383,14725,申银万国    ,2399,-494,永安期货    ,3058,16
20150205,IF1502                        ,13,华鑫期货    ,78611,18040,南华期货    ,2381,-96,申银万国    ,3051,-190
20150205,IF1502                        ,14,五矿期货    ,70294,23242,上海东证    ,2270,-291,兴证期货    ,2356,-1007
