交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150210,IF1502                        ,期货公司,2527278,46064,95890,-1828,95890,-1828
20150210,IF1502                        ,非期货公司,0,0,0,0,0,0
20150210,IF1503                        ,期货公司,475778,86270,88681,10894,88681,10894
20150210,IF1503                        ,非期货公司,0,0,0,0,0,0
20150210,IF1506                        ,期货公司,74774,-4878,42271,900,42271,900
20150210,IF1506                        ,非期货公司,0,0,0,0,0,0
20150210,IF1509                        ,期货公司,13546,-2352,16554,630,16554,630
20150210,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150210,IF1502                        ,1,海通期货    ,178687,-7754,中信期货    ,9636,2791,中信期货    ,13347,878
20150210,IF1502                        ,2,中信期货    ,176333,4394,海通期货    ,6268,274,国泰君安    ,9749,719
20150210,IF1502                        ,3,国泰君安    ,119629,8027,倍特期货    ,5912,-268,海通期货    ,8488,-1333
20150210,IF1502                        ,4,招商期货    ,118902,34680,浙商期货    ,5881,1490,财富期货    ,5597,-200
20150210,IF1502                        ,5,南华期货    ,108641,952,国泰君安    ,4769,-410,南华期货    ,4602,-214
20150210,IF1502                        ,6,申银万国    ,104626,-2587,光大期货    ,4545,1279,华泰长城    ,4233,63
20150210,IF1502                        ,7,华泰长城    ,102474,-13226,永安期货    ,3664,-2021,广发期货    ,3538,-395
20150210,IF1502                        ,8,兴证期货    ,91346,4175,招商期货    ,3219,-1593,鲁证期货    ,3010,371
20150210,IF1502                        ,9,光大期货    ,79086,9912,安信期货    ,2971,963,永安期货    ,2701,5
20150210,IF1502                        ,10,华鑫期货    ,78018,3121,南华期货    ,2427,93,申银万国    ,2636,-202
20150210,IF1502                        ,11,方正中期    ,77398,3284,华泰长城    ,2357,241,银河期货    ,2606,117
20150210,IF1502                        ,12,广发期货    ,75985,-1174,上海东证    ,2343,97,光大期货    ,2302,-629
20150210,IF1502                        ,13,上海东证    ,72378,5018,银河期货    ,2312,-137,上海东证    ,1956,37
20150210,IF1502                        ,14,银河期货    ,54666,2772,兴证期货    ,2245,-11,兴证期货    ,1892,397
20150210,IF1502                        ,15,瑞达期货    ,54378,-1033,广发期货    ,2232,136,国信期货    ,1578,180
20150210,IF1502                        ,16,五矿期货    ,47307,-6579,申银万国    ,1758,-132,中信建投    ,1559,-115
