交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150211,IF1502                        ,期货公司,2022352,-504926,90564,-5326,90564,-5326
20150211,IF1502                        ,非期货公司,0,0,0,0,0,0
20150211,IF1503                        ,期货公司,419448,-56330,99524,10843,99524,10843
20150211,IF1503                        ,非期货公司,0,0,0,0,0,0
20150211,IF1506                        ,期货公司,55226,-19548,43092,821,43092,821
20150211,IF1506                        ,非期货公司,0,0,0,0,0,0
20150211,IF1509                        ,期货公司,11134,-2412,17493,939,17493,939
20150211,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150211,IF1502                        ,1,海通期货    ,138574,-40113,中信期货    ,10167,531,中信期货    ,12463,-884
20150211,IF1502                        ,2,中信期货    ,131607,-44726,倍特期货    ,5984,72,国泰君安    ,9109,-640
20150211,IF1502                        ,3,国泰君安    ,108620,-11009,浙商期货    ,5876,-5,海通期货    ,8647,159
20150211,IF1502                        ,4,申银万国    ,86765,-17861,永安期货    ,5295,1631,财富期货    ,4608,-989
20150211,IF1502                        ,5,招商期货    ,82063,-36839,海通期货    ,4963,-1305,华泰长城    ,3990,-243
20150211,IF1502                        ,6,华泰长城    ,81533,-20941,国泰君安    ,3643,-1126,南华期货    ,3454,-1148
20150211,IF1502                        ,7,南华期货    ,75630,-33011,招商期货    ,3388,169,光大期货    ,3374,1072
20150211,IF1502                        ,8,兴证期货    ,71159,-20187,光大期货    ,3236,-1309,永安期货    ,2995,294
20150211,IF1502                        ,9,华鑫期货    ,68070,-9948,安信期货    ,3099,128,鲁证期货    ,2980,-30
20150211,IF1502                        ,10,方正中期    ,65023,-12375,上海东证    ,2613,270,银河期货    ,2907,301
20150211,IF1502                        ,11,光大期货    ,60577,-18509,南华期货    ,2417,-10,广发期货    ,2423,-1115
20150211,IF1502                        ,12,广发期货    ,59908,-16077,方正中期    ,2094,510,兴证期货    ,2109,217
20150211,IF1502                        ,13,上海东证    ,57728,-14650,兴证期货    ,1961,-284,申银万国    ,1998,-638
20150211,IF1502                        ,14,银河期货    ,50645,-4021,广发期货    ,1931,-301,上海东证    ,1982,26
20150211,IF1502                        ,15,瑞达期货    ,46495,-7883,申银万国    ,1881,123,中信建投    ,1816,257
20150211,IF1502                        ,16,五矿期货    ,36176,-11131,华泰长城    ,1761,-596,国信期货    ,1581,3
20150211,IF1502                        ,17,永安期货    ,34857,-7343,鲁证期货    ,1760,260,东海期货    ,1459,42
20150211,IF1502                        ,18,大有期货    ,33131,-13502,银河期货    ,1682,-630,国金期货    ,1358,220
20150211,IF1502                        ,19,鲁证期货    ,31368,-10400,中银国际    ,1627,216,金元期货    ,1331,23
20150211,IF1502                        ,20,浙商期货    ,28774,-4477,国海良时    ,1609,31,中银国际    ,1233,-276
20150211,IF1503                        ,1,海通期货    ,37863,-1527,中信期货    ,11375,1860,中信期货    ,12701,2040
20150211,IF1503                        ,2,华鑫期货    ,29765,-3473,永安期货    ,8327,773,海通期货    ,10555,838
20150211,IF1503                        ,3,华西期货    ,27377,-6632,国泰君安    ,7164,336,国泰君安    ,8146,1032
20150211,IF1503                        ,4,中信期货    ,22968,-3125,银河期货    ,5192,29,广发期货    ,6751,1360
20150211,IF1503                        ,5,国泰君安    ,15656,-2982,海通期货    ,4730,-191,银河期货    ,5868,646
20150211,IF1503                        ,6,招商期货    ,13416,-5036,格林大华    ,3917,260,招商期货    ,4403,240
20150211,IF1503                        ,7,兴证期货    ,13262,-365,方正中期    ,3901,-91,上海东证    ,3461,126
20150211,IF1503                        ,8,光大期货    ,13113,-2552,申银万国    ,3741,403,中银国际    ,3439,485
20150211,IF1503                        ,9,银河期货    ,12075,-956,光大期货    ,2881,798,鲁证期货    ,3407,351
20150211,IF1503                        ,10,申银万国    ,10643,-1010,浙商期货    ,2556,811,永安期货    ,3119,-7
20150211,IF1503                        ,11,西部期货    ,10520,1173,南华期货    ,2208,46,华泰长城    ,2970,153
20150211,IF1503                        ,12,方正中期    ,10083,745,中国国际    ,2196,395,申银万国    ,2859,950
20150211,IF1503                        ,13,南华期货    ,9533,-1095,大地期货    ,2173,7,兴证期货    ,2840,69
20150211,IF1503                        ,14,永安期货    ,9324,-971,鲁证期货    ,1890,385,南华期货    ,2330,697
20150211,IF1503                        ,15,华泰长城    ,8957,-446,上海东证    ,1822,31,财富期货    ,2040,975
20150211,IF1503                        ,16,广发期货    ,8848,1527,华泰长城    ,1741,304,东吴期货    ,1685,-111
20150211,IF1503                        ,17,五矿期货    ,8589,-4171,长江期货    ,1685,-16,光大期货    ,1621,139
20150211,IF1503                        ,18,中融汇信    ,8020,-776,北京首创    ,1673,45,国金期货    ,1447,128
20150211,IF1503                        ,19,新湖期货    ,7857,-7700,招商期货    ,1650,308,长江期货    ,1356,-8
20150211,IF1503                        ,20,浙商期货    ,7744,-321,宝城期货    ,1613,15,金元期货    ,1256,14
20150211,IF1506                        ,1,海通期货    ,5986,-1617,国泰君安    ,3566,-51,中信期货    ,6302,110
20150211,IF1506                        ,2,华鑫期货    ,5488,-2437,银河期货    ,3461,20,华泰长城    ,4207,-34
20150211,IF1506                        ,3,华西期货    ,5217,-2450,永安期货    ,3305,-29,招商期货    ,4076,-80
20150211,IF1506                        ,4,中信期货    ,2933,-1513,中信期货    ,2703,211,广发期货    ,4051,132
20150211,IF1506                        ,5,兴证期货    ,2198,-908,方正中期    ,2223,32,国泰君安    ,3604,210
20150211,IF1506                        ,6,南华期货    ,2016,-135,中国国际    ,1689,-6,永安期货    ,1690,-181
20150211,IF1506                        ,7,招商期货    ,1873,-635,鲁证期货    ,1540,-17,海通期货    ,1541,15
20150211,IF1506                        ,8,国联期货    ,1630,1149,海通期货    ,1539,85,方正中期    ,1466,19
20150211,IF1506                        ,9,申银万国    ,1583,-663,美尔雅     ,1414,21,安信期货    ,1407,350
20150211,IF1506                        ,10,新湖期货    ,1513,-1739,北京首创    ,1397,14,光大期货    ,1259,166
20150211,IF1506                        ,11,五矿期货    ,1432,-240,中辉期货    ,1364,-12,南华期货    ,973,10
20150211,IF1506                        ,12,中融汇信    ,1317,-204,光大期货    ,1317,126,上海东证    ,961,13
20150211,IF1506                        ,13,国泰君安    ,1221,-434,申银万国    ,1189,-168,五矿期货    ,958,23
20150211,IF1506                        ,14,西部期货    ,1123,-86,华泰长城    ,1056,5,银河期货    ,893,-7
20150211,IF1506                        ,15,光大期货    ,1006,-309,新湖期货    ,1034,8,国信期货    ,890,10
20150211,IF1506                        ,16,华泰长城    ,937,-308,长江期货    ,981,3,东吴期货    ,594,41
20150211,IF1506                        ,17,美尔雅     ,917,-1234,瑞达期货    ,917,21,鲁证期货    ,591,57
20150211,IF1506                        ,18,国信期货    ,885,-659,中粮期货    ,870,5,兴证期货    ,584,-48
20150211,IF1506                        ,19,永安期货    ,878,-629,五矿期货    ,869,25,申银万国    ,543,25
20150211,IF1506                        ,20,广发期货    ,802,-26,东兴期货    ,677,198,宝城期货    ,471,-9
20150211,IF1509                        ,1,海通期货    ,1308,-220,上海东证    ,1874,1,招商期货    ,3365,18
20150211,IF1509                        ,2,华鑫期货    ,1064,-454,申银万国    ,1485,335,中信期货    ,2421,18
20150211,IF1509                        ,3,中信期货    ,802,-348,银河期货    ,1367,-13,华泰长城    ,1609,446
20150211,IF1509                        ,4,南华期货    ,684,-44,海通期货    ,1116,44,海通期货    ,1264,22
20150211,IF1509                        ,5,新湖期货    ,647,-204,中信期货    ,907,8,南华期货    ,1238,271
20150211,IF1509                        ,6,华泰长城    ,606,335,中融汇信    ,801,14,光大期货    ,1023,2
20150211,IF1509                        ,7,兴证期货    ,518,-194,永安期货    ,750,65,国泰君安    ,874,36
20150211,IF1509                        ,8,申银万国    ,477,208,方正中期    ,649,20,海航东银    ,583,18
20150211,IF1509                        ,9,光大期货    ,306,-163,南华期货    ,512,-3,广发期货    ,564,-1
20150211,IF1509                        ,10,浙商期货    ,306,109,光大期货    ,440,104,兴证期货    ,499,2
20150211,IF1509                        ,11,招商期货    ,286,-32,中粮期货    ,398,32,国信期货    ,414,-21
20150211,IF1509                        ,12,国泰君安    ,272,-323,兴证期货    ,369,12,银河期货    ,390,0
20150211,IF1509                        ,13,中融汇信    ,206,-80,招商期货    ,366,18,格林大华    ,350,18
20150211,IF1509                        ,14,上海东证    ,184,19,宝城期货    ,358,-3,方正中期    ,349,3
20150211,IF1509                        ,15,金瑞期货    ,171,96,国泰君安    ,357,58,永安期货    ,217,-4
20150211,IF1509                        ,16,国信期货    ,157,21,华泰长城    ,352,18,红塔期货    ,215,30
20150211,IF1509                        ,17,宏源期货    ,152,-14,五矿期货    ,352,38,申银万国    ,202,2
20150211,IF1509                        ,18,永安期货    ,141,-11,华鑫期货    ,314,2,瑞达期货    ,202,0
20150211,IF1509                        ,19,银河期货    ,131,-341,金瑞期货    ,313,59,上海东证    ,199,7
20150211,IF1509                        ,20,国金期货    ,126,48,上海中期    ,302,3,宝城期货    ,163,6
