交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150304,IF1503                        ,期货公司,2361580,98950,158544,4098,158544,4098
20150304,IF1503                        ,非期货公司,0,0,0,0,0,0
20150304,IF1506                        ,期货公司,135982,4776,50707,-1893,50707,-1893
20150304,IF1506                        ,非期货公司,0,0,0,0,0,0
20150304,IF1509                        ,期货公司,27572,-1166,26381,400,26381,400
20150304,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150304,IF1503                        ,1,中信期货    ,179801,7540,中信期货    ,12403,-33,海通期货    ,17172,-733
20150304,IF1503                        ,2,海通期货    ,155656,5682,国泰君安    ,10927,-1512,中信期货    ,15604,1172
20150304,IF1503                        ,3,国泰君安    ,126508,7405,方正中期    ,9375,-585,国泰君安    ,13425,234
20150304,IF1503                        ,4,华泰长城    ,100479,-39,永安期货    ,9173,28,广发期货    ,7698,-874
20150304,IF1503                        ,5,方正中期    ,85070,8805,海通期货    ,7938,297,银河期货    ,7594,-115
20150304,IF1503                        ,6,申银万国    ,83474,-4578,银河期货    ,6823,1606,财富期货    ,6949,2
20150304,IF1503                        ,7,广发期货    ,81441,9335,光大期货    ,6187,-327,华泰长城    ,6434,762
20150304,IF1503                        ,8,兴证期货    ,76597,443,倍特期货    ,6183,-133,永安期货    ,5599,444
20150304,IF1503                        ,9,华鑫期货    ,74807,-1792,申银万国    ,4380,112,招商期货    ,5349,-10
20150304,IF1503                        ,10,南华期货    ,71340,3871,南华期货    ,3846,-22,申银万国    ,5309,398
20150304,IF1503                        ,11,光大期货    ,65917,-943,鲁证期货    ,3841,-46,鲁证期货    ,5270,1140
20150304,IF1503                        ,12,上海东证    ,64743,11211,招商期货    ,3640,1469,兴证期货    ,5088,421
20150304,IF1503                        ,13,招商期货    ,62133,-28366,华泰长城    ,3636,-173,中银国际    ,4609,50
20150304,IF1503                        ,14,瑞达期货    ,53648,6560,广发期货    ,3550,-335,光大期货    ,4312,-2
20150304,IF1503                        ,15,银河期货    ,51033,-393,上海东证    ,3141,-195,上海东证    ,4271,994
20150304,IF1503                        ,16,永安期货    ,49806,10144,中国国际    ,3060,147,南华期货    ,4086,296
20150304,IF1503                        ,17,鲁证期货    ,44254,5539,浙商期货    ,2854,1701,中信建投    ,3030,423
20150304,IF1503                        ,18,浙商期货    ,36060,6399,新湖期货    ,2575,-22,方正中期    ,2293,129
20150304,IF1503                        ,19,五矿期货    ,34214,-572,国信期货    ,2541,4,国信期货    ,1851,-267
20150304,IF1503                        ,20,中信建投    ,33281,3716,安信期货    ,2530,-428,国金期货    ,1681,58
20150304,IF1506                        ,1,海通期货    ,22130,2309,永安期货    ,4896,-163,中信期货    ,6984,-127
20150304,IF1506                        ,2,华鑫期货    ,13578,-775,银河期货    ,4508,-45,国泰君安    ,5935,78
20150304,IF1506                        ,3,华西期货    ,8169,-685,国泰君安    ,3813,66,华泰长城    ,4342,-50
20150304,IF1506                        ,4,中信期货    ,6512,696,方正中期    ,2660,-437,广发期货    ,4045,-162
20150304,IF1506                        ,5,五矿期货    ,5761,418,华泰长城    ,2567,71,海通期货    ,2296,-404
20150304,IF1506                        ,6,新湖期货    ,4708,609,中国国际    ,2490,-3,永安期货    ,2080,66
20150304,IF1506                        ,7,招商期货    ,4490,1227,中信期货    ,2115,-1781,招商期货    ,2060,-377
20150304,IF1506                        ,8,银河期货    ,4106,1064,北京首创    ,1687,0,上海东证    ,1852,24
20150304,IF1506                        ,9,兴证期货    ,3953,160,中辉期货    ,1506,1,兴证期货    ,1810,-33
20150304,IF1506                        ,10,美尔雅     ,3731,140,鲁证期货    ,1466,20,南华期货    ,1597,-4
20150304,IF1506                        ,11,西部期货    ,3467,510,光大期货    ,1436,118,安信期货    ,1320,-203
20150304,IF1506                        ,12,国泰君安    ,3432,-857,长江期货    ,1310,-48,五矿期货    ,1195,-6
20150304,IF1506                        ,13,光大期货    ,3024,-221,新湖期货    ,1300,-4,东吴期货    ,1080,93
20150304,IF1506                        ,14,南华期货    ,2454,-338,中粮期货    ,1040,-10,方正中期    ,1022,-109
20150304,IF1506                        ,15,国联期货    ,2447,901,招商期货    ,1015,223,银河期货    ,986,25
20150304,IF1506                        ,16,申银万国    ,2441,-1829,瑞达期货    ,964,10,国信期货    ,864,-39
20150304,IF1506                        ,17,华泰长城    ,2329,-239,海通期货    ,912,306,鲁证期货    ,838,-442
20150304,IF1506                        ,18,国信期货    ,2289,991,五矿期货    ,906,109,申银万国    ,816,-15
20150304,IF1506                        ,19,广发期货    ,2161,433,南华期货    ,810,56,长江期货    ,708,-8
20150304,IF1506                        ,20,永安期货    ,1991,620,东吴期货    ,719,6,中信建投    ,624,35
20150304,IF1509                        ,1,海通期货    ,4969,1660,国泰君安    ,2315,-130,招商期货    ,5546,431
20150304,IF1509                        ,2,永安期货    ,2628,740,海通期货    ,2254,689,中信期货    ,2760,-162
