交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150311,IF1503                        ,期货公司,2465560,342016,151667,4169,151667,4169
20150311,IF1503                        ,非期货公司,0,0,0,0,0,0
20150311,IF1504                        ,期货公司,64846,23730,15903,735,15903,735
20150311,IF1504                        ,非期货公司,0,0,0,0,0,0
20150311,IF1506                        ,期货公司,141442,41138,56383,1479,56383,1479
20150311,IF1506                        ,非期货公司,0,0,0,0,0,0
20150311,IF1509                        ,期货公司,25374,10464,29454,393,29454,393
20150311,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150311,IF1503                        ,1,中信期货    ,200394,32876,中信期货    ,16300,2644,海通期货    ,16906,-742
20150311,IF1503                        ,2,海通期货    ,155557,30143,国泰君安    ,9524,-483,中信期货    ,15220,1276
20150311,IF1503                        ,3,国泰君安    ,115403,19539,海通期货    ,8928,1657,国泰君安    ,12900,842
20150311,IF1503                        ,4,华泰长城    ,101835,9908,方正中期    ,8804,1580,广发期货    ,8678,789
20150311,IF1503                        ,5,招商期货    ,94955,32026,光大期货    ,7161,1211,银河期货    ,7649,-283
20150311,IF1503                        ,6,申银万国    ,90815,214,永安期货    ,7047,1115,财富期货    ,6855,173
20150311,IF1503                        ,7,兴证期货    ,87524,14166,倍特期货    ,6202,61,华泰长城    ,6433,-117
20150311,IF1503                        ,8,华鑫期货    ,87507,14076,银河期货    ,4998,-1770,鲁证期货    ,5706,254
20150311,IF1503                        ,9,广发期货    ,85623,19190,南华期货    ,4234,338,兴证期货    ,5483,213
20150311,IF1503                        ,10,方正中期    ,81158,6943,申银万国    ,4213,316,申银万国    ,4716,425
20150311,IF1503                        ,11,光大期货    ,72719,12889,上海东证    ,3966,-338,光大期货    ,4417,482
20150311,IF1503                        ,12,银河期货    ,72449,10289,浙商期货    ,3873,713,南华期货    ,4023,-213
20150311,IF1503                        ,13,南华期货    ,71699,7635,安信期货    ,3830,77,招商期货    ,4020,675
20150311,IF1503                        ,14,上海东证    ,60145,4083,华泰长城    ,3195,-238,永安期货    ,3804,294
20150311,IF1503                        ,15,瑞达期货    ,58078,7799,鲁证期货    ,3188,-248,中银国际    ,3406,-39
20150311,IF1503                        ,16,五矿期货    ,46501,16012,招商期货    ,3099,508,中信建投    ,3161,180
