交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150316,IF1503                        ,期货公司,2132262,-201840,131638,990,131638,990
20150316,IF1503                        ,非期货公司,0,0,0,0,0,0
20150316,IF1504                        ,期货公司,199126,104892,36279,12463,36279,12463
20150316,IF1504                        ,非期货公司,0,0,0,0,0,0
20150316,IF1506                        ,期货公司,150774,19652,60793,2357,60793,2357
20150316,IF1506                        ,非期货公司,0,0,0,0,0,0
20150316,IF1509                        ,期货公司,21388,-952,30804,379,30804,379
20150316,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150316,IF1503                        ,1,中信期货    ,167807,-21256,中信期货    ,16236,80,海通期货    ,12050,-1406
20150316,IF1503                        ,2,海通期货    ,139579,-12862,国泰君安    ,8776,546,中信期货    ,11575,-1521
20150316,IF1503                        ,3,华泰长城    ,87839,1296,方正中期    ,7605,1129,国泰君安    ,9021,-686
20150316,IF1503                        ,4,国泰君安    ,86838,-23457,永安期货    ,6776,1216,广发期货    ,7223,-467
20150316,IF1503                        ,5,华鑫期货    ,82054,1887,海通期货    ,6739,-1273,银河期货    ,6917,175
20150316,IF1503                        ,6,申银万国    ,81628,-18056,光大期货    ,6229,-296,财富期货    ,5926,-901
20150316,IF1503                        ,7,兴证期货    ,78352,-4657,银河期货    ,4223,379,鲁证期货    ,5435,378
20150316,IF1503                        ,8,招商期货    ,75764,3301,倍特期货    ,4168,-1761,兴证期货    ,5249,143
20150316,IF1503                        ,9,方正中期    ,71094,-12788,南华期货    ,3839,-160,永安期货    ,5167,1980
20150316,IF1503                        ,10,南华期货    ,67663,-5819,华泰长城    ,3720,874,申银万国    ,4953,490
20150316,IF1503                        ,11,广发期货    ,58092,-10828,广发期货    ,3559,961,华泰长城    ,4743,-63
20150316,IF1503                        ,12,瑞达期货    ,57069,-5274,上海东证    ,3024,-458,招商期货    ,3451,316
20150316,IF1503                        ,13,上海东证    ,56267,-12911,申银万国    ,2954,218,南华期货    ,3267,-267
20150316,IF1503                        ,14,银河期货    ,55778,-8838,新湖期货    ,2642,253,中信建投    ,2871,229
20150316,IF1503                        ,15,光大期货    ,54505,1003,兴证期货    ,2587,861,光大期货    ,2806,-231
20150316,IF1503                        ,16,永安期货    ,44880,-853,浙商期货    ,2586,261,上海东证    ,2702,311
20150316,IF1503                        ,17,五矿期货    ,40529,4302,格林大华    ,2265,-727,东海期货    ,2227,717
20150316,IF1503                        ,18,鲁证期货    ,37366,-375,锦泰期货    ,2215,2109,方正中期    ,2128,-5
20150316,IF1503                        ,19,大有期货    ,34159,-1897,安信期货    ,2146,-710,大地期货    ,2009,292
20150316,IF1503                        ,20,浙商期货    ,30009,-4511,鲁证期货    ,1785,-802,国信期货    ,1987,90
20150316,IF1504                        ,1,海通期货    ,25022,11042,永安期货    ,2582,273,海通期货    ,5903,1747
20150316,IF1504                        ,2,中信期货    ,11855,6145,海通期货    ,2435,1093,中信期货    ,5600,1462
20150316,IF1504                        ,3,华西期货    ,10444,6235,国泰君安    ,2131,-71,国泰君安    ,3153,899
20150316,IF1504                        ,4,华鑫期货    ,9893,4287,银河期货    ,1976,446,中银国际    ,2738,659
20150316,IF1504                        ,5,新湖期货    ,8613,4527,倍特期货    ,1874,1702,广发期货    ,1844,1183
20150316,IF1504                        ,6,国泰君安    ,8512,4634,中信期货    ,1745,969,永安期货    ,1655,71
20150316,IF1504                        ,7,光大期货    ,8106,5272,申银万国    ,1543,906,上海东证    ,1444,404
20150316,IF1504                        ,8,五矿期货    ,6799,4283,上海大陆    ,1275,251,光大期货    ,1222,561
20150316,IF1504                        ,9,西部期货    ,5342,3239,安信期货    ,1239,789,国信期货    ,1045,169
20150316,IF1504                        ,10,永安期货    ,5336,3404,一德期货    ,1223,1124,财富期货    ,1028,900
