交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150317,IF1503                        ,期货公司,2199478,67216,85777,-45861,85777,-45861
20150317,IF1503                        ,非期货公司,0,0,0,0,0,0
20150317,IF1504                        ,期货公司,431450,232324,74154,37875,74154,37875
20150317,IF1504                        ,非期货公司,0,0,0,0,0,0
20150317,IF1506                        ,期货公司,150642,-132,63678,2885,63678,2885
20150317,IF1506                        ,非期货公司,0,0,0,0,0,0
20150317,IF1509                        ,期货公司,25764,4376,31944,1140,31944,1140
20150317,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150317,IF1503                        ,1,中信期货    ,153290,-14517,中信期货    ,10415,-5821,中信期货    ,6828,-4747
20150317,IF1503                        ,2,海通期货    ,149945,10366,海通期货    ,5432,-1307,海通期货    ,5588,-6462
20150317,IF1503                        ,3,国泰君安    ,94920,8082,国泰君安    ,4632,-4144,银河期货    ,5460,-1457
20150317,IF1503                        ,4,华泰长城    ,89531,1692,永安期货    ,4083,-2693,永安期货    ,5043,-124
20150317,IF1503                        ,5,申银万国    ,82481,853,银河期货    ,3888,-335,广发期货    ,4684,-2539
20150317,IF1503                        ,6,招商期货    ,80307,4543,方正中期    ,3864,-3741,国泰君安    ,4425,-4596
20150317,IF1503                        ,7,华鑫期货    ,79003,-3051,光大期货    ,3522,-2707,兴证期货    ,4178,-1071
20150317,IF1503                        ,8,兴证期货    ,77259,-1093,南华期货    ,3092,-747,财富期货    ,3966,-1960
20150317,IF1503                        ,9,方正中期    ,74382,3288,广发期货    ,2878,-681,申银万国    ,3792,-1161
20150317,IF1503                        ,10,广发期货    ,65540,7448,上海东证    ,2663,-361,鲁证期货    ,3241,-2194
20150317,IF1503                        ,11,瑞达期货    ,65274,8205,华泰长城    ,2601,-1119,华泰长城    ,3005,-1738
20150317,IF1503                        ,12,光大期货    ,63277,8772,申银万国    ,2250,-704,南华期货    ,2200,-1067
20150317,IF1503                        ,13,南华期货    ,62938,-4725,格林大华    ,2110,-155,中信建投    ,2119,-752
20150317,IF1503                        ,14,银河期货    ,62260,6482,新湖期货    ,2018,-624,方正中期    ,1893,-235
20150317,IF1503                        ,15,上海东证    ,60644,4377,鲁证期货    ,1859,74,国信期货    ,1726,-261
20150317,IF1503                        ,16,永安期货    ,39531,-5349,兴证期货    ,1795,-792,东海期货    ,1409,-818
20150317,IF1503                        ,17,鲁证期货    ,38366,1000,宏源期货    ,1341,-56,上海东证    ,1401,-1301
20150317,IF1503                        ,18,大有期货    ,36295,2136,中银国际    ,1211,-295,光大期货    ,1326,-1480
20150317,IF1503                        ,19,浙商期货    ,30679,670,招商期货    ,1187,-534,中银国际    ,1245,-687
20150317,IF1503                        ,20,国投中谷    ,30144,5886,海航东银    ,1137,3,浙商期货    ,1213,-440
20150317,IF1504                        ,1,海通期货    ,55633,30611,海通期货    ,6104,3669,海通期货    ,11851,5948
20150317,IF1504                        ,2,中信期货    ,23250,11395,倍特期货    ,5873,3999,中信期货    ,8325,2725
20150317,IF1504                        ,3,华西期货    ,21007,10563,永安期货    ,5612,3030,国泰君安    ,5683,2530
20150317,IF1504                        ,4,国泰君安    ,19958,11446,中信期货    ,3634,1889,广发期货    ,4634,2790
20150317,IF1504                        ,5,光大期货    ,17062,8956,浙商期货    ,3623,3396,中银国际    ,3333,595
20150317,IF1504                        ,6,华鑫期货    ,13849,3956,方正中期    ,3285,2687,光大期货    ,2978,1756
