交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150325,IF1504                        ,期货公司,2568788,-204324,136976,-6704,136976,-6704
20150325,IF1504                        ,非期货公司,0,0,0,0,0,0
20150325,IF1506                        ,期货公司,222840,7888,69191,-968,69191,-968
20150325,IF1506                        ,非期货公司,0,0,0,0,0,0
20150325,IF1509                        ,期货公司,35764,-4988,33659,-134,33659,-134
20150325,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150325,IF1504                        ,1,中信期货    ,214559,-15196,中信期货    ,13185,57,海通期货    ,14963,283
20150325,IF1504                        ,2,海通期货    ,141825,-18701,海通期货    ,8338,-2248,中信期货    ,14197,-1758
20150325,IF1504                        ,3,国泰君安    ,121120,-6078,永安期货    ,7747,-137,银河期货    ,8237,625
20150325,IF1504                        ,4,申银万国    ,106317,-526,国泰君安    ,7465,-216,广发期货    ,8042,-440
20150325,IF1504                        ,5,华泰长城    ,106258,-9825,方正中期    ,6439,416,国泰君安    ,7308,-522
20150325,IF1504                        ,6,华鑫期货    ,91449,-8617,倍特期货    ,6089,15,财富期货    ,6200,-24
20150325,IF1504                        ,7,兴证期货    ,89234,-14667,光大期货    ,5444,-1118,兴证期货    ,5216,-1291
20150325,IF1504                        ,8,南华期货    ,86641,-12074,南华期货    ,4744,-343,光大期货    ,5038,458
20150325,IF1504                        ,9,方正中期    ,85087,-8050,浙商期货    ,4565,94,华泰长城    ,5029,-699
20150325,IF1504                        ,10,招商期货    ,83446,-16576,广发期货    ,3529,1620,永安期货    ,4724,-304
20150325,IF1504                        ,11,银河期货    ,70601,-14035,银河期货    ,3507,-2444,申银万国    ,4479,-318
20150325,IF1504                        ,12,广发期货    ,68078,-6515,上海东证    ,3030,1582,招商期货    ,4298,616
20150325,IF1504                        ,13,瑞达期货    ,67886,1718,申银万国    ,2802,-1283,中银国际    ,3782,-152
20150325,IF1504                        ,14,光大期货    ,67802,-21100,华泰长城    ,2707,-837,鲁证期货    ,3481,-879
20150325,IF1504                        ,15,上海东证    ,67457,-10774,安信期货    ,2207,-331,上海东证    ,3430,-431
20150325,IF1504                        ,16,大有期货    ,46966,2665,宝城期货    ,2167,240,中信建投    ,2968,-126
20150325,IF1504                        ,17,五矿期货    ,46735,-2982,宏源期货    ,2158,33,南华期货    ,2311,-358
20150325,IF1504                        ,18,鲁证期货    ,45327,-9205,兴证期货    ,2141,-103,国信期货    ,1991,-104
20150325,IF1504                        ,19,永安期货    ,41209,-3546,瑞达期货    ,2111,228,方正中期    ,1798,519
20150325,IF1504                        ,20,浙商期货    ,39667,-1464,财富期货    ,1934,60,东海期货    ,1751,92
20150325,IF1506                        ,1,海通期货    ,23295,-270,中信期货    ,5934,21,中信期货    ,9122,-114
20150325,IF1506                        ,2,中信期货    ,22397,3093,银河期货    ,5741,-55,国泰君安    ,8695,331
20150325,IF1506                        ,3,华鑫期货    ,16588,1459,格林大华    ,4723,-46,广发期货    ,4296,-51
