交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150403,IF1504                        ,期货公司,3227968,162738,131362,4859,131362,4859
20150403,IF1504                        ,非期货公司,0,0,0,0,0,0
20150403,IF1505                        ,期货公司,52148,10964,10734,1628,10734,1628
20150403,IF1505                        ,非期货公司,0,0,0,0,0,0
20150403,IF1506                        ,期货公司,292186,38828,56909,2198,56909,2198
20150403,IF1506                        ,非期货公司,0,0,0,0,0,0
20150403,IF1509                        ,期货公司,55876,8910,34015,-45,34015,-45
20150403,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150403,IF1504                        ,1,中信期货    ,259858,25551,中信期货    ,14144,2484,中信期货    ,12739,-10
20150403,IF1504                        ,2,海通期货    ,215658,27673,永安期货    ,8379,1886,海通期货    ,11260,-882
20150403,IF1504                        ,3,国泰君安    ,152278,11611,海通期货    ,7983,1736,银河期货    ,7680,874
20150403,IF1504                        ,4,华泰长城    ,141401,5671,光大期货    ,7224,433,国泰君安    ,7466,-226
20150403,IF1504                        ,5,南华期货    ,132686,6510,广发期货    ,6512,1069,广发期货    ,7464,-305
20150403,IF1504                        ,6,申银万国    ,123772,6820,浙商期货    ,6282,761,财富期货    ,5846,-329
20150403,IF1504                        ,7,兴证期货    ,117998,10539,倍特期货    ,6247,-20,华泰长城    ,5184,636
20150403,IF1504                        ,8,方正中期    ,111560,3658,国泰君安    ,5546,-1492,招商期货    ,4935,424
20150403,IF1504                        ,9,银河期货    ,105275,7349,方正中期    ,3500,161,光大期货    ,4762,842
20150403,IF1504                        ,10,招商期货    ,104416,-27001,华泰长城    ,3284,125,鲁证期货    ,4705,1221
20150403,IF1504                        ,11,华鑫期货    ,103618,-1315,南华期货    ,3246,262,兴证期货    ,4101,663
20150403,IF1504                        ,12,广发期货    ,95722,-572,申银万国    ,3126,-472,申银万国    ,3978,612
20150403,IF1504                        ,13,光大期货    ,88801,-729,锦泰期货    ,2723,2187,上海东证    ,2913,-854
20150403,IF1504                        ,14,上海东证    ,83480,20291,银河期货    ,2521,-485,永安期货    ,2791,-320
20150403,IF1504                        ,15,瑞达期货    ,76159,-695,上海东证    ,2055,602,中银国际    ,2635,-141
20150403,IF1504                        ,16,五矿期货    ,62567,-3758,宏源期货    ,2011,-75,东海期货    ,2448,48
20150403,IF1504                        ,17,永安期货    ,52042,6838,万达期货    ,1887,624,中信建投    ,2349,30
20150403,IF1504                        ,18,鲁证期货    ,44902,2772,安信期货    ,1810,2,南华期货    ,2322,-306
20150403,IF1504                        ,19,浙商期货    ,43634,5127,瑞达期货    ,1776,-243,中投天琪    ,2064,1115
20150403,IF1504                        ,20,大有期货    ,41980,-157,兴证期货    ,1640,-121,国信期货    ,2055,4
20150403,IF1505                        ,1,海通期货    ,6084,-149,银河期货    ,1916,22,中信期货    ,1803,450
20150403,IF1505                        ,2,中信期货    ,4134,1041,海通期货    ,1350,48,中银国际    ,1608,202
20150403,IF1505                        ,3,华西期货    ,3858,116,大地期货    ,1214,289,国泰君安    ,1064,85
20150403,IF1505                        ,4,华鑫期货    ,2758,759,东兴期货    ,897,891,招商期货    ,680,5
20150403,IF1505                        ,5,永安期货    ,2586,2326,中信期货    ,650,302,宏源期货    ,523,-6
20150403,IF1505                        ,6,招商期货    ,2571,-104,国泰君安    ,585,-100,兴证期货    ,353,82
20150403,IF1505                        ,7,兴证期货    ,2365,464,鲁证期货    ,585,-9,方正中期    ,333,16
20150403,IF1505                        ,8,新湖期货    ,1804,849,兴证期货    ,353,11,海通期货    ,322,20
20150403,IF1505                        ,9,光大期货    ,1775,334,东海期货    ,301,72,广发期货    ,287,96
20150403,IF1505                        ,10,中大期货    ,1605,604,长江期货    ,296,5,光大期货    ,264,101
