交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150408,IF1504                        ,期货公司,3058502,585092,114187,-4683,114187,-4683
20150408,IF1504                        ,非期货公司,0,0,0,0,0,0
20150408,IF1505                        ,期货公司,72236,31676,13762,2475,13762,2475
20150408,IF1505                        ,非期货公司,0,0,0,0,0,0
20150408,IF1506                        ,期货公司,285916,55582,58328,82,58328,82
20150408,IF1506                        ,非期货公司,0,0,0,0,0,0
20150408,IF1509                        ,期货公司,62122,17964,34188,215,34188,215
20150408,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150408,IF1504                        ,1,中信期货    ,265823,51255,中信期货    ,10977,-1791,海通期货    ,10000,-376
20150408,IF1504                        ,2,海通期货    ,198171,40463,海通期货    ,7186,-77,中信期货    ,8179,-458
20150408,IF1504                        ,3,国泰君安    ,144665,22094,国泰君安    ,6956,951,广发期货    ,7436,278
20150408,IF1504                        ,4,华泰长城    ,127711,13041,光大期货    ,6745,-479,国泰君安    ,5860,-994
20150408,IF1504                        ,5,申银万国    ,124761,38557,倍特期货    ,6281,-19,银河期货    ,5338,-530
20150408,IF1504                        ,6,南华期货    ,119358,26342,广发期货    ,6184,-1368,鲁证期货    ,4436,-2
20150408,IF1504                        ,7,招商期货    ,108457,6096,永安期货    ,4839,-206,招商期货    ,4321,-80
20150408,IF1504                        ,8,华鑫期货    ,101173,7761,方正中期    ,4681,1443,光大期货    ,4261,-201
20150408,IF1504                        ,9,方正中期    ,100614,12791,南华期货    ,3341,-56,华泰长城    ,4154,-135
20150408,IF1504                        ,10,广发期货    ,100374,25026,华泰长城    ,2993,-576,申银万国    ,3973,46
20150408,IF1504                        ,11,兴证期货    ,99853,14969,银河期货    ,2602,227,兴证期货    ,3669,-132
20150408,IF1504                        ,12,光大期货    ,97742,31130,申银万国    ,2358,-493,财富期货    ,3495,-1254
20150408,IF1504                        ,13,银河期货    ,80555,8099,万达期货    ,2219,1578,永安期货    ,2842,637
20150408,IF1504                        ,14,瑞达期货    ,79685,25016,国信期货    ,2145,631,东海期货    ,2599,-73
20150408,IF1504                        ,15,上海东证    ,72626,12957,鲁证期货    ,2123,108,中银国际    ,2463,-112
20150408,IF1504                        ,16,五矿期货    ,67541,17380,兴证期货    ,1873,-307,上海东证    ,2364,-143
20150408,IF1504                        ,17,永安期货    ,53291,11955,宏源期货    ,1793,-125,南华期货    ,2029,-160
20150408,IF1504                        ,18,鲁证期货    ,46140,12098,瑞达期货    ,1712,-90,浙商期货    ,1924,411
20150408,IF1504                        ,19,浙商期货    ,44231,4643,新湖期货    ,1627,1104,国信期货    ,1911,-15
20150408,IF1504                        ,20,国信期货    ,43188,8039,上海东证    ,1589,-875,中信建投    ,1778,-351
20150408,IF1505                        ,1,海通期货    ,9562,4481,银河期货    ,1924,2,中信期货    ,2027,42
20150408,IF1505                        ,2,中信期货    ,5579,2401,海通期货    ,1269,-47,中银国际    ,1656,47
20150408,IF1505                        ,3,华西期货    ,5575,1823,东兴期货    ,1235,326,国泰君安    ,1454,498
20150408,IF1505                        ,4,华鑫期货    ,3516,1058,大地期货    ,1204,476,财富期货    ,977,618
20150408,IF1505                        ,5,兴证期货    ,2938,1201,中信期货    ,899,109,方正中期    ,749,363
20150408,IF1505                        ,6,永安期货    ,2718,2277,申银万国    ,834,613,招商期货    ,673,1
20150408,IF1505                        ,7,中大期货    ,2653,283,国泰君安    ,689,111,宏源期货    ,434,-72
20150408,IF1505                        ,8,光大期货    ,2620,1384,鲁证期货    ,442,-141,海通期货    ,414,89
20150408,IF1505                        ,9,国泰君安    ,2551,1032,兴证期货    ,393,-103,金元期货    ,314,305
20150408,IF1505                        ,10,新湖期货    ,2112,812,永安期货    ,358,268,申银万国    ,306,-29
20150408,IF1505                        ,11,南华期货    ,2055,1332,东海期货    ,328,25,银河期货    ,293,52
