交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150410,IF1504                        ,期货公司,2932764,-240534,111960,9932,111960,9932
20150410,IF1504                        ,非期货公司,0,0,0,0,0,0
20150410,IF1505                        ,期货公司,113588,13808,23111,3964,23111,3964
20150410,IF1505                        ,非期货公司,0,0,0,0,0,0
20150410,IF1506                        ,期货公司,296290,-33538,60163,1744,60163,1744
20150410,IF1506                        ,非期货公司,0,0,0,0,0,0
20150410,IF1509                        ,期货公司,57242,-12078,32844,-602,32844,-602
20150410,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150410,IF1504                        ,1,中信期货    ,232454,-28627,中信期货    ,11211,1199,海通期货    ,10041,1095
20150410,IF1504                        ,2,海通期货    ,196398,7750,海通期货    ,8097,2809,中信期货    ,8922,1339
20150410,IF1504                        ,3,国泰君安    ,129282,-20603,国泰君安    ,7593,-1538,广发期货    ,6917,-139
20150410,IF1504                        ,4,华泰长城    ,124606,-8292,光大期货    ,6468,1290,银河期货    ,6466,1256
20150410,IF1504                        ,5,申银万国    ,117937,-15227,广发期货    ,4931,964,国泰君安    ,4776,-1694
20150410,IF1504                        ,6,南华期货    ,112614,-19329,方正中期    ,4194,784,申银万国    ,4224,1155
20150410,IF1504                        ,7,兴证期货    ,111500,7149,国信期货    ,3478,173,鲁证期货    ,3970,329
20150410,IF1504                        ,8,方正中期    ,106681,-1112,倍特期货    ,3230,685,华泰长城    ,3853,-68
20150410,IF1504                        ,9,华鑫期货    ,102225,-371,华泰长城    ,3144,836,招商期货    ,3845,699
20150410,IF1504                        ,10,招商期货    ,95583,-34099,永安期货    ,2962,-105,永安期货    ,3669,945
20150410,IF1504                        ,11,银河期货    ,92170,1758,银河期货    ,2786,224,光大期货    ,3330,-89
20150410,IF1504                        ,12,广发期货    ,89735,-10872,鲁证期货    ,2741,435,兴证期货    ,3042,-375
20150410,IF1504                        ,13,光大期货    ,74373,-19222,浙商期货    ,2689,1336,财富期货    ,2869,316
20150410,IF1504                        ,14,上海东证    ,73633,-5665,锦泰期货    ,2680,510,东海期货    ,2430,93
20150410,IF1504                        ,15,瑞达期货    ,68523,-3429,申银万国    ,2492,80,大地期货    ,2237,1473
20150410,IF1504                        ,16,五矿期货    ,64527,-4350,上海东证    ,2317,59,中银国际    ,2223,-131
20150410,IF1504                        ,17,永安期货    ,50670,2920,新湖期货    ,2292,150,宝城期货    ,1864,1401
20150410,IF1504                        ,18,鲁证期货    ,44346,-7676,南华期货    ,2264,-906,中信建投    ,1818,-42
20150410,IF1504                        ,19,浙商期货    ,41345,1895,兴证期货    ,2193,283,国信期货    ,1806,84
20150410,IF1504                        ,20,国信期货    ,39535,-7058,国海良时    ,1745,1430,上海东证    ,1721,180
20150410,IF1505                        ,1,海通期货    ,12482,7274,永安期货    ,2260,517,国泰君安    ,3161,278
