交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150414,IF1504                        ,期货公司,2812284,352810,85608,-18980,85608,-18980
20150414,IF1504                        ,非期货公司,0,0,0,0,0,0
20150414,IF1505                        ,期货公司,284656,114230,36547,7141,36547,7141
20150414,IF1505                        ,非期货公司,0,0,0,0,0,0
20150414,IF1506                        ,期货公司,327616,38924,60716,826,60716,826
20150414,IF1506                        ,非期货公司,0,0,0,0,0,0
20150414,IF1509                        ,期货公司,56010,-4910,32672,453,32672,453
20150414,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150414,IF1504                        ,1,中信期货    ,230282,22640,中信期货    ,8471,-1521,海通期货    ,7663,-1626
20150414,IF1504                        ,2,海通期货    ,180768,35816,国泰君安    ,7252,93,国泰君安    ,5895,190
20150414,IF1504                        ,3,国泰君安    ,123843,11640,海通期货    ,6283,-2346,中信期货    ,5146,-2045
20150414,IF1504                        ,4,华泰长城    ,117791,24485,光大期货    ,4853,-1101,广发期货    ,4398,-1229
20150414,IF1504                        ,5,南华期货    ,117140,15030,方正中期    ,4050,-940,鲁证期货    ,3566,-260
20150414,IF1504                        ,6,申银万国    ,111056,9403,广发期货    ,3922,-1826,永安期货    ,3545,-893
20150414,IF1504                        ,7,广发期货    ,109981,31456,国信期货    ,3199,-55,申银万国    ,3495,-318
20150414,IF1504                        ,8,光大期货    ,102786,25242,浙商期货    ,2328,-135,东海期货    ,3492,-129
20150414,IF1504                        ,9,方正中期    ,94291,7998,永安期货    ,2318,-559,华泰长城    ,3478,226
20150414,IF1504                        ,10,兴证期货    ,93934,-5801,倍特期货    ,2283,-36,银河期货    ,3360,-3106
20150414,IF1504                        ,11,招商期货    ,83736,15582,南华期货    ,2225,-429,财富期货    ,2888,-324
20150414,IF1504                        ,12,瑞达期货    ,75334,16835,新湖期货    ,2188,-96,光大期货    ,2743,-441
20150414,IF1504                        ,13,华鑫期货    ,74030,-12298,申银万国    ,2140,-528,招商期货    ,1951,100
20150414,IF1504                        ,14,五矿期货    ,69221,14520,华泰长城    ,1974,-1005,兴证期货    ,1914,-277
20150414,IF1504                        ,15,银河期货    ,66849,4972,鲁证期货    ,1860,-423,中银国际    ,1789,-357
20150414,IF1504                        ,16,上海东证    ,62374,8999,银河期货    ,1804,-255,浙商期货    ,1459,79
20150414,IF1504                        ,17,永安期货    ,44072,6072,国海良时    ,1640,-55,上海东证    ,1371,-1034
20150414,IF1504                        ,18,大有期货    ,42060,9862,瑞达期货    ,1426,-63,西部期货    ,1244,-133
20150414,IF1504                        ,19,浙商期货    ,40268,7678,中银国际    ,1257,-23,格林大华    ,1230,-8
20150414,IF1504                        ,20,鲁证期货    ,38729,843,兴证期货    ,1242,-571,万达期货    ,1214,284
20150414,IF1505                        ,1,海通期货    ,31541,8860,海通期货    ,3446,307,中信期货    ,5007,1380
20150414,IF1505                        ,2,中信期货    ,24785,10219,永安期货    ,2988,257,国泰君安    ,3582,235
20150414,IF1505                        ,3,光大期货    ,17476,5956,银河期货    ,2231,548,中银国际    ,2397,408
20150414,IF1505                        ,4,五矿期货    ,16583,12558,中信期货    ,2107,667,广发期货    ,2311,1064
20150414,IF1505                        ,5,西部期货    ,13962,6380,国泰君安    ,1730,173,海通期货    ,2283,454
20150414,IF1505                        ,6,华西期货    ,13453,2055,申银万国    ,1593,369,银河期货    ,2281,1823
20150414,IF1505                        ,7,国泰君安    ,10758,3239,宝城期货    ,1555,109,财富期货    ,2237,320
20150414,IF1505                        ,8,华鑫期货    ,9117,3306,浙商期货    ,1272,129,申银万国    ,1424,393
20150414,IF1505                        ,9,新湖期货    ,8472,5522,财富期货    ,1240,5,鲁证期货    ,1182,251
20150414,IF1505                        ,10,申银万国    ,7804,3586,东兴期货    ,1235,11,华泰长城    ,1012,97
20150414,IF1505                        ,11,银河期货    ,7703,5500,大地期货    ,1230,7,光大期货    ,1000,106
