交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150415,IF1504                        ,期货公司,2855132,42848,58631,-26977,58631,-26977
20150415,IF1504                        ,非期货公司,0,0,0,0,0,0
20150415,IF1505                        ,期货公司,565306,280650,55805,19258,55805,19258
20150415,IF1505                        ,非期货公司,0,0,0,0,0,0
20150415,IF1506                        ,期货公司,407580,79964,63124,2408,63124,2408
20150415,IF1506                        ,非期货公司,0,0,0,0,0,0
20150415,IF1509                        ,期货公司,57790,1780,32280,-392,32280,-392
20150415,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150415,IF1504                        ,1,中信期货    ,231318,1036,中信期货    ,6395,-2076,海通期货    ,5340,-2323
20150415,IF1504                        ,2,海通期货    ,198453,17685,国泰君安    ,5072,-2180,中信期货    ,3978,-1168
20150415,IF1504                        ,3,南华期货    ,136730,19590,光大期货    ,4845,-8,华泰长城    ,3347,-131
20150415,IF1504                        ,4,华泰长城    ,128317,10526,国信期货    ,2410,-789,广发期货    ,3053,-1345
20150415,IF1504                        ,5,国泰君安    ,123938,95,倍特期货    ,2247,-36,申银万国    ,2413,-1082
20150415,IF1504                        ,6,申银万国    ,118065,7009,海通期货    ,2197,-4086,国泰君安    ,2199,-3696
20150415,IF1504                        ,7,兴证期货    ,110995,17061,南华期货    ,1859,-366,东海期货    ,2162,-1330
20150415,IF1504                        ,8,光大期货    ,101679,-1107,广发期货    ,1783,-2139,光大期货    ,2124,-619
20150415,IF1504                        ,9,方正中期    ,100042,5751,申银万国    ,1737,-403,永安期货    ,2103,-1442
20150415,IF1504                        ,10,广发期货    ,95770,-14211,方正中期    ,1714,-2336,财富期货    ,2047,-841
20150415,IF1504                        ,11,招商期货    ,76143,-7593,华泰长城    ,1708,-266,鲁证期货    ,1740,-1826
20150415,IF1504                        ,12,瑞达期货    ,74005,-1329,上海东证    ,1655,581,兴证期货    ,1411,-503
20150415,IF1504                        ,13,五矿期货    ,69125,-96,鲁证期货    ,1526,-334,银河期货    ,1393,-1967
20150415,IF1504                        ,14,华鑫期货    ,68754,-5276,永安期货    ,1442,-876,格林大华    ,1298,68
20150415,IF1504                        ,15,上海东证    ,67844,5470,兴证期货    ,1194,-48,西部期货    ,1081,-163
20150415,IF1504                        ,16,银河期货    ,66382,-467,瑞达期货    ,1152,-274,浙商期货    ,1071,-388
20150415,IF1504                        ,17,永安期货    ,45730,1658,银河期货    ,1059,-745,中国国际    ,1003,54
20150415,IF1504                        ,18,浙商期货    ,44293,4025,新湖期货    ,1026,-1162,国联期货    ,962,-142
20150415,IF1504                        ,19,鲁证期货    ,40646,1917,宏源期货    ,904,-190,弘业期货    ,951,-161
20150415,IF1504                        ,20,大有期货    ,40025,-2035,安信期货    ,793,-305,上海东证    ,816,-555
20150415,IF1505                        ,1,海通期货    ,54138,22597,永安期货    ,6198,3210,中信期货    ,6300,1293
20150415,IF1505                        ,2,中信期货    ,47820,23035,中信期货    ,4994,2887,国泰君安    ,4635,1053
20150415,IF1505                        ,3,国泰君安    ,28800,18042,海通期货    ,4746,1300,海通期货    ,4089,1806
20150415,IF1505                        ,4,五矿期货    ,27191,10608,国泰君安    ,3293,1563,银河期货    ,3916,1635
20150415,IF1505                        ,5,西部期货    ,25852,11890,申银万国    ,2710,1117,财富期货    ,3736,1499
20150415,IF1505                        ,6,华西期货    ,25776,12323,银河期货    ,2478,247,广发期货    ,3702,1391
20150415,IF1505                        ,7,招商期货    ,24447,20174,浙商期货    ,2339,1067,中银国际    ,3333,936
20150415,IF1505                        ,8,光大期货    ,22675,5199,宝城期货    ,2090,535,申银万国    ,2699,1275
20150415,IF1505                        ,9,华鑫期货    ,17447,8330,国海良时    ,1266,841,鲁证期货    ,2186,1004
20150415,IF1505                        ,10,申银万国    ,15284,7480,大地期货    ,1260,30,华泰长城    ,1735,723
20150415,IF1505                        ,11,兴证期货    ,14114,6619,东兴期货    ,1255,20,兴证期货    ,1387,414
20150415,IF1505                        ,12,银河期货    ,12936,5233,上海东证    ,1250,743,光大期货    ,1320,320
20150415,IF1505                        ,13,南华期货    ,12359,6334,财富期货    ,1210,-30,南华期货    ,1183,531
20150415,IF1505                        ,14,永安期货    ,12181,5527,金元期货    ,1156,1079,招商期货    ,1137,491
20150415,IF1505                        ,15,新湖期货    ,11839,3367,南华期货    ,1118,354,东海期货    ,1103,598
20150415,IF1505                        ,16,华泰长城    ,11811,6686,广发期货    ,1045,148,中信建投    ,897,471
20150415,IF1505                        ,17,上海东证    ,10667,5240,光大期货    ,914,255,万达期货    ,871,695
20150415,IF1505                        ,18,浙商期货    ,10565,7042,鲁证期货    ,892,244,国信期货    ,860,168
