交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150421,IF1505                        ,期货公司,2856020,-401488,105687,2230,105687,2230
20150421,IF1505                        ,非期货公司,0,0,0,0,0,0
20150421,IF1506                        ,期货公司,367648,-79026,64255,-259,64255,-259
20150421,IF1506                        ,非期货公司,0,0,0,0,0,0
20150421,IF1509                        ,期货公司,54034,-25864,30668,-160,30668,-160
20150421,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150421,IF1505                        ,1,中信期货    ,228375,-16733,永安期货    ,9758,-708,中信期货    ,9723,1109
20150421,IF1505                        ,2,海通期货    ,190426,-28878,中信期货    ,9370,14,海通期货    ,8531,-562
20150421,IF1505                        ,3,南华期货    ,143845,-7522,光大期货    ,7607,418,财富期货    ,5289,113
20150421,IF1505                        ,4,国泰君安    ,137277,-21040,海通期货    ,7435,1956,银河期货    ,4903,536
20150421,IF1505                        ,5,申银万国    ,118345,-17695,国泰君安    ,5807,-132,广发期货    ,4702,-160
20150421,IF1505                        ,6,华泰长城    ,114020,-26202,浙商期货    ,4078,1639,国泰君安    ,4357,-1047
20150421,IF1505                        ,7,方正中期    ,106243,1250,申银万国    ,4007,-84,华泰长城    ,4295,-258
20150421,IF1505                        ,8,兴证期货    ,100733,-17561,银河期货    ,3577,-190,申银万国    ,4053,-473
20150421,IF1505                        ,9,招商期货    ,92554,-22508,宝城期货    ,3057,642,光大期货    ,3876,177
20150421,IF1505                        ,10,光大期货    ,88121,-43146,广发期货    ,2566,-865,浙商期货    ,3698,1763
20150421,IF1505                        ,11,广发期货    ,80379,-21162,华泰长城    ,2282,-190,中银国际    ,3619,-13
20150421,IF1505                        ,12,五矿期货    ,77346,-10408,方正中期    ,2094,-27,永安期货    ,3239,-7
20150421,IF1505                        ,13,银河期货    ,72714,8049,国投中谷    ,2060,-41,东海期货    ,3200,568
20150421,IF1505                        ,14,瑞达期货    ,72068,-6248,国海良时    ,2057,1492,鲁证期货    ,2838,-367
20150421,IF1505                        ,15,上海东证    ,68270,-4637,兴证期货    ,2021,334,安信期货    ,2714,1165
20150421,IF1505                        ,16,华鑫期货    ,63122,-21660,东兴期货    ,1871,-50,方正中期    ,2653,-426
20150421,IF1505                        ,17,永安期货    ,47325,-13312,鲁证期货    ,1780,55,招商期货    ,2128,962
20150421,IF1505                        ,18,大有期货    ,45450,-13213,南华期货    ,1643,145,上海东证    ,2113,743
20150421,IF1505                        ,19,浙商期货    ,42776,-9771,财富期货    ,1630,-10,兴证期货    ,1928,-443
20150421,IF1505                        ,20,鲁证期货    ,41512,-7657,弘业期货    ,1477,193,南华期货    ,1751,-78
20150421,IF1506                        ,1,海通期货    ,38333,-6203,中信期货    ,11054,510,中信期货    ,8341,-8
20150421,IF1506                        ,2,华鑫期货    ,29266,-1318,倍特期货    ,8509,199,国泰君安    ,6890,-45
20150421,IF1506                        ,3,中信期货    ,23592,-7171,方正中期    ,3179,-275,华泰长城    ,4282,-162
20150421,IF1506                        ,4,招商期货    ,19789,-11570,银河期货    ,2467,79,银河期货    ,3569,27
20150421,IF1506                        ,5,五矿期货    ,17437,-6040,宏源期货    ,2412,8,永安期货    ,2627,-342
20150421,IF1506                        ,6,光大期货    ,17167,-7560,光大期货    ,2316,-256,长江期货    ,2312,461
20150421,IF1506                        ,7,南华期货    ,16470,-1867,中银国际    ,2282,-84,招商期货    ,2178,126
20150421,IF1506                        ,8,华西期货    ,15392,-1968,瑞达期货    ,2016,320,广发期货    ,1862,-13
20150421,IF1506                        ,9,西部期货    ,13865,-2114,安信期货    ,1916,-69,国信期货    ,1653,-587
20150421,IF1506                        ,10,国泰君安    ,10533,-954,海通期货    ,1793,-24,光大期货    ,1594,209
20150421,IF1506                        ,11,兴证期货    ,9254,-470,一德期货    ,1697,-5,东吴期货    ,1502,67
20150421,IF1506                        ,12,新湖期货    ,8938,-1699,国泰君安    ,1621,170,鲁证期货    ,1491,-111
20150421,IF1506                        ,13,方正中期    ,8701,3591,永安期货    ,1551,-87,五矿期货    ,1369,30
20150421,IF1506                        ,14,永安期货    ,6717,-1500,格林大华    ,1398,733,中信建投    ,1359,-16
20150421,IF1506                        ,15,中大期货    ,5859,-2986,广发期货    ,1183,259,海通期货    ,1333,95
20150421,IF1506                        ,16,华泰长城    ,5408,-756,华泰长城    ,1120,214,方正中期    ,1297,248
20150421,IF1506                        ,17,国信期货    ,5246,-980,浙商期货    ,1048,99,安信期货    ,1163,6
20150421,IF1506                        ,18,广发期货    ,4904,-554,中信建投    ,929,-135,南华期货    ,1160,44
20150421,IF1506                        ,19,宏源期货    ,4772,-262,南华期货    ,810,30,新湖期货    ,1110,-22
20150421,IF1506                        ,20,美尔雅     ,4716,2104,上海东证    ,801,-141,申银万国    ,1108,-48
20150421,IF1509                        ,1,海通期货    ,4996,-3751,申银万国    ,2560,-118,招商期货    ,7124,304
20150421,IF1509                        ,2,华鑫期货    ,4962,-1218,海通期货    ,2480,79,广发期货    ,4048,-5
20150421,IF1509                        ,3,招商期货    ,4027,-2795,银河期货    ,2288,22,海通期货    ,3553,-3
20150421,IF1509                        ,4,华西期货    ,3685,-2800,国泰君安    ,1648,-112,中信期货    ,2775,-62
20150421,IF1509                        ,5,中信期货    ,3378,-1852,中信期货    ,1450,-12,国泰君安    ,2755,17
20150421,IF1509                        ,6,新湖期货    ,2757,1106,浙商期货    ,1331,16,上海东证    ,1420,-8
20150421,IF1509                        ,7,中大期货    ,2415,942,上海东证    ,1290,15,华泰长城    ,1390,-4
20150421,IF1509                        ,8,宏源期货    ,2301,924,南华期货    ,1108,-22,南华期货    ,1028,-240
20150421,IF1509                        ,9,兴证期货    ,2280,-1348,中融汇信    ,964,1,永安期货    ,712,2
20150421,IF1509                        ,10,光大期货    ,2245,-549,方正中期    ,937,-28,银河期货    ,638,-3
20150421,IF1509                        ,11,南华期货    ,1974,-1191,兴证期货    ,767,-87,国信期货    ,619,-25
20150421,IF1509                        ,12,五矿期货    ,1481,-214,广发期货    ,727,15,光大期货    ,426,1
20150421,IF1509                        ,13,西部期货    ,1291,-527,华泰长城    ,716,-42,鲁证期货    ,416,-2
20150421,IF1509                        ,14,申银万国    ,932,-1154,招商期货    ,677,-7,格林大华    ,414,-7
20150421,IF1509                        ,15,国泰君安    ,787,-416,新湖期货    ,613,3,方正中期    ,378,7
20150421,IF1509                        ,16,中融汇信    ,658,-413,东兴期货    ,609,-5,申银万国    ,307,0
20150421,IF1509                        ,17,华泰长城    ,626,-511,国信期货    ,589,14,红塔期货    ,253,0
20150421,IF1509                        ,18,银河期货    ,589,-275,永安期货    ,563,-55,宝城期货    ,234,-2
20150421,IF1509                        ,19,长江期货    ,580,-617,光大期货    ,561,14,兴证期货    ,227,3
20150421,IF1509                        ,20,国信期货    ,531,-96,上海中期    ,522,-23,国元期货    ,195,1
