交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150430,IF1505                        ,期货公司,2417554,10404,92597,-8704,92597,-8704
20150430,IF1505                        ,非期货公司,0,0,0,0,0,0
20150430,IF1506                        ,期货公司,256606,-14896,62523,-319,62523,-319
20150430,IF1506                        ,非期货公司,0,0,0,0,0,0
20150430,IF1509                        ,期货公司,54090,-12036,29791,-451,29791,-451
20150430,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150430,IF1505                        ,1,中信期货    ,258793,3390,中信期货    ,7070,-62,中信期货    ,8467,871
20150430,IF1505                        ,2,海通期货    ,138718,-6920,光大期货    ,7038,-1271,海通期货    ,8031,-702
20150430,IF1505                        ,3,申银万国    ,110447,-2916,永安期货    ,6995,1826,银河期货    ,5285,360
20150430,IF1505                        ,4,国泰君安    ,110077,5079,海通期货    ,6124,-2086,财富期货    ,5220,210
20150430,IF1505                        ,5,华泰长城    ,104767,5840,国泰君安    ,4760,40,国泰君安    ,4466,-2051
20150430,IF1505                        ,6,南华期货    ,90684,-10374,银河期货    ,3262,-491,广发期货    ,4310,167
20150430,IF1505                        ,7,方正中期    ,88044,6562,广发期货    ,3161,-228,申银万国    ,4229,-92
20150430,IF1505                        ,8,兴证期货    ,83632,-3376,浙商期货    ,3079,-569,华泰长城    ,4180,-298
20150430,IF1505                        ,9,光大期货    ,78734,3306,宝城期货    ,2989,-102,永安期货    ,3354,-675
20150430,IF1505                        ,10,银河期货    ,67695,7356,申银万国    ,2910,-311,光大期货    ,3349,535
20150430,IF1505                        ,11,广发期货    ,66037,-2939,上海东证    ,2807,365,南华期货    ,2752,-652
20150430,IF1505                        ,12,华鑫期货    ,65600,-14743,方正中期    ,2423,-166,鲁证期货    ,2582,-614
20150430,IF1505                        ,13,瑞达期货    ,64166,5401,招商期货    ,2186,-720,兴证期货    ,2341,294
20150430,IF1505                        ,14,永安期货    ,58765,14225,中信建投    ,1707,-25,东海期货    ,1966,-346
20150430,IF1505                        ,15,上海东证    ,57296,-12261,国信期货    ,1659,370,中银国际    ,1857,-43
20150430,IF1505                        ,16,招商期货    ,49400,-8725,财富期货    ,1633,5,中国国际    ,1792,190
20150430,IF1505                        ,17,大有期货    ,48439,9087,南华期货    ,1629,-300,上海东证    ,1643,-427
20150430,IF1505                        ,18,五矿期货    ,44075,680,华泰长城    ,1582,-699,方正中期    ,1602,-358
20150430,IF1505                        ,19,鲁证期货    ,38365,-3603,国投中谷    ,1519,115,中信建投    ,1394,-190
20150430,IF1505                        ,20,国信期货    ,33629,2616,锦泰期货    ,1479,577,国信期货    ,1327,-65
20150430,IF1506                        ,1,海通期货    ,30592,-1095,中信期货    ,10758,115,中信期货    ,8835,101
20150430,IF1506                        ,2,中信期货    ,21014,-1432,倍特期货    ,8581,-59,国泰君安    ,7018,-247
20150430,IF1506                        ,3,招商期货    ,19752,-1275,光大期货    ,2312,37,华泰长城    ,3656,-43
20150430,IF1506                        ,4,华鑫期货    ,17154,-3031,宏源期货    ,2294,1,银河期货    ,3309,-81
20150430,IF1506                        ,5,西部期货    ,15428,1611,银河期货    ,2199,-405,长江期货    ,2706,33
20150430,IF1506                        ,6,光大期货    ,11902,-2330,中银国际    ,2144,0,国信期货    ,2697,592
