交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150605,IF1506                        ,期货公司,3772524,-199726,138172,-13972,138172,-13972
20150605,IF1506                        ,非期货公司,0,0,0,0,0,0
20150605,IF1507                        ,期货公司,129322,12142,13888,2578,13888,2578
20150605,IF1507                        ,非期货公司,0,0,0,0,0,0
20150605,IF1509                        ,期货公司,200332,-32712,32537,-856,32537,-856
20150605,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150605,IF1506                        ,1,中信期货    ,316200,-40431,中信期货    ,20415,-168,中信期货    ,13574,-1818
20150605,IF1506                        ,2,海通期货    ,218844,-20157,国泰君安    ,9213,2126,海通期货    ,12674,-2170
20150605,IF1506                        ,3,申银万国    ,201878,682,光大期货    ,8874,-42,银河期货    ,10584,-1687
20150605,IF1506                        ,4,南华期货    ,188716,276,银河期货    ,6420,-235,国泰君安    ,10296,-336
20150605,IF1506                        ,5,兴证期货    ,180907,38803,倍特期货    ,5610,354,华泰长城    ,7423,-1297
20150605,IF1506                        ,6,招商期货    ,169656,2407,格林大华    ,5510,576,鲁证期货    ,7313,1840
20150605,IF1506                        ,7,国泰君安    ,141112,-28859,海通期货    ,5201,-1874,申银万国    ,6431,709
20150605,IF1506                        ,8,华泰长城    ,137330,-16903,方正中期    ,4733,461,光大期货    ,5510,-51
20150605,IF1506                        ,9,华鑫期货    ,132240,4148,安信期货    ,3966,1294,永安期货    ,5277,-554
20150605,IF1506                        ,10,光大期货    ,121461,-5153,中国国际    ,3603,-1008,广发期货    ,4716,-2146
20150605,IF1506                        ,11,五矿期货    ,115549,-15975,华泰长城    ,3586,-15,南华期货    ,4087,896
20150605,IF1506                        ,12,方正中期    ,110503,-9190,鲁证期货    ,3537,259,财富期货    ,3559,-1669
20150605,IF1506                        ,13,广发期货    ,102452,-23765,永安期货    ,2657,-5423,中信建投    ,3440,-203
20150605,IF1506                        ,14,上海东证    ,96828,-15228,国信期货    ,2469,307,国信期货    ,2953,-232
20150605,IF1506                        ,15,银河期货    ,84618,-3974,招商期货    ,2425,421,兴证期货    ,2835,-695
20150605,IF1506                        ,16,瑞达期货    ,78219,-7239,长江期货    ,2423,-33,上海东证    ,2436,-46
20150605,IF1506                        ,17,鲁证期货    ,59457,-4535,中信建投    ,2264,570,五矿期货    ,2095,-155
20150605,IF1506                        ,18,永安期货    ,58413,-723,瑞达期货    ,2210,-171,西部期货    ,2046,-56
20150605,IF1506                        ,19,中大期货    ,50280,-5670,宏源期货    ,2206,-11,浙商期货    ,1599,-143
20150605,IF1506                        ,20,大有期货    ,49285,-7905,申银万国    ,2136,-1413,中银国际    ,1545,-19
