交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20150609,IF1506                        ,期货公司,3329330,39938,103984,-12921,103984,-12921
20150609,IF1506                        ,非期货公司,0,0,0,0,0,0
20150609,IF1507                        ,期货公司,102782,-24778,17670,859,17670,859
20150609,IF1507                        ,非期货公司,0,0,0,0,0,0
20150609,IF1509                        ,期货公司,142642,-36434,30266,549,30266,549
20150609,IF1509                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150609,IF1506                        ,1,中信期货    ,265792,-9236,中信期货    ,13182,-1523,海通期货    ,11998,-1700
20150609,IF1506                        ,2,南华期货    ,176007,237,光大期货    ,8099,-1164,国泰君安    ,11747,5257
20150609,IF1506                        ,3,申银万国    ,175182,12868,倍特期货    ,5666,-95,中信期货    ,10785,-1909
20150609,IF1506                        ,4,海通期货    ,172543,11053,国泰君安    ,4885,979,永安期货    ,7489,-2167
20150609,IF1506                        ,5,兴证期货    ,156313,5941,广发期货    ,4582,1657,申银万国    ,4185,-938
20150609,IF1506                        ,6,国泰君安    ,131514,475,方正中期    ,3991,-568,华泰长城    ,3760,-292
20150609,IF1506                        ,7,招商期货    ,127692,-8938,安信期货    ,3936,-1884,浙商期货    ,3729,-142
20150609,IF1506                        ,8,华泰长城    ,122163,-226,海通期货    ,3796,-2219,兴证期货    ,3674,168
20150609,IF1506                        ,9,华鑫期货    ,119832,-1618,银河期货    ,2900,-26,光大期货    ,3477,-780
20150609,IF1506                        ,10,光大期货    ,116780,3992,中国国际    ,2721,222,银河期货    ,3446,-2258
20150609,IF1506                        ,11,方正中期    ,107993,-7295,瑞达期货    ,2287,122,广发期货    ,2615,-4
20150609,IF1506                        ,12,五矿期货    ,98665,-6642,国信期货    ,2182,-150,国信期货    ,2387,-223
20150609,IF1506                        ,13,上海东证    ,90774,12439,格林大华    ,2106,82,上海东证    ,2283,-217
20150609,IF1506                        ,14,广发期货    ,86497,554,宏源期货    ,2092,-98,中信建投    ,2074,-452
20150609,IF1506                        ,15,银河期货    ,86370,-1814,华泰长城    ,2005,-1529,西部期货    ,2019,-27
20150609,IF1506                        ,16,瑞达期货    ,84397,4985,南华期货    ,1986,-578,鲁证期货    ,1664,-483
20150609,IF1506                        ,17,鲁证期货    ,48711,-6575,中银国际    ,1881,162,中银国际    ,1389,-147
20150609,IF1506                        ,18,永安期货    ,47543,3689,中信建投    ,1714,-313,财富期货    ,1387,-1345
20150609,IF1506                        ,19,浙商期货    ,46576,291,兴证期货    ,1697,-219,方正中期    ,1206,-221
20150609,IF1506                        ,20,大有期货    ,45823,-3563,一德期货    ,1639,-414,南华期货    ,1110,-339
20150609,IF1507                        ,1,中信期货    ,18097,-4250,海通期货    ,2809,5,中银国际    ,2977,0
20150609,IF1507                        ,2,华鑫期货    ,8859,-382,安信期货    ,1814,31,中信期货    ,2464,570
20150609,IF1507                        ,3,海通期货    ,8076,-2071,永安期货    ,1756,-117,广发期货    ,2420,-43
